-- Query: 26402
-- SQL: WITH TotalSales AS (
    SELECT 
        p.p_partkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        part p
    JOIN 
        lineitem l ON p.p_partkey = l.l_pa...
-- Execution time: 23.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_97	48000000.00	7226088	root		time:23.2s, loops:7058, RU:155812.720642	Column#157:desc, Column#197:desc, Column#233:desc	1.27 GB	0 Bytes
└─Projection_100	48000000.00	7226088	root		time:16.3s, loops:7059, Concurrency:2	tpch_sf40.part.p_name, Column#157, Column#197, Column#233	355.8 KB	N/A
  └─HashJoin_102	48000000.00	7226088	root		time:14.7s, loops:7059, build_hash_table:{total:11.4s, fetch:11.4s, build:14.4µs}, probe:{concurrency:2, total:32.9s, max:16.4s, probe:1.18s, fetch and wait:31.7s}	CARTESIAN inner join	4.65 KB	0 Bytes
    ├─HashJoin_104(Build)	10.00	2	root		time:11.4s, loops:2, build_hash_table:{total:11.3s, fetch:11.3s, build:17.4µs}, probe:{concurrency:2, total:22.9s, max:11.4s, probe:16.4ms, fetch and wait:22.8s}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.supplier.s_suppkey)]	66.0 KB	0 Bytes
    │ ├─TopN_108(Build)	10.00	10	root		time:11.3s, loops:2	Column#157:desc, offset:0, count:10	1.35 KB	0 Bytes
    │ │ └─TableReader_269	10.00	40	root		time:11.3s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_268	3.41 KB	N/A
    │ │   └─ExchangeSender_268	10.00	40	mpp[tiflash]		tiflash_task:{proc max:11.3s, min:11.1s, avg: 11.2s, p80:11.3s, p95:11.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │ │     └─TopN_267	10.00	40	mpp[tiflash]		tiflash_task:{proc max:11.3s, min:11.1s, avg: 11.2s, p80:11.3s, p95:11.3s, iters:4, tasks:2, threads:4}	Column#157:desc, offset:0, count:10	N/A	N/A
    │ │       └─Projection_266	8000000.00	7918780	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:10.9s, avg: 11s, p80:11.1s, p95:11.1s, iters:250, tasks:2, threads:4}	Column#157, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name	N/A	N/A
    │ │         └─Projection_263	8000000.00	7918780	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:10.9s, avg: 11s, p80:11.1s, p95:11.1s, iters:250, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#157	N/A	N/A
    │ │           └─HashJoin_262	8000000.00	7918780	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:10.9s, avg: 11s, p80:11.1s, p95:11.1s, iters:250, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
    │ │             ├─Projection_147(Build)	7964672.00	7918780	mpp[tiflash]		tiflash_task:{proc max:10.5s, min:10.5s, avg: 10.5s, p80:10.5s, p95:10.5s, iters:1024, tasks:2, threads:4}	Column#157, tpch_sf40.part.p_partkey	N/A	N/A
    │ │             │ └─HashAgg_148	7964672.00	7918780	mpp[tiflash]		tiflash_task:{proc max:10.5s, min:10.5s, avg: 10.5s, p80:10.5s, p95:10.5s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_partkey, funcs:sum(Column#234)->Column#157, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, stream_count: 2	N/A	N/A
    │ │             │   └─ExchangeReceiver_150	7964672.00	14375612	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:10.4s, avg: 10.4s, p80:10.4s, p95:10.4s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 768ms}	stream_count: 2	N/A	N/A
