-- Query: 26404
-- SQL: WITH ranked_orders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        c.c_nationkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue
    FROM 
        orders o
    JO...
-- Execution time: 7.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_55	25.00	25	root		time:7.67s, loops:2, RU:63766.980337	Column#124:desc	2.79 KB	0 Bytes
└─TableReader_283	25.00	25	root		time:7.67s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_282	6.36 KB	N/A
  └─ExchangeSender_282	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:7.66s, avg: 7.66s, p80:7.66s, p95:7.66s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_58	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:7.66s, avg: 7.66s, p80:7.66s, p95:7.66s, iters:4, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#124, Column#125	N/A	N/A
      └─Projection_277	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:7.66s, avg: 7.66s, p80:7.66s, p95:7.66s, iters:4, tasks:2, threads:4}	Column#124, Column#125, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_275	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:7.66s, avg: 7.66s, p80:7.66s, p95:7.66s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#117)->Column#124, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#125, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_261	25.00	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:7.66s, avg: 7.66s, p80:7.66s, p95:7.66s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 108ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_260	25.00	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:25, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─Projection_259	25.00	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:25, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, Column#117, tpch_sf40.nation.n_name	N/A	N/A
                └─Projection_255	25.00	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:25, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#117, tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_nationkey	N/A	N/A
                  └─HashJoin_254	25.00	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:25, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
                    ├─ExchangeReceiver_81(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:6.35ms, min:0s, avg: 3.18ms, p80:6.35ms, p95:6.35ms, iters:2, tasks:2, threads:4}		N/A	N/A
                    │ └─ExchangeSender_80	25.00	25	mpp[tiflash]		tiflash_task:{proc max:6.08ms, min:0s, avg: 3.04ms, p80:6.08ms, p95:6.08ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                    │   └─TableFullScan_79	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:6.08ms, min:0s, avg: 3.04ms, p80:6.08ms, p95:6.08ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3ms, min_local_stream:0ms, max_local_stream:5ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                    └─Selection_82(Probe)	29474932.17	250	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:25, tasks:2, threads:4}	le(Column#119, 10), stream_count: 2	N/A	N/A
                      └─Window_83	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:7.66s, min:0s, avg: 3.83s, p80:7.66s, p95:7.66s, iters:166, tasks:2, threads:4}	rank()->Column#119 over(partition by tpch_sf40.customer.c_nationkey order by Column#117 desc), stream_count: 2	N/A	N/A
                        └─Sort_115	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:7.61s, min:0s, avg: 3.81s, p80:7.61s, p95:7.61s, iters:166, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, Column#117:desc, stream_count: 2	N/A	N/A
                          └─ExchangeReceiver_114	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:6.12s, min:0s, avg: 3.06s, p80:6.12s, p95:6.12s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 6ms, pipeline_queue_wait: 157ms}	stream_count: 2	N/A	N/A
                            └─ExchangeSender_113	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:6.73s, min:0s, avg: 3.36s, p80:6.73s, p95:6.73s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
                              └─Projection_109	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:6.65s, min:0s, avg: 3.32s, p80:6.65s, p95:6.65s, iters:1024, tasks:2, threads:4}	Column#117, tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_nationkey	N/A	N/A
                                └─HashAgg_110	36843665.21	10660588	mpp[tiflash]		tiflash_task:{proc max:6.65s, min:0s, avg: 3.32s, p80:6.65s, p95:6.65s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:sum(Column#126)->Column#117, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, stream_count: 2	N/A	N/A
