-- Query: 26407
-- SQL: WITH RecentOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        o.o_custkey
    FROM 
        orders o
   ...
-- Execution time: 10.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_176	5.00	5	root		time:9.91s, loops:2, RU:104789.641046	Column#133:desc, Column#149:desc	4.12 KB	0 Bytes
└─Projection_178	5.00	5	root		time:9.91s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#133, tpch_sf40.supplier.s_name, Column#149	4.05 KB	N/A
  └─Projection_179	5.00	5	root		time:9.91s, loops:2, Concurrency:OFF	Column#133, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#149	4.05 KB	N/A
    └─HashJoin_180	5.00	5	root		time:9.91s, loops:2, build_hash_table:{total:9.91s, fetch:9.91s, build:10.4µs}, probe:{concurrency:2, total:19.8s, max:9.91s, probe:12.3µs, fetch and wait:19.8s}	CARTESIAN inner join	57.7 KB	0 Bytes
      ├─TableReader_508(Build)	1.00	1	root		time:9.91s, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_507	6.04 KB	N/A
      │ └─ExchangeSender_507	1.00	1	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:9.91s, avg: 9.91s, p80:9.91s, p95:9.91s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_503	1.00	1	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:9.91s, avg: 9.91s, p80:9.91s, p95:9.91s, iters:1, tasks:2, threads:4}	Column#133, tpch_sf40.region.r_name	N/A	N/A
      │     └─HashAgg_504	1.00	1	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:9.91s, avg: 9.91s, p80:9.91s, p95:9.91s, iters:1, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#189)->Column#133, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
      │       └─ExchangeReceiver_506	1.00	2	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:9.91s, avg: 9.91s, p80:9.91s, p95:9.91s, iters:1, tasks:2, threads:4}	stream_count: 2	N/A	N/A
      │         └─ExchangeSender_505	1.00	2	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:0s, avg: 4.96s, p80:9.91s, p95:9.91s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │           └─HashAgg_278	1.00	2	mpp[tiflash]		tiflash_task:{proc max:9.91s, min:0s, avg: 4.96s, p80:9.91s, p95:9.91s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.region.r_name, funcs:sum(Column#117)->Column#189	N/A	N/A
      │             └─Projection_502	1199998.00	4713071	mpp[tiflash]		tiflash_task:{proc max:9.89s, min:0s, avg: 4.95s, p80:9.89s, p95:9.89s, iters:1024, tasks:2, threads:4}	Column#117, tpch_sf40.region.r_name	N/A	N/A
      │               └─Projection_492	1199998.00	4713071	mpp[tiflash]		tiflash_task:{proc max:9.89s, min:0s, avg: 4.95s, p80:9.89s, p95:9.89s, iters:1024, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#117, tpch_sf40.orders.o_custkey	N/A	N/A
      │                 └─HashJoin_491	1199998.00	4713071	mpp[tiflash]		tiflash_task:{proc max:9.89s, min:0s, avg: 4.95s, p80:9.89s, p95:9.89s, iters:1024, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
      │                   ├─ExchangeReceiver_298(Build)	1199998.00	1199212	mpp[tiflash]		tiflash_task:{proc max:1.07s, min:0s, avg: 535.2ms, p80:1.07s, p95:1.07s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 594ms}	stream_count: 2	N/A	N/A
      │                   │ └─ExchangeSender_297	1199998.00	1199212	mpp[tiflash]		tiflash_task:{proc max:1.01s, min:0s, avg: 507.4ms, p80:1.01s, p95:1.01s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
      │                   │   └─Projection_296	1199998.00	1199212	mpp[tiflash]		tiflash_task:{proc max:1.01s, min:0s, avg: 506.9ms, p80:1.01s, p95:1.01s, iters:95, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.customer.c_custkey	N/A	N/A
      │                   │     └─HashJoin_285	1199998.00	1199212	mpp[tiflash]		tiflash_task:{proc max:1.01s, min:0s, avg: 506.9ms, p80:1.01s, p95:1.01s, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
      │                   │       ├─ExchangeReceiver_294(Build)	5.00	10	mpp[tiflash]		tiflash_task:{proc max:54.8ms, min:0s, avg: 27.4ms, p80:54.8ms, p95:54.8ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 9ms}		N/A	N/A
      │                   │       │ └─ExchangeSender_293	5.00	5	mpp[tiflash]		tiflash_task:{proc max:45.9ms, min:0s, avg: 23ms, p80:45.9ms, p95:45.9ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                   │       │   └─Projection_292	5.00	5	mpp[tiflash]		tiflash_task:{proc max:45.9ms, min:0s, avg: 23ms, p80:45.9ms, p95:45.9ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
      │                   │       │     └─HashJoin_286	5.00	5	mpp[tiflash]		tiflash_task:{proc max:45.9ms, min:0s, avg: 23ms, p80:45.9ms, p95:45.9ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
