-- Query: 26420
-- SQL: WITH RankedSuppliers AS (
    SELECT s.s_suppkey, s.s_name, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    GROU...
-- Execution time: 138.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_173	38400000.00	38711080	root		time:2m17.7s, loops:37805, RU:38039.908859, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, Column#101->Column#105, Column#102->Column#106	514.5 KB	N/A
└─Sort_174	38400000.00	38711080	root		time:2m17.7s, loops:37805	Column#61:desc, Column#102:desc	2.98 GB	4.71 GB
  └─Projection_176	38400000.00	38711080	root		time:50.6s, loops:37806, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.region.r_name, Column#61, Column#101, Column#102	298.9 KB	N/A
    └─HashJoin_178	38400000.00	38711080	root		time:47.2s, loops:37806, build_hash_table:{total:16.4s, fetch:16.4s, build:7.45µs}, probe:{concurrency:2, total:2m23.2s, max:1m11.6s, probe:38.9s, fetch and wait:1m44.3s}	CARTESIAN inner join	166.7 KB	978 Bytes
      ├─Selection_179(Build)	8.00	10	root		time:16.4s, loops:2	gt(Column#61, 10000)	2.64 KB	N/A
      │ └─TopN_182	10.00	10	root		time:16.4s, loops:3	Column#61:desc, offset:0, count:10	103.2 KB	0 Bytes
      │   └─Projection_187	204793.34	197035	root		time:16.4s, loops:194, Concurrency:2	Column#61, tpch_sf40.supplier.s_name, tpch_sf40.region.r_name	389.0 KB	N/A
      │     └─HashJoin_188	204793.34	197035	root		time:16.4s, loops:194, build_hash_table:{total:16.2s, fetch:16.2s, build:7.51ms}, probe:{concurrency:2, total:32.9s, max:16.4s, probe:238.5ms, fetch and wait:32.6s}	CARTESIAN inner join, other cond:gt(Column#61, Column#79)	41.5 KB	56 Bytes
      │       ├─Selection_297(Build)	0.80	1	root		time:16.2s, loops:2	not(isnull(Column#79))	233 Bytes	N/A
      │       │ └─MaxOneRow_298	1.00	1	root		time:16.2s, loops:3		N/A	N/A
      │       │   └─StreamAgg_303	1.00	1	root		time:16.2s, loops:2	funcs:avg(Column#78)->Column#79	76.1 KB	N/A
      │       │     └─CTEFullScan_309	319027.20	400000	root	CTE:rankedsuppliers	time:16.2s, loops:537	data:CTE_0	N/A	N/A
      │       └─HashJoin_191(Probe)	255991.68	400000	root		time:16.3s, loops:392, build_hash_table:{total:16.2s, fetch:16.2s, build:58.1ms}, probe:{concurrency:2, total:32.9s, max:16.4s, probe:180.3ms, fetch and wait:32.7s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	52.4 MB	37.4 MB
      │         ├─Selection_293(Build)	255221.76	400000	root		time:16.2s, loops:392	not(isnull(Column#61)), not(isnull(tpch_sf40.supplier.s_suppkey))	76.0 KB	N/A
      │         │ └─CTEFullScan_295	319027.20	400000	root	CTE:rankedsuppliers AS rs	time:16.2s, loops:538	data:CTE_0	57.4 MB	74.8 MB
