-- Query: 26421
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        o.o_orderpriority,
        RANK() OVER (PARTITION BY o.o_orders...
-- Execution time: 49.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_51	50.00	50	root		time:49.2s, loops:2, RU:35137.599792, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#67, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice	9.49 KB	N/A
└─TopN_54	50.00	50	root		time:49.2s, loops:2	Column#67:desc, tpch_sf40.orders.o_orderdate, offset:0, count:50	150.5 KB	0 Bytes
  └─Projection_59	70035579247831.58	396059200	root		time:43.6s, loops:386778, Concurrency:2	Column#67, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice	586.0 KB	N/A
    └─HashJoin_61	70035579247831.58	396059200	root		time:49s, loops:386778, build_hash_table:{total:20.2s, fetch:20s, build:141.9ms}, probe:{concurrency:2, total:1m14s, max:49.2s, probe:23.1s, fetch and wait:50.9s}	CARTESIAN inner join	450.3 MB	0 Bytes
      ├─TableReader_177(Build)	4800000.00	3960592	root		time:19.9s, loops:4097, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_176	580.4 KB	N/A
      │ └─ExchangeSender_176	4800000.00	3960592	mpp[tiflash]		tiflash_task:{proc max:20.1s, min:20s, avg: 20.1s, p80:20.1s, p95:20.1s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_86	4800000.00	3960592	mpp[tiflash]		tiflash_task:{proc max:20s, min:19.9s, avg: 20s, p80:20s, p95:20s, iters:1024, tasks:2, threads:4}	gt(Column#67, 5000)	N/A	N/A
      │     └─Projection_172	6000000.00	3961961	mpp[tiflash]		tiflash_task:{proc max:20s, min:19.9s, avg: 20s, p80:20s, p95:20s, iters:1024, tasks:2, threads:4}	Column#67, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
      │       └─HashAgg_173	6000000.00	3961961	mpp[tiflash]		tiflash_task:{proc max:20s, min:19.9s, avg: 20s, p80:20s, p95:20s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#101)->Column#67, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_175	6000000.00	3961961	mpp[tiflash]		tiflash_task:{proc max:19.9s, min:19.8s, avg: 19.9s, p80:19.9s, p95:19.9s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 375ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_174	6000000.00	3961961	mpp[tiflash]		tiflash_task:{proc max:19.9s, min:0s, avg: 9.96s, p80:19.9s, p95:19.9s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_170	6000000.00	3961961	mpp[tiflash]		tiflash_task:{proc max:19.8s, min:0s, avg: 9.92s, p80:19.8s, p95:19.8s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#101	N/A	N/A
      │               └─Projection_159	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:0s, avg: 9.06s, p80:18.1s, p95:18.1s, iters:1808, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
      │                 └─HashJoin_158	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:18.1s, min:0s, avg: 9.06s, p80:18.1s, p95:18.1s, iters:1808, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
      │                   ├─ExchangeReceiver_123(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:2.66s, min:0s, avg: 1.33s, p80:2.66s, p95:2.66s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 36ms}	stream_count: 2	N/A	N/A
      │                   │ └─ExchangeSender_122	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:2.75s, min:0s, avg: 1.37s, p80:2.75s, p95:2.75s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
      │                   │   └─TableFullScan_121	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:2.71s, min:0s, avg: 1.36s, p80:2.71s, p95:2.71s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:643ms, min_local_stream:2654ms, max_local_stream:2701ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:5998ms}}	keep order:false	N/A	N/A
      │                   └─ExchangeReceiver_127(Probe)	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:17.3s, min:0s, avg: 8.63s, p80:17.3s, p95:17.3s, iters:1808, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2748ms, pipeline_queue_wait: 605ms}		N/A	N/A
      │                     └─ExchangeSender_126	23506739.00	23570295	mpp[tiflash]		tiflash_task:{proc max:19.6s, min:0s, avg: 9.79s, p80:19.6s, p95:19.6s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
      │                       └─TableFullScan_124	23506739.00	23570295	mpp[tiflash]	table:o	tiflash_task:{proc max:19.5s, min:0s, avg: 9.73s, p80:19.5s, p95:19.5s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 491ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:2463ms, tot_build_inputstream:2712ms, min_local_stream:18541ms, max_local_stream:19452ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2463ms, tot_read:53017ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), keep order:false	N/A	N/A
      └─TableReader_84(Probe)	14590745.68	100	root		time:24.8s, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_83	7.31 KB	N/A
        └─ExchangeSender_83	14590745.68	100	mpp[tiflash]		tiflash_task:{proc max:24.8s, min:19.6s, avg: 22.2s, p80:24.8s, p95:24.8s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          └─Selection_64	14590745.68	100	mpp[tiflash]		tiflash_task:{proc max:24.8s, min:19.6s, avg: 22.2s, p80:24.8s, p95:24.8s, iters:1, tasks:2, threads:4}	le(Column#89, 100), stream_count: 2	N/A	N/A
            └─Window_82	18238432.10	18233503	mpp[tiflash]		tiflash_task:{proc max:24.8s, min:19.6s, avg: 22.2s, p80:24.8s, p95:24.8s, iters:279, tasks:2, threads:4}	rank()->Column#89 over(partition by tpch_sf40.orders.o_orderstatus order by tpch_sf40.orders.o_totalprice desc), stream_count: 2	N/A	N/A
