-- Query: 26427
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        c.c_nationkey,
        RANK() OVER (PARTITION BY c.c_nationkey ORDER B...
-- Execution time: 2.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_59	1828909.00	50	root		time:2.53s, loops:2, RU:25651.990122, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.nation.n_name, Column#66->Column#97	23.3 KB	N/A
└─Sort_60	1828909.00	50	root		time:2.53s, loops:2	Column#91:desc, tpch_sf40.orders.o_totalprice:desc	11.5 KB	0 Bytes
  └─Projection_62	1828909.00	50	root		time:2.53s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, Column#66, tpch_sf40.nation.n_name, Column#91	26.2 KB	N/A
    └─HashJoin_64	1828909.00	50	root		time:2.53s, loops:2, build_hash_table:{total:2.06s, fetch:2.06s, build:12.7µs}, probe:{concurrency:2, total:5.06s, max:2.53s, probe:49.1µs, fetch and wait:5.06s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	66.0 KB	0 Bytes
      ├─TopN_68(Build)	5.00	5	root		time:2.06s, loops:2	Column#91:desc, offset:0, count:5	3.18 KB	0 Bytes
      │ └─TableReader_207	5.00	19	root		time:2.06s, loops:4, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_206	3.34 KB	N/A
      │   └─ExchangeSender_206	5.00	19	mpp[tiflash]		tiflash_task:{proc max:2.06s, min:2.06s, avg: 2.06s, p80:2.06s, p95:2.06s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │     └─TopN_205	5.00	19	mpp[tiflash]		tiflash_task:{proc max:2.06s, min:2.06s, avg: 2.06s, p80:2.06s, p95:2.06s, iters:4, tasks:2, threads:4}	Column#91:desc, offset:0, count:5	N/A	N/A
      │       └─Projection_201	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.06s, min:2.06s, avg: 2.06s, p80:2.06s, p95:2.06s, iters:4, tasks:2, threads:4}	Column#91, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
      │         └─HashAgg_202	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.06s, min:2.06s, avg: 2.06s, p80:2.06s, p95:2.06s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:sum(Column#109)->Column#91, funcs:firstrow(tpch_sf40.nation.n_nationkey)->tpch_sf40.nation.n_nationkey, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
