-- Query: 26430
-- SQL: SELECT 
    n.n_name AS nation,
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
    COUNT(DISTINCT o.o_orderkey) AS order_count,
    SUM(CASE WHEN c.c_mktsegment = 'BUILDING' THEN l....
-- Execution time: 5.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_40	10.00	10	root		time:5.13s, loops:2, RU:67338.457280, Concurrency:OFF	tpch_sf40.nation.n_name, Column#62, Column#63, Column#64, Column#65	5.20 KB	N/A
└─TopN_44	10.00	10	root		time:5.13s, loops:2	Column#62:desc, offset:0, count:10	5.33 KB	0 Bytes
  └─TableReader_356	10.00	25	root		time:5.13s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_355	8.71 KB	N/A
    └─ExchangeSender_355	10.00	25	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_354	10.00	25	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:4, tasks:2, threads:4}	Column#62:desc, offset:0, count:10	N/A	N/A
        └─Projection_350	25.00	25	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:4, tasks:2, threads:4}	Column#62, Column#63, Column#64, div(Column#65, cast(case(eq(Column#79, 0), 1, Column#79), decimal(20,0) BINARY))->Column#65, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_351	25.00	25	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.13s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#80)->Column#62, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#63, funcs:sum(Column#81)->Column#64, funcs:sum(Column#82)->Column#79, funcs:sum(Column#83)->Column#65, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_353	25.00	727714	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:5.12s, avg: 5.13s, p80:5.13s, p95:5.13s, iters:86, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 51ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_352	25.00	727714	mpp[tiflash]		tiflash_task:{proc max:5.13s, min:0s, avg: 2.56s, p80:5.13s, p95:5.13s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_348	25.00	727714	mpp[tiflash]		tiflash_task:{proc max:5.12s, min:0s, avg: 2.56s, p80:5.12s, p95:5.12s, iters:512, tasks:2, threads:4}	group by:Column#89, Column#90, funcs:sum(Column#85)->Column#80, funcs:sum(Column#86)->Column#81, funcs:count(Column#87)->Column#82, funcs:sum(Column#88)->Column#83	N/A	N/A
