-- Query: 26431
-- SQL: WITH SupplierPartCount AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        COUNT(ps.ps_partkey) AS part_count
    FROM 
        supplier s
    JOIN 
        partsupp ps ON s.s_suppkey = ps...
-- Execution time: 19.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_89	25.00	2	root		time:19.5s, loops:2, RU:120121.244288	Column#152:desc, Column#151:desc	2.43 KB	0 Bytes
└─Projection_91	25.00	2	root		time:19.5s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#151, Column#152	2.39 KB	N/A
  └─HashAgg_92	25.00	2	root		time:19.5s, loops:2	group by:tpch_sf40.nation.n_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#151, funcs:sum(Column#150)->Column#152, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name	4.20 MB	0 Bytes
    └─HashJoin_95	6081.71	1803464	root		time:19.3s, loops:1763, build_hash_table:{total:11.1s, fetch:10.1s, build:1.03s}, probe:{concurrency:2, total:38.9s, max:19.5s, probe:5.75s, fetch and wait:33.2s}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey)]	306.2 MB	0 Bytes
      ├─IndexJoin_105(Build)	6081.71	7219456	root		time:9.95s, loops:7052, inner:{total:14.8s, concurrency:2, task:1507, construct:6.5s, fetch:8.28s, build:1.56ms}, probe:1.42s	inner join, inner:TableReader_101, outer key:tpch_sf40.partsupp.ps_partkey, inner key:tpch_sf40.part.p_partkey, equal cond:eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)	8.81 MB	N/A
      │ ├─IndexHashJoin_120(Build)	6054.86	38504880	root		time:5.4s, loops:37605, inner:{total:16.4s, concurrency:2, task:22, construct:67.6ms, fetch:222.7ms, build:17ms, join:16.1s}	inner join, inner:IndexReader_117, outer key:tpch_sf40.supplier.s_suppkey, inner key:tpch_sf40.partsupp.ps_suppkey, equal cond:eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)	8.76 MB	N/A
      │ │ ├─HashJoin_127(Build)	75.46	481311	root		time:5.42s, loops:473, build_hash_table:{total:2.87s, fetch:2.87s, build:15µs}, probe:{concurrency:2, total:20.5s, max:10.2s, probe:221.6ms, fetch and wait:20.3s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	17.7 KB	0 Bytes
      │ │ │ ├─TopN_223(Build)	5.00	5	root		time:2.87s, loops:2	Column#114:desc, offset:0, count:5	376 Bytes	0 Bytes
      │ │ │ │ └─TableReader_347	5.00	5	root		time:2.87s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_346	3.33 KB	N/A
      │ │ │ │   └─ExchangeSender_346	5.00	5	mpp[tiflash]		tiflash_task:{time:2.87s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │ │ │ │     └─TopN_345	5.00	5	mpp[tiflash]		tiflash_task:{time:2.87s, loops:1, threads:2}	Column#114:desc, offset:0, count:5	N/A	N/A
      │ │ │ │       └─Projection_344	320000.00	400000	mpp[tiflash]		tiflash_task:{time:2.87s, loops:7, threads:2}	Column#114, tpch_sf40.supplier.s_suppkey	N/A	N/A
      │ │ │ │         └─Projection_341	320000.00	400000	mpp[tiflash]		tiflash_task:{time:2.87s, loops:7, threads:2}	tpch_sf40.supplier.s_suppkey, Column#114	N/A	N/A
      │ │ │ │           └─HashJoin_340	320000.00	400000	mpp[tiflash]		tiflash_task:{time:2.87s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
      │ │ │ │             ├─ExchangeReceiver_262(Build)	319027.20	400000	mpp[tiflash]		tiflash_task:{time:2.84s, loops:28, threads:2}, tiflash_wait: {pipeline_queue_wait: 8ms}		N/A	N/A
      │ │ │ │             │ └─ExchangeSender_261	319027.20	400000	mpp[tiflash]		tiflash_task:{time:2.84s, loops:516, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │ │ │ │             │   └─Selection_243	319027.20	400000	mpp[tiflash]		tiflash_task:{time:2.84s, loops:516, threads:4}	gt(Column#114, 10)	N/A	N/A
      │ │ │ │             │     └─Projection_257	398784.00	400000	mpp[tiflash]		tiflash_task:{time:2.84s, loops:516, threads:4}	Column#114, tpch_sf40.supplier.s_suppkey	N/A	N/A
