-- Query: 26435
-- SQL: WITH SupplierDetails AS (
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, SUM(ps.ps_supplycost * ps.ps_availqty) AS TotalCost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
 ...
-- Execution time: 2.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_235	10.00	10	root		time:2.28s, loops:2, RU:10836.011237, Concurrency:OFF	tpch_sf40.nation.n_name, Column#58, mul(div(Column#58, Column#63), 100)->Column#64	3.43 KB	N/A
└─TopN_238	10.00	10	root		time:2.28s, loops:2	Column#58:desc, offset:0, count:10	3.50 KB	0 Bytes
  └─HashJoin_243	10.00	10	root		time:2.28s, loops:2, build_hash_table:{total:2.28s, fetch:2.28s, build:8.51µs}, probe:{concurrency:2, total:4.56s, max:2.28s, probe:2.9µs, fetch and wait:4.56s}	CARTESIAN left outer join	41.5 KB	0 Bytes
    ├─MaxOneRow_289(Build)	1.00	1	root		time:2.28s, loops:2		N/A	N/A
    │ └─StreamAgg_294	1.00	1	root		time:2.28s, loops:2	funcs:sum(Column#62)->Column#63	1.82 KB	N/A
    │   └─CTEFullScan_300	25.00	25	root	CTE:nationtotalcost	time:2.28s, loops:2	data:CTE_1	N/A	N/A
    └─TopN_247(Probe)	10.00	10	root		time:2.28s, loops:2	Column#58:desc, offset:0, count:10	2.22 KB	0 Bytes
      └─HashJoin_262	20.00	25	root		time:2.28s, loops:2, build_hash_table:{total:2.28s, fetch:2.28s, build:12.5µs}, probe:{concurrency:2, total:4.56s, max:2.28s, probe:6.98µs, fetch and wait:4.56s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_nationkey)]	49.7 KB	0 Bytes
        ├─Selection_269(Build)	20.00	25	root		time:2.28s, loops:2	not(isnull(tpch_sf40.nation.n_nationkey))	1.77 KB	N/A
        │ └─CTEFullScan_271	25.00	25	root	CTE:nationtotalcost AS ntc	time:2.28s, loops:3	data:CTE_1	3.55 KB	0 Bytes
        └─TableReader_274(Probe)	25.00	25	root		time:47.5µs, loops:2, cop_task: {num: 1, max: 834.4µs, proc_keys: 25, tot_proc: 87.2µs, tot_wait: 445.6µs, copr_cache_hit_ratio: 0.00, build_task_duration: 7.28µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:819.3µs}}	data:TableFullScan_273	853 Bytes	N/A
          └─TableFullScan_273	25.00	25	cop[tikv]	table:n	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 25, total_process_keys_size: 3109, total_keys: 26, get_snapshot_time: 427.6µs, rocksdb: {key_skipped_count: 25, block: {cache_hit_count: 4}}}, time_detail: {total_process_time: 87.2µs, total_wait_time: 445.6µs, tikv_wall_time: 623.7µs}	keep order:false	N/A	N/A
CTE_1	25.00	25	root		time:2.28s, loops:2	Non-Recursive CTE	N/A	N/A
└─TableReader_232(Seed Part)	25.00	25	root		time:2.28s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_231	4.37 KB	N/A
  └─ExchangeSender_231	25.00	25	mpp[tiflash]		tiflash_task:{proc max:2.28s, min:2.28s, avg: 2.28s, p80:2.28s, p95:2.28s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
