-- Query: 26436
-- SQL: WITH RECURSIVE nation_supply AS (
    SELECT n.n_name, s.s_suppkey, s.s_name, COUNT(*) AS total_supplies
    FROM nation n
    JOIN supplier s ON n.n_nationkey = s.s_nationkey
    GROUP BY n.n_name, s...
-- Execution time: 1.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_81	80560.77	2875	root		time:1.35s, loops:4, RU:10416.988377, Concurrency:2	tpch_sf40.nation.n_name, Column#98->Column#141, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.customer.c_mktsegment, Column#139->Column#146	270.3 KB	N/A
└─Sort_82	80560.77	2875	root		time:1.35s, loops:4	Column#82:desc, Column#139:desc	668.9 KB	0 Bytes
  └─Projection_84	80560.77	2875	root		time:1.35s, loops:4, Concurrency:2	tpch_sf40.nation.n_name, Column#82, Column#98, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.customer.c_mktsegment, Column#139	236.7 KB	N/A
    └─IndexJoin_95	80560.77	2875	root		time:1.35s, loops:4, inner:{total:292.1ms, concurrency:2, task:2, construct:781.9µs, fetch:291ms, build:286.3µs}, probe:528.7µs	inner join, inner:HashAgg_89, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	1.09 MB	N/A
      ├─HashJoin_102(Build)	80560.77	2875	root		time:1.15s, loops:6, build_hash_table:{total:772.1ms, fetch:772.1ms, build:10.7µs}, probe:{concurrency:2, total:2.3s, max:1.15s, probe:2.28ms, fetch and wait:2.29s}	inner join, equal:[eq(tpch_sf40.nation.n_name, tpch_sf40.nation.n_name)]	57.7 KB	0 Bytes
      │ ├─TopN_244(Build)	5.00	5	root		time:772.1ms, loops:2	Column#82:desc, offset:0, count:5	595 Bytes	0 Bytes
      │ │ └─TableReader_378	5.00	18	root		time:772ms, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_377	3.45 KB	N/A
      │ │   └─ExchangeSender_377	5.00	18	mpp[tiflash]		tiflash_task:{proc max:771.4ms, min:771.2ms, avg: 771.3ms, p80:771.4ms, p95:771.4ms, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │ │     └─TopN_376	5.00	18	mpp[tiflash]		tiflash_task:{proc max:771.4ms, min:771.2ms, avg: 771.3ms, p80:771.4ms, p95:771.4ms, iters:4, tasks:2, threads:4}	Column#82:desc, offset:0, count:5	N/A	N/A
      │ │       └─Projection_372	25.00	25	mpp[tiflash]		tiflash_task:{proc max:771.4ms, min:771.2ms, avg: 771.3ms, p80:771.4ms, p95:771.4ms, iters:4, tasks:2, threads:4}	Column#82, tpch_sf40.nation.n_name	N/A	N/A
      │ │         └─HashAgg_373	25.00	25	mpp[tiflash]		tiflash_task:{proc max:771.4ms, min:771.2ms, avg: 771.3ms, p80:771.4ms, p95:771.4ms, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#155)->Column#82, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
      │ │           └─ExchangeReceiver_375	25.00	50	mpp[tiflash]		tiflash_task:{proc max:771.4ms, min:771.2ms, avg: 771.3ms, p80:771.4ms, p95:771.4ms, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
      │ │             └─ExchangeSender_374	25.00	50	mpp[tiflash]		tiflash_task:{proc max:771.5ms, min:0s, avg: 385.7ms, p80:771.5ms, p95:771.5ms, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │ │               └─HashAgg_370	25.00	50	mpp[tiflash]		tiflash_task:{proc max:771.5ms, min:0s, avg: 385.7ms, p80:771.5ms, p95:771.5ms, iters:2, tasks:2, threads:2}	group by:Column#170, funcs:sum(Column#169)->Column#155	N/A	N/A
      │ │                 └─Projection_430	32096532.46	32000000	mpp[tiflash]		tiflash_task:{proc max:684.5ms, min:0s, avg: 342.2ms, p80:684.5ms, p95:684.5ms, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#169, tpch_sf40.nation.n_name->Column#170	N/A	N/A
