-- Query: 26442
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        c.c_name,
        c.c_nationkey,
        RANK() OVER (PARTITION...
-- Execution time: 4.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_62	5.00	5	root		time:3.73s, loops:2, RU:30589.452967	Column#108:desc, Column#110:desc	5.28 KB	0 Bytes
└─TableReader_474	5.00	5	root		time:3.73s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_473	9.13 KB	N/A
  └─ExchangeSender_473	5.00	5	mpp[tiflash]		tiflash_task:{proc max:3.7s, min:3.66s, avg: 3.68s, p80:3.7s, p95:3.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_65	5.00	5	mpp[tiflash]		tiflash_task:{proc max:3.7s, min:3.66s, avg: 3.68s, p80:3.7s, p95:3.7s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#108, Column#109, Column#110, Column#111	N/A	N/A
      └─Projection_469	5.00	5	mpp[tiflash]		tiflash_task:{proc max:3.7s, min:3.66s, avg: 3.68s, p80:3.7s, p95:3.7s, iters:4, tasks:2, threads:4}	Column#108, Column#109, div(Column#110, cast(case(eq(Column#170, 0), 1, Column#170), decimal(20,0) BINARY))->Column#110, Column#111, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_470	5.00	5	mpp[tiflash]		tiflash_task:{proc max:3.7s, min:3.66s, avg: 3.68s, p80:3.7s, p95:3.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#108, funcs:sum(Column#171)->Column#109, funcs:sum(Column#172)->Column#170, funcs:sum(Column#173)->Column#110, funcs:max(Column#174)->Column#111, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_472	5.00	250	mpp[tiflash]		tiflash_task:{proc max:3.7s, min:3.66s, avg: 3.68s, p80:3.7s, p95:3.7s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_471	5.00	250	mpp[tiflash]		tiflash_task:{proc max:3.68s, min:0s, avg: 1.84s, p80:3.68s, p95:3.68s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_467	5.00	250	mpp[tiflash]		tiflash_task:{proc max:3.68s, min:0s, avg: 1.84s, p80:3.68s, p95:3.68s, iters:2, tasks:2, threads:2}	group by:Column#182, Column#183, funcs:sum(Column#178)->Column#171, funcs:count(Column#179)->Column#172, funcs:sum(Column#180)->Column#173, funcs:max(Column#181)->Column#174	N/A	N/A
                └─Projection_478	7255251.90	250	mpp[tiflash]		tiflash_task:{proc max:3.68s, min:0s, avg: 1.84s, p80:3.68s, p95:3.68s, iters:17, tasks:2, threads:4}	coalesce(Column#86, 0)->Column#178, coalesce(Column#107, 0)->Column#179, coalesce(Column#107, 0)->Column#180, tpch_sf40.orders.o_totalprice->Column#181, tpch_sf40.region.r_name->Column#182, tpch_sf40.orders.o_orderkey->Column#183	N/A	N/A
