-- Query: 26453
-- SQL: WITH RegionalSales AS (
    SELECT 
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count
    FROM 
 ...
-- Execution time: 80.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_98	5.00	5	root		time:1m19.7s, loops:2, RU:75084.707036	Column#185:desc	4.25 KB	0 Bytes
└─Projection_100	5.00	5	root		time:1m19.7s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#185, Column#186, minus(Column#185, Column#194)->Column#195, div(cast(minus(Column#185, Column#194), double BINARY), if(eq(Column#191, 0), <nil>, Column#191))->Column#196	6.97 KB	N/A
  └─Window_102	5.00	5	root		time:1m19.7s, loops:2	avg(Column#185)->Column#194 over()	N/A	N/A
    └─Window_103	5.00	5	root		time:1m19.7s, loops:2	min(Column#185)->Column#193 over()	N/A	N/A
      └─Window_105	5.00	5	root		time:1m19.7s, loops:2	max(Column#185)->Column#192 over()	N/A	N/A
        └─Window_107	5.00	5	root		time:1m19.7s, loops:2	stddev_pop(cast(Column#185, double BINARY))->Column#191 over()	N/A	N/A
          └─TableReader_365	5.00	5	root		time:1m19.7s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_364	7.36 KB	N/A
            └─ExchangeSender_364	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
              └─Projection_360	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	Column#185, Column#186, tpch_sf40.region.r_name	N/A	N/A
                └─HashAgg_361	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:1m19.7s, avg: 1m19.7s, p80:1m19.7s, p95:1m19.7s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#201)->Column#185, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#186, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
                  └─ExchangeReceiver_363	5.00	36711547	mpp[tiflash]		tiflash_task:{proc max:1m19.4s, min:1m19.4s, avg: 1m19.4s, p80:1m19.4s, p95:1m19.4s, iters:2052, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2334ms}	stream_count: 2	N/A	N/A
                    └─ExchangeSender_362	5.00	36711547	mpp[tiflash]		tiflash_task:{proc max:1m19.7s, min:0s, avg: 39.8s, p80:1m19.7s, p95:1m19.7s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
