-- Query: 26454
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        r.r_name AS region,
        ROW_NUMBER() OVER (PARTITION BY r.r_region...
-- Execution time: 86.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_76	25983805.01	25	root		time:1m25.6s, loops:2, RU:178818.687586	Column#143:desc	8.23 KB	0 Bytes
└─TableReader_390	25983805.01	25	root		time:1m25.6s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_389	8.55 KB	N/A
  └─ExchangeSender_389	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:1m25.5s, avg: 1m25.5s, p80:1m25.5s, p95:1m25.5s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_79	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:1m25.5s, avg: 1m25.5s, p80:1m25.5s, p95:1m25.5s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.region.r_name, Column#142, Column#143, Column#144	N/A	N/A
      └─Projection_385	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:1m25.5s, avg: 1m25.5s, p80:1m25.5s, p95:1m25.5s, iters:4, tasks:2, threads:4}	Column#142, Column#143, div(Column#144, cast(case(eq(Column#169, 0), 1, Column#169), decimal(20,0) BINARY))->Column#144, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_386	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.4s, min:1m25.4s, avg: 1m25.4s, p80:1m25.4s, p95:1m25.4s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.region.r_name, funcs:sum(Column#170)->Column#142, funcs:sum(Column#171)->Column#143, funcs:sum(Column#172)->Column#169, funcs:sum(Column#173)->Column#144, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(tpch_sf40.orders.o_totalprice)->tpch_sf40.orders.o_totalprice, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_388	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.4s, min:1m25.4s, avg: 1m25.4s, p80:1m25.4s, p95:1m25.4s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_387	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.6s, min:0s, avg: 42.8s, p80:1m25.6s, p95:1m25.6s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.orders.o_totalprice, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_383	25983805.01	25	mpp[tiflash]		tiflash_task:{proc max:1m25.6s, min:0s, avg: 42.8s, p80:1m25.6s, p95:1m25.6s, iters:2, tasks:2, threads:2}	group by:Column#183, Column#184, Column#185, Column#186, Column#187, funcs:sum(Column#179)->Column#170, funcs:sum(Column#180)->Column#171, funcs:count(Column#181)->Column#172, funcs:sum(Column#182)->Column#173	N/A	N/A
                └─Projection_393	424800239.01	700	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:0s, avg: 42.8s, p80:1m25.5s, p95:1m25.5s, iters:29598, tasks:2, threads:4}	tpch_sf40.lineitem.l_quantity->Column#179, mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#180, tpch_sf40.supplier.s_acctbal->Column#181, tpch_sf40.supplier.s_acctbal->Column#182, tpch_sf40.orders.o_orderkey->Column#183, tpch_sf40.orders.o_orderdate->Column#184, tpch_sf40.orders.o_totalprice->Column#185, tpch_sf40.customer.c_name->Column#186, tpch_sf40.region.r_name->Column#187	N/A	N/A
                  └─Projection_372	424800239.01	700	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:0s, avg: 42.7s, p80:1m25.5s, p95:1m25.5s, iters:29598, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_name, tpch_sf40.region.r_name, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.supplier.s_acctbal	N/A	N/A
                    └─Projection_362	424800239.01	700	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:0s, avg: 42.7s, p80:1m25.5s, p95:1m25.5s, iters:29598, tasks:2, threads:4}	tpch_sf40.supplier.s_acctbal, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.region.r_name, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                      └─HashJoin_361	424800239.01	700	mpp[tiflash]		tiflash_task:{proc max:1m25.5s, min:0s, avg: 42.7s, p80:1m25.5s, p95:1m25.5s, iters:29598, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_134(Build)	26166791.12	25	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_133	26166791.12	25	mpp[tiflash]		tiflash_task:{proc max:26.2s, min:0s, avg: 13.1s, p80:26.2s, p95:26.2s, iters:5, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
