-- Query: 26465
-- SQL: WITH SupplierParts AS (
    SELECT s.s_suppkey, s.s_name, p.p_partkey, p.p_name, ps.ps_availqty, ps.ps_supplycost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    JOIN part ...
-- Execution time: 5.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_269	1.00	0	root		time:4.92s, loops:1, RU:13572.017015, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#121	2.64 KB	N/A
└─Projection_270	1.00	0	root		time:4.92s, loops:1, Concurrency:OFF	tpch_sf40.supplier.s_name, Column#121, tpch_sf40.nation.n_name	2.64 KB	N/A
  └─IndexJoin_277	1.00	0	root		time:4.92s, loops:1, inner:{total:13.3ms, concurrency:2, task:1, construct:12.5µs, fetch:13.3ms, build:157ns}, probe:1.25µs	inner join, inner:TableReader_273, outer key:tpch_sf40.supplier.s_nationkey, inner key:tpch_sf40.nation.n_nationkey, equal cond:eq(tpch_sf40.supplier.s_nationkey, tpch_sf40.nation.n_nationkey)	65.3 KB	N/A
    ├─TopN_284(Build)	5.00	5	root		time:4.91s, loops:3	Column#121:desc, offset:0, count:5	826 Bytes	0 Bytes
    │ └─TableReader_290	5.00	10	root		time:4.91s, loops:3, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_289	4.18 KB	N/A
    │   └─ExchangeSender_289	5.00	10	mpp[tiflash]		tiflash_task:{time:4.91s, loops:2, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │     └─TopN_288	5.00	10	mpp[tiflash]		tiflash_task:{time:4.91s, loops:2, threads:2}	Column#121:desc, offset:0, count:5	N/A	N/A
    │       └─Projection_248	400000.00	400000	mpp[tiflash]		tiflash_task:{time:4.88s, loops:7, threads:2}	Column#121, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey	N/A	N/A
    │         └─Projection_245	400000.00	400000	mpp[tiflash]		tiflash_task:{time:4.88s, loops:7, threads:2}	tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_nationkey, Column#121	N/A	N/A
    │           └─HashJoin_244	400000.00	400000	mpp[tiflash]		tiflash_task:{time:4.88s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
