-- Query: 26483
-- SQL: WITH SupplierPartDetails AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_nationkey,
        ps.ps_partkey,
        p.p_name,
        p.p_brand,
        ps.ps_availqty,
        ps.p...
-- Execution time: 96.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_85	100.00	100	root		time:1m35.7s, loops:2, RU:201409.508740, Concurrency:OFF	tpch_sf40.supplier.s_name, Column#173, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#197	12.7 KB	N/A
└─TopN_88	100.00	100	root		time:1m35.7s, loops:2	Column#173:desc, tpch_sf40.supplier.s_name, offset:0, count:100	34.9 KB	0 Bytes
  └─HashAgg_93	398784.00	266663	root		time:1m35.7s, loops:263	group by:Column#173, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#197, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(Column#173)->Column#173, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	206.1 MB	0 Bytes
    └─Projection_97	6102522.66	3996961	root		time:1m34.5s, loops:3905, Concurrency:2	Column#173, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.orders.o_orderkey	542.9 KB	N/A
      └─HashJoin_100	6102522.66	3996961	root		time:1m35.5s, loops:3905, build_hash_table:{total:1m29.7s, fetch:1m29.6s, build:68.6ms}, probe:{concurrency:2, total:3m11.2s, max:1m35.6s, probe:608.9ms, fetch and wait:3m10.6s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	61.4 MB	0 Bytes
        ├─TableReader_464(Build)	398784.00	400000	root		time:1m29.6s, loops:537, cop_task: {num: 178, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_463	4.66 MB	N/A
        │ └─ExchangeSender_463	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1m29.7s, min:1m29.6s, avg: 1m29.6s, p80:1m29.7s, p95:1m29.7s, iters:516, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Projection_459	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1m29.6s, min:1m29.6s, avg: 1m29.6s, p80:1m29.6s, p95:1m29.6s, iters:516, tasks:2, threads:4}	Column#173, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
        │     └─HashAgg_460	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1m29.6s, min:1m29.6s, avg: 1m29.6s, p80:1m29.6s, p95:1m29.6s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#207)->Column#173, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
        │       └─ExchangeReceiver_462	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1m29.6s, min:1m29.6s, avg: 1m29.6s, p80:1m29.6s, p95:1m29.6s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 119ms}	stream_count: 2	N/A	N/A
        │         └─ExchangeSender_461	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1m29.6s, min:0s, avg: 44.8s, p80:1m29.6s, p95:1m29.6s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
        │           └─HashAgg_294	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1m29.6s, min:0s, avg: 44.8s, p80:1m29.6s, p95:1m29.6s, iters:512, tasks:2, threads:4}	group by:Column#226, Column#227, funcs:sum(Column#225)->Column#207	N/A	N/A
        │             └─Projection_499	477141219.88	464940524	mpp[tiflash]		tiflash_task:{proc max:57.4s, min:0s, avg: 28.7s, p80:57.4s, p95:57.4s, iters:29596, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, tpch_sf40.lineitem.l_quantity)->Column#225, tpch_sf40.supplier.s_suppkey->Column#226, tpch_sf40.supplier.s_name->Column#227	N/A	N/A
        │               └─Projection_160	477141219.88	464940524	mpp[tiflash]		tiflash_task:{proc max:57.2s, min:0s, avg: 28.6s, p80:57.2s, p95:57.2s, iters:29596, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.lineitem.l_quantity	N/A	N/A
        │                 └─Projection_156	477141219.88	464940524	mpp[tiflash]		tiflash_task:{proc max:57.1s, min:0s, avg: 28.6s, p80:57.1s, p95:57.1s, iters:29596, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_orderkey	N/A	N/A
        │                   └─HashJoin_130	477141219.88	464940524	mpp[tiflash]		tiflash_task:{proc max:57.1s, min:0s, avg: 28.6s, p80:57.1s, p95:57.1s, iters:29596, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
        │                     ├─ExchangeReceiver_155(Build)	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:2.78s, min:0s, avg: 1.39s, p80:2.78s, p95:2.78s, iters:1863, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1702ms}	stream_count: 2	N/A	N/A
        │                     │ └─ExchangeSender_154	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:3.23s, min:0s, avg: 1.62s, p80:3.23s, p95:3.23s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
        │                     │   └─TableFullScan_152	29261094.98	29229464	mpp[tiflash]	table:o	tiflash_task:{proc max:2.92s, min:0s, avg: 1.46s, p80:2.92s, p95:2.92s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2685ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:42ms, min_local_stream:0ms, max_local_stream:2906ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:1309ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "F"), keep order:false	N/A	N/A
        │                     └─ExchangeReceiver_151(Probe)	971538228.32	960049160	mpp[tiflash]		tiflash_task:{proc max:49.2s, min:0s, avg: 24.6s, p80:49.2s, p95:49.2s, iters:29596, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3232ms, pipeline_queue_wait: 43170ms}		N/A	N/A
        │                       └─ExchangeSender_150	971538228.32	960049160	mpp[tiflash]		tiflash_task:{proc max:1m29.4s, min:0s, avg: 44.7s, p80:1m29.4s, p95:1m29.4s, iters:18313, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
        │                         └─Projection_149	971538228.32	960049160	mpp[tiflash]		tiflash_task:{proc max:1m19.2s, min:0s, avg: 39.6s, p80:1m19.2s, p95:1m19.2s, iters:18313, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_partkey	N/A	N/A
        │                           └─HashJoin_131	971538228.32	960049160	mpp[tiflash]		tiflash_task:{proc max:1m19.2s, min:0s, avg: 39.6s, p80:1m19.2s, p95:1m19.2s, iters:18313, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
        │                             ├─ExchangeReceiver_145(Build)	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:2.41s, min:0s, avg: 1.2s, p80:2.41s, p95:2.41s, iters:1950, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1224ms}	stream_count: 2	N/A	N/A
        │                             │ └─ExchangeSender_144	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:2.6s, min:0s, avg: 1.3s, p80:2.6s, p95:2.6s, iters:509, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
        │                             │   └─Projection_143	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:2.33s, min:0s, avg: 1.16s, p80:2.33s, p95:2.33s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
        │                             │     └─HashJoin_133	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:2.32s, min:0s, avg: 1.16s, p80:2.32s, p95:2.32s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
        │                             │       ├─ExchangeReceiver_142(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{proc max:148.9ms, min:0s, avg: 74.5ms, p80:148.9ms, p95:148.9ms, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 74ms}		N/A	N/A
        │                             │       │ └─ExchangeSender_141	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:517.8ms, min:0s, avg: 258.9ms, p80:517.8ms, p95:517.8ms, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │                             │       │   └─TableFullScan_140	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:516.8ms, min:0s, avg: 258.4ms, p80:516.8ms, p95:516.8ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 470ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:10ms, min_local_stream:0ms, max_local_stream:516ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:93ms}}	keep order:false	N/A	N/A
        │                             │       └─Projection_139(Probe)	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:0s, avg: 1.01s, p80:2.03s, p95:2.03s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
        │                             │         └─HashJoin_134	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:2.03s, min:0s, avg: 1.01s, p80:2.03s, p95:2.03s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
        │                             │           ├─ExchangeReceiver_137(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{proc max:174.9ms, min:0s, avg: 87.5ms, p80:174.9ms, p95:174.9ms, iters:14, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 112ms}		N/A	N/A
        │                             │           │ └─ExchangeSender_136	400000.00	400000	mpp[tiflash]		tiflash_task:{proc max:113ms, min:0s, avg: 56.5ms, p80:113ms, p95:113ms, iters:7, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
        │                             │           │   └─TableFullScan_135	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:109ms, min:0s, avg: 54.5ms, p80:109ms, p95:109ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 79ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:3ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:103ms, max_local_stream:105ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:16ms}}	keep order:false	N/A	N/A
        │                             │           └─TableFullScan_138(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{proc max:1.45s, min:0s, avg: 727ms, p80:1.45s, p95:1.45s, iters:509, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 506ms, pipeline_queue_wait: 904ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:20ms, region_balance:{instance_num: 2, max/min: 13/9=1.444444}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:38ms, min_local_stream:0ms, max_local_stream:1433ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:1025ms}}	keep order:false	N/A	N/A
        │                             └─ExchangeReceiver_148(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:46.2s, min:0s, avg: 23.1s, p80:46.2s, p95:46.2s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2628ms, pipeline_queue_wait: 43391ms}		N/A	N/A
        │                               └─ExchangeSender_147	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:1m27.2s, min:0s, avg: 43.6s, p80:1m27.2s, p95:1m27.2s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
        │                                 └─TableFullScan_146	240012290.00	240012290	mpp[tiflash]	table:l	tiflash_task:{proc max:46.7s, min:0s, avg: 23.4s, p80:46.7s, p95:46.7s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 46322ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:4ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:10ms, tot_build_inputstream:927ms, min_local_stream:0ms, max_local_stream:46728ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:10ms, tot_read:7266ms}}	keep order:false	N/A	N/A
        └─IndexHashJoin_188(Probe)	6102522.66	3996961	root		time:4.18s, loops:3905, inner:{total:3m10.1s, concurrency:2, task:19, construct:82.5ms, fetch:7.59s, build:16.6ms, join:3m2.4s}	inner join, inner:IndexReader_185, outer key:tpch_sf40.supplier.s_suppkey, inner key:tpch_sf40.orders.o_custkey, equal cond:eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.orders.o_custkey)	28.1 MB	N/A
          ├─IndexHashJoin_207(Build)	399987.00	400000	root		time:455.3ms, loops:393, inner:{total:1m33.8s, concurrency:2, task:1, construct:8.48µs, fetch:401.3ms, build:7.24µs, join:1m33.4s}	inner join, inner:IndexReader_204, outer key:tpch_sf40.nation.n_nationkey, inner key:tpch_sf40.supplier.s_nationkey, equal cond:eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)	6.34 MB	N/A
          │ ├─HashJoin_256(Build)	25.00	25	root		time:593.1µs, loops:3, build_hash_table:{total:166.2µs, fetch:160µs, build:6.23µs}, probe:{concurrency:2, total:394.1µs, max:274.8µs, probe:23.4µs, fetch and wait:370.7µs}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	25.7 KB	0 Bytes
          │ │ ├─TableReader_267(Build)	5.00	5	root		time:148.8µs, loops:2, cop_task: {num: 1, max: 19.4ms, proc_keys: 5, tot_proc: 259.7µs, tot_wait: 289.4µs, copr_cache_hit_ratio: 0.00, build_task_duration: 10.4ms, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:19.4ms}}	data:TableFullScan_266	398 Bytes	N/A
          │ │ │ └─TableFullScan_266	5.00	5	cop[tikv]	table:r	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 5, total_process_keys_size: 559, total_keys: 6, get_snapshot_time: 274.7µs, rocksdb: {key_skipped_count: 5, block: {cache_hit_count: 2, read_count: 2, read_byte: 442 Bytes, read_time: 180.5µs}}}, time_detail: {total_process_time: 259.7µs, total_wait_time: 289.4µs, tikv_wall_time: 613.8µs}	keep order:false	N/A	N/A
          │ │ └─TableReader_272(Probe)	25.00	25	root		time:132.4µs, loops:2, cop_task: {num: 1, max: 19ms, proc_keys: 25, tot_proc: 313.7µs, tot_wait: 384.6µs, copr_cache_hit_ratio: 0.00, build_task_duration: 26.9ms, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:19ms}}	data:TableFullScan_271	1.04 KB	N/A
          │ │   └─TableFullScan_271	25.00	25	cop[tikv]	table:n	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 25, total_process_keys_size: 3109, total_keys: 26, get_snapshot_time: 372.5µs, rocksdb: {key_skipped_count: 25, block: {cache_hit_count: 2, read_count: 2, read_byte: 1.37 KB, read_time: 198.7µs}}}, time_detail: {total_process_time: 313.7µs, total_wait_time: 384.6µs, tikv_wall_time: 784.4µs}	keep order:false	N/A	N/A
          │ └─IndexReader_204(Probe)	399987.00	400000	root		time:382.6ms, loops:393, cop_task: {num: 16, max: 54.1ms, min: 7.48ms, avg: 23.9ms, p95: 54.1ms, max_proc_keys: 50144, p95_proc_keys: 50144, tot_proc: 112.2ms, tot_wait: 1.61ms, copr_cache_hit_ratio: 0.00, build_task_duration: 18.4ms, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:16, total_time:381.5ms}}	index:IndexRangeScan_203	1.53 MB	N/A
          │   └─IndexRangeScan_203	399987.00	400000	cop[tikv]	table:s, index:idx_supplier_fk1(s_nationkey)	tikv_task:{proc max:14ms, min:0s, avg: 6.63ms, p80:11ms, p95:14ms, iters:454, tasks:16}, scan_detail: {total_process_keys: 400000, total_process_keys_size: 18400000, total_keys: 400040, get_snapshot_time: 701.3µs, rocksdb: {key_skipped_count: 400000, block: {cache_hit_count: 159, read_count: 493, read_byte: 1.51 MB, read_time: 11.2ms}}}, time_detail: {total_process_time: 112.2ms, total_suspend_time: 226.9µs, total_wait_time: 1.61ms, total_kv_read_wall_time: 106ms, tikv_wall_time: 116.1ms}	range: decided by [eq(tpch_sf40.supplier.s_nationkey, tpch_sf40.nation.n_nationkey)], keep order:false	N/A	N/A
          └─IndexReader_185(Probe)	6102522.66	3996961	root		time:7.18s, loops:3957, cop_task: {num: 364, max: 114.3ms, min: 4ms, avg: 33.3ms, p95: 63.4ms, max_proc_keys: 50144, p95_proc_keys: 50144, tot_proc: 3.12s, tot_wait: 27.3ms, copr_cache_hit_ratio: 0.00, build_task_duration: 232.6ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:364, total_time:12.1s}}	index:IndexRangeScan_184	212.8 KB	N/A
            └─IndexRangeScan_184	6102522.66	3996961	cop[tikv]	table:co, index:idx_orders_fk1(o_custkey)	tikv_task:{proc max:80ms, min:0s, avg: 9.14ms, p80:17ms, p95:33ms, iters:5323, tasks:364}, scan_detail: {total_process_keys: 3996961, total_process_keys_size: 183860206, total_keys: 4397290, get_snapshot_time: 9.63ms, rocksdb: {key_skipped_count: 3996961, block: {cache_hit_count: 1600760, read_count: 5799, read_byte: 31.9 MB, read_time: 471.3ms}}}, time_detail: {total_process_time: 3.12s, total_suspend_time: 256.7ms, total_wait_time: 27.3ms, total_kv_read_wall_time: 3.33s, tikv_wall_time: 4.08s}	range: decided by [eq(tpch_sf40.orders.o_custkey, tpch_sf40.supplier.s_suppkey)], keep order:false	N/A	N/A
