-- Query: 26484
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        n.n_name AS nation_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVE...
-- Execution time: 14.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_89	10.00	10	root		time:14.2s, loops:2, RU:140048.438853, Concurrency:OFF	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#178, Column#179, Column#180, Column#181	5.32 KB	N/A
└─TopN_93	10.00	10	root		time:14.2s, loops:2	Column#179:desc, offset:0, count:10	2.33 KB	0 Bytes
  └─TableReader_344	10.00	40	root		time:14.2s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_343	7.64 KB	N/A
    └─ExchangeSender_343	10.00	40	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:14.1s, avg: 14.1s, p80:14.1s, p95:14.1s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_342	10.00	40	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:14.1s, avg: 14.1s, p80:14.1s, p95:14.1s, iters:4, tasks:2, threads:4}	Column#179:desc, offset:0, count:10	N/A	N/A
        └─Projection_338	59580416.00	45272	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:14.1s, avg: 14.1s, p80:14.1s, p95:14.1s, iters:4, tasks:2, threads:4}	Column#178, Column#179, div(Column#180, cast(case(eq(Column#206, 0), 1, Column#206), decimal(20,0) BINARY))->Column#180, Column#181, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	N/A	N/A
          └─HashAgg_339	59580416.00	45272	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:14.1s, avg: 14.1s, p80:14.1s, p95:14.1s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:count(distinct tpch_sf40.lineitem.l_partkey)->Column#178, funcs:sum(Column#207)->Column#179, funcs:sum(Column#208)->Column#206, funcs:sum(Column#209)->Column#180, funcs:max(Column#210)->Column#181, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_341	59580416.00	45296	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:14.1s, avg: 14.1s, p80:14.1s, p95:14.1s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_340	59580416.00	45296	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:0s, avg: 7.07s, p80:14.1s, p95:14.1s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], stream_count: 2	N/A	N/A
                └─HashAgg_336	59580416.00	45296	mpp[tiflash]		tiflash_task:{proc max:14.1s, min:0s, avg: 7.06s, p80:14.1s, p95:14.1s, iters:2, tasks:2, threads:2}	group by:Column#221, Column#222, Column#223, funcs:sum(Column#217)->Column#207, funcs:count(Column#218)->Column#208, funcs:sum(Column#219)->Column#209, funcs:max(Column#220)->Column#210	N/A	N/A
