-- Query: 26492
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
        ROW_NUMBER() OVER (PARTITION BY EXTRACT(YE...
-- Execution time: 36.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_67	7264489.36	10	root		time:36.4s, loops:2, RU:169517.564601	Column#103:desc	3.91 KB	0 Bytes
└─TableReader_390	7264489.36	10	root		time:36.4s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_389	9.73 KB	N/A
  └─ExchangeSender_389	7264489.36	10	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:36.4s, avg: 36.4s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_70	7264489.36	10	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:36.4s, avg: 36.4s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#103, Column#156	N/A	N/A
      └─Projection_385	7264489.36	10	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:36.4s, avg: 36.4s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	Column#156, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#103, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address	N/A	N/A
        └─HashAgg_386	7264489.36	10	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:36.4s, avg: 36.4s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	group by:Column#103, tpch_sf40.customer.c_address, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#156, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(Column#103)->Column#103, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.customer.c_address)->tpch_sf40.customer.c_address, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_388	7264489.36	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:36.4s, avg: 36.4s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_387	7264489.36	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:0s, avg: 18.2s, p80:36.4s, p95:36.4s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.customer.c_address, collate: utf8mb4_bin], [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: Column#103, collate: binary], stream_count: 2	N/A	N/A
              └─HashAgg_383	7264489.36	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:0s, avg: 18.2s, p80:36.4s, p95:36.4s, iters:2, tasks:2, threads:2}	group by:Column#103, tpch_sf40.customer.c_address, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.supplier.s_suppkey, 	N/A	N/A
                └─Projection_372	118764623.46	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:0s, avg: 18.2s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#103, Column#103, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.supplier.s_suppkey	N/A	N/A
                  └─Projection_362	118764623.46	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:0s, avg: 18.2s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#103, Column#103, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.orders.o_custkey	N/A	N/A
                    └─HashJoin_361	118764623.46	280	mpp[tiflash]		tiflash_task:{proc max:36.4s, min:0s, avg: 18.2s, p80:36.4s, p95:36.4s, iters:4, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)], stream_count: 2	N/A	N/A
                      ├─ExchangeReceiver_149(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:584.4ms, min:0s, avg: 292.2ms, p80:584.4ms, p95:584.4ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 410ms}	stream_count: 2	N/A	N/A
                      │ └─ExchangeSender_148	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:619.8ms, min:0s, avg: 309.9ms, p80:619.8ms, p95:619.8ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                      │   └─TableFullScan_147	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:558.8ms, min:0s, avg: 279.4ms, p80:558.8ms, p95:558.8ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 482ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:15ms, min_local_stream:0ms, max_local_stream:547ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:772ms}}	keep order:false	N/A	N/A
