-- Query: 26495
-- SQL: SELECT 
    n.n_name, 
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
FROM 
    lineitem l
JOIN 
    orders o ON l.l_orderkey = o.o_orderkey
JOIN 
    customer c ON o.o_custkey = c.c...
-- Execution time: 7.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_32	10.00	10	root		time:7.44s, loops:2, RU:70991.002085, Concurrency:OFF	tpch_sf40.nation.n_name, Column#50	2.02 KB	N/A
└─TopN_36	10.00	10	root		time:7.44s, loops:2	Column#50:desc, offset:0, count:10	2.11 KB	0 Bytes
  └─TableReader_243	10.00	25	root		time:7.44s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_242	6.92 KB	N/A
    └─ExchangeSender_242	10.00	25	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:7.43s, avg: 7.43s, p80:7.43s, p95:7.43s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_241	10.00	25	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:7.43s, avg: 7.43s, p80:7.43s, p95:7.43s, iters:4, tasks:2, threads:4}	Column#50:desc, offset:0, count:10	N/A	N/A
        └─Projection_237	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:7.43s, avg: 7.43s, p80:7.43s, p95:7.43s, iters:4, tasks:2, threads:4}	Column#50, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_238	25.00	25	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:7.43s, avg: 7.43s, p80:7.43s, p95:7.43s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#56)->Column#50, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_240	25.00	50	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:7.43s, avg: 7.43s, p80:7.43s, p95:7.43s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_239	25.00	50	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:0s, avg: 3.71s, p80:7.43s, p95:7.43s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_235	25.00	50	mpp[tiflash]		tiflash_task:{proc max:7.43s, min:0s, avg: 3.71s, p80:7.43s, p95:7.43s, iters:2, tasks:2, threads:2}	group by:Column#59, funcs:sum(Column#58)->Column#56	N/A	N/A
                  └─Projection_244	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:7.38s, min:0s, avg: 3.69s, p80:7.38s, p95:7.38s, iters:1016, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#58, tpch_sf40.nation.n_name->Column#59	N/A	N/A
                    └─Projection_224	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:7.36s, min:0s, avg: 3.68s, p80:7.36s, p95:7.36s, iters:1016, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name	N/A	N/A
                      └─Projection_214	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:7.36s, min:0s, avg: 3.68s, p80:7.36s, p95:7.36s, iters:1016, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                        └─HashJoin_213	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:7.36s, min:0s, avg: 3.68s, p80:7.36s, p95:7.36s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.partsupp.ps_partkey) eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
                          ├─ExchangeReceiver_88(Build)	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.35s, min:0s, avg: 2.67s, p80:5.35s, p95:5.35s, iters:2356, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1312ms}	stream_count: 2	N/A	N/A
                          │ └─ExchangeSender_87	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.98s, min:0s, avg: 2.99s, p80:5.98s, p95:5.98s, iters:2354, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary], [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                          │   └─Projection_86	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.75s, min:0s, avg: 2.88s, p80:5.75s, p95:5.75s, iters:2354, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                          │     └─HashJoin_60	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.75s, min:0s, avg: 2.88s, p80:5.75s, p95:5.75s, iters:2354, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                          │       ├─ExchangeReceiver_85(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:114.9ms, min:0s, avg: 57.5ms, p80:114.9ms, p95:114.9ms, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 85ms}		N/A	N/A
                          │       │ └─ExchangeSender_84	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:483.1ms, min:0s, avg: 241.6ms, p80:483.1ms, p95:483.1ms, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                          │       │   └─TableFullScan_83	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:482.1ms, min:0s, avg: 241.1ms, p80:482.1ms, p95:482.1ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 448ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:4ms, min_local_stream:451ms, max_local_stream:481ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:62ms}}	keep order:false	N/A	N/A
                          │       └─Projection_82(Probe)	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.38s, min:0s, avg: 2.69s, p80:5.38s, p95:5.38s, iters:2354, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_partkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_custkey, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                          │         └─HashJoin_61	29802960.18	21199145	mpp[tiflash]		tiflash_task:{proc max:5.38s, min:0s, avg: 2.69s, p80:5.38s, p95:5.38s, iters:2354, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                          │           ├─ExchangeReceiver_81(Build)	9163899.90	9077826	mpp[tiflash]		tiflash_task:{proc max:1.23s, min:0s, avg: 616.8ms, p80:1.23s, p95:1.23s, iters:910, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 441ms}	stream_count: 2	N/A	N/A
