-- Query: 26496
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVER (ORDER BY SUM(ps.ps_supplycost *...
-- Execution time: 20.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_80	5.00	5	root		time:20.4s, loops:2, RU:33976.171875, Concurrency:OFF	tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#130, Column#108	5.45 KB	N/A
└─TopN_83	5.00	5	root		time:20.4s, loops:2	Column#108:desc, Column#130:desc, offset:0, count:5	195.8 KB	0 Bytes
  └─Projection_88	1225066489777.48	39999100	root		time:19.8s, loops:39063, Concurrency:2	tpch_sf40.customer.c_name, Column#108, tpch_sf40.supplier.s_name, Column#130, Column#130	694.6 KB	N/A
    └─HashJoin_91	1225066489777.48	39999100	root		time:20.4s, loops:39063, build_hash_table:{total:14.9s, fetch:14.9s, build:6.7µs}, probe:{concurrency:2, total:40.8s, max:20.4s, probe:2.25s, fetch and wait:38.6s}	CARTESIAN inner join	66.0 KB	0 Bytes
      ├─TableReader_192(Build)	319027.20	10	root		time:14.9s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_191	2.99 KB	N/A
      │ └─ExchangeSender_191	319027.20	10	mpp[tiflash]		tiflash_task:{time:15s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_93	319027.20	10	mpp[tiflash]		tiflash_task:{time:15s, loops:1, threads:2}	le(Column#132, 10)	N/A	N/A
      │     └─Window_190	398784.00	400000	mpp[tiflash]		tiflash_task:{time:15s, loops:7, threads:2}	rank()->Column#132 over(order by Column#130 desc)	N/A	N/A
      │       └─Sort_118	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:7, threads:1}	Column#130:desc	N/A	N/A
      │         └─ExchangeReceiver_117	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 12ms}		N/A	N/A
      │           └─ExchangeSender_116	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:516, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
      │             └─Projection_112	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:516, threads:4}	Column#130, tpch_sf40.supplier.s_name	N/A	N/A
      │               └─HashAgg_113	398784.00	400000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:516, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#137)->Column#130, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
      │                 └─ExchangeReceiver_115	398784.00	800000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:96, threads:4}, tiflash_wait: {pipeline_queue_wait: 88ms}	stream_count: 2	N/A	N/A
      │                   └─ExchangeSender_114	398784.00	800000	mpp[tiflash]		tiflash_task:{time:14.9s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │                     └─HashAgg_97	398784.00	800000	mpp[tiflash]		tiflash_task:{time:14.8s, loops:512, threads:4}	group by:Column#155, Column#156, funcs:sum(Column#154)->Column#137	N/A	N/A
      │                       └─Projection_301	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:13.4s, loops:509, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#154, tpch_sf40.supplier.s_suppkey->Column#155, tpch_sf40.supplier.s_name->Column#156	N/A	N/A
      │                         └─Projection_111	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:13.3s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      │                           └─HashJoin_110	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:13.3s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
      │                             ├─ExchangeReceiver_101(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{time:229.8ms, loops:14, threads:4}		N/A	N/A
      │                             │ └─ExchangeSender_100	400000.00	400000	mpp[tiflash]		tiflash_task:{time:233.6ms, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                             │   └─TableFullScan_99	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:229.6ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:15ms, min_local_stream:225ms, max_local_stream:228ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:213ms}}	keep order:false	N/A	N/A
      │                             └─TableFullScan_102(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{time:12.8s, loops:509, threads:4}, tiflash_wait: {pipeline_breaker_wait: 237ms, pipeline_queue_wait: 1479ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 13/9=1.444444}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1495ms, min_local_stream:9121ms, max_local_stream:12745ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:40180ms}}	keep order:false	N/A	N/A
      └─TableReader_297(Probe)	3840006.40	3999910	root		time:17.4s, loops:3908, cop_task: {num: 63, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_296	4.63 MB	N/A
        └─ExchangeSender_296	3840006.40	3999910	mpp[tiflash]		tiflash_task:{time:18.7s, loops:62, threads:2}	ExchangeType: PassThrough	N/A	N/A
          └─Selection_194	3840006.40	3999910	mpp[tiflash]		tiflash_task:{time:17.4s, loops:62, threads:2}	gt(Column#108, 10000)	N/A	N/A
            └─Window_295	4800008.00	3999929	mpp[tiflash]		tiflash_task:{time:17.4s, loops:62, threads:2}	rank()->Column#110 over(order by Column#108 desc)	N/A	N/A
              └─Sort_220	4800008.00	3999929	mpp[tiflash]		tiflash_task:{time:17.4s, loops:62, threads:1}	Column#108:desc	N/A	N/A
                └─ExchangeReceiver_219	4800008.00	3999929	mpp[tiflash]		tiflash_task:{time:16.4s, loops:341, threads:2}, tiflash_wait: {pipeline_queue_wait: 54ms}		N/A	N/A
                  └─ExchangeSender_218	4800008.00	3999929	mpp[tiflash]		tiflash_task:{time:16.5s, loops:1024, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                    └─Selection_198	4800008.00	3999929	mpp[tiflash]		tiflash_task:{time:16.5s, loops:1024, threads:4}	gt(Column#108, 0)	N/A	N/A
                      └─Projection_214	6000010.00	3999929	mpp[tiflash]		tiflash_task:{time:16.5s, loops:1024, threads:4}	Column#108, tpch_sf40.customer.c_name	N/A	N/A
                        └─HashAgg_215	6000010.00	3999929	mpp[tiflash]		tiflash_task:{time:16.5s, loops:1024, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#143)->Column#108, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
                          └─ExchangeReceiver_217	6000010.00	3999929	mpp[tiflash]		tiflash_task:{time:16.4s, loops:344, threads:4}, tiflash_wait: {pipeline_queue_wait: 269ms}	stream_count: 2	N/A	N/A
                            └─ExchangeSender_216	6000010.00	3999929	mpp[tiflash]		tiflash_task:{time:16.4s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                              └─HashAgg_200	6000010.00	3999929	mpp[tiflash]		tiflash_task:{time:16.3s, loops:512, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#143	N/A	N/A
                                └─Projection_213	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:12.1s, loops:1872, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
                                  └─HashJoin_212	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:12.1s, loops:1872, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                                    ├─ExchangeReceiver_204(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{time:3s, loops:368, threads:4}, tiflash_wait: {pipeline_queue_wait: 42ms}	stream_count: 2	N/A	N/A
                                    │ └─ExchangeSender_203	6000000.00	6000000	mpp[tiflash]		tiflash_task:{time:3.07s, loops:95, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                                    │   └─TableFullScan_202	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{time:3.04s, loops:95, threads:4}, tiflash_wait: {pipeline_queue_wait: 46ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:760ms, min_local_stream:2253ms, max_local_stream:3025ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:6117ms}}	keep order:false	N/A	N/A
                                    └─ExchangeReceiver_207(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:9.92s, loops:1872, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3084ms, pipeline_queue_wait: 515ms}		N/A	N/A
                                      └─ExchangeSender_206	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:16.1s, loops:965, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
                                        └─TableFullScan_205	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{time:15.6s, loops:965, threads:4}, tiflash_wait: {pipeline_queue_wait: 1624ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:1ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2025ms, min_local_stream:15203ms, max_local_stream:15555ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:54706ms}}	keep order:false	N/A	N/A
