-- Query: 26497
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        c.c_nationkey,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey O...
-- Execution time: 47.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_62	48000000.00	125	root		time:47.5s, loops:2, RU:117434.171682	tpch_sf40.orders.o_orderdate:desc, Column#136:desc	17.9 KB	0 Bytes
└─TableReader_307	48000000.00	125	root		time:47.5s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_306	8.77 KB	N/A
  └─ExchangeSender_306	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:47.5s, min:47.5s, avg: 47.5s, p80:47.5s, p95:47.5s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_305	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:47.5s, min:47.5s, avg: 47.5s, p80:47.5s, p95:47.5s, iters:1024, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.nation.n_name, Column#136	N/A	N/A
      └─Projection_302	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:47.5s, min:47.5s, avg: 47.5s, p80:47.5s, p95:47.5s, iters:1024, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, Column#136	N/A	N/A
        └─HashJoin_301	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:47.5s, min:47.5s, avg: 47.5s, p80:47.5s, p95:47.5s, iters:1024, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
          ├─ExchangeReceiver_92(Build)	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:18.3s, avg: 18.3s, p80:18.3s, p95:18.3s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 359ms}	stream_count: 2	N/A	N/A
          │ └─ExchangeSender_91	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.13s, p80:18.3s, p95:18.3s, iters:25, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
          │   └─Projection_90	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.13s, p80:18.3s, p95:18.3s, iters:25, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey	N/A	N/A
          │     └─HashJoin_71	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.13s, p80:18.3s, p95:18.3s, iters:25, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
          │       ├─ExchangeReceiver_74(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:78.4ms, min:0s, avg: 39.2ms, p80:78.4ms, p95:78.4ms, iters:2, tasks:2, threads:4}		N/A	N/A
          │       │ └─ExchangeSender_73	25.00	25	mpp[tiflash]		tiflash_task:{proc max:75.3ms, min:0s, avg: 37.7ms, p80:75.3ms, p95:75.3ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
          │       │   └─TableFullScan_72	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:75.3ms, min:0s, avg: 37.7ms, p80:75.3ms, p95:75.3ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:73ms, min_local_stream:0ms, max_local_stream:74ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
          │       └─Selection_75(Probe)	48000000.00	125	mpp[tiflash]		tiflash_task:{proc max:18.3s, min:0s, avg: 9.13s, p80:18.3s, p95:18.3s, iters:25, tasks:2, threads:4}	le(Column#104, 5), stream_count: 2	N/A	N/A
