-- Query: 26498
-- SQL: WITH RegionalSales AS (
    SELECT 
        r.r_name AS region,
        SUM(ol.l_extendedprice * (1 - ol.l_discount)) AS total_sales
    FROM 
        region r
    JOIN 
        nation n ON r.r_region...
-- Execution time: 70.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_244	4.00	0	root		time:1m9.8s, loops:1, RU:207404.880783	Column#157:desc	0 Bytes	0 Bytes
└─Projection_246	4.00	0	root		time:1m9.8s, loops:1, Concurrency:OFF	tpch_sf40.region.r_name, Column#156, Column#157, Column#158	3.80 KB	N/A
  └─HashAgg_248	4.00	0	root		time:1m9.8s, loops:1	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#156, funcs:sum(Column#155)->Column#157, funcs:avg(Column#155)->Column#158, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	3.12 KB	0 Bytes
    └─Projection_252	4.00	0	root		time:1m9.8s, loops:1, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.customer.c_custkey, Column#155	2.39 KB	N/A
      └─HashJoin_255	4.00	0	root		time:1m9.8s, loops:1, build_hash_table:{total:1m0.1s, fetch:1m0.1s, build:11.3µs}, probe:{concurrency:2, total:2m19.6s, max:1m9.8s, probe:219.3ms, fetch and wait:2m19.4s}	inner join, equal:[eq(Column#143, Column#138)]	57.7 KB	0 Bytes
        ├─TableReader_549(Build)	4.00	5	root		time:1m0.1s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_548	6.29 KB	N/A
        │ └─ExchangeSender_548	4.00	5	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:59.9s, avg: 1m0s, p80:1m0.1s, p95:1m0.1s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
        │   └─Selection_324	4.00	5	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:59.9s, avg: 1m0s, p80:1m0.1s, p95:1m0.1s, iters:4, tasks:2, threads:4}	not(isnull(Column#138))	N/A	N/A
        │     └─Projection_544	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:59.9s, avg: 1m0s, p80:1m0.1s, p95:1m0.1s, iters:4, tasks:2, threads:4}	Column#138, tpch_sf40.region.r_name	N/A	N/A
        │       └─HashAgg_545	5.00	5	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:59.9s, avg: 1m0s, p80:1m0.1s, p95:1m0.1s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#175)->Column#138, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
        │         └─ExchangeReceiver_547	5.00	10	mpp[tiflash]		tiflash_task:{proc max:1m0.1s, min:59.9s, avg: 1m0s, p80:1m0.1s, p95:1m0.1s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 179ms}	stream_count: 2	N/A	N/A
