-- Query: 26502
-- SQL: WITH ranked_suppliers AS (
    SELECT s.s_suppkey, s.s_name, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey
    GRO...
-- Execution time: 9.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_58	25.00	24	root		time:9.51s, loops:2, RU:61335.355199	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#78:desc	6.54 KB	0 Bytes
└─TableReader_315	25.00	24	root		time:9.51s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_314	6.99 KB	N/A
  └─ExchangeSender_314	25.00	24	mpp[tiflash]		tiflash_task:{proc max:9.5s, min:9.49s, avg: 9.5s, p80:9.5s, p95:9.5s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_61	25.00	24	mpp[tiflash]		tiflash_task:{proc max:9.5s, min:9.49s, avg: 9.5s, p80:9.5s, p95:9.5s, iters:1024, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, Column#107, Column#78	N/A	N/A
      └─Projection_313	25.00	24	mpp[tiflash]		tiflash_task:{proc max:9.5s, min:9.49s, avg: 9.5s, p80:9.5s, p95:9.5s, iters:1024, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#78, tpch_sf40.supplier.s_name, Column#107, tpch_sf40.part.p_name, tpch_sf40.part.p_partkey	N/A	N/A
        └─HashJoin_312	25.00	24	mpp[tiflash]		tiflash_task:{proc max:9.5s, min:9.49s, avg: 9.5s, p80:9.5s, p95:9.5s, iters:1024, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.part.p_partkey)]	N/A	N/A
          ├─ExchangeReceiver_94(Build)	25.00	48	mpp[tiflash]		tiflash_task:{proc max:3.76s, min:3.67s, avg: 3.71s, p80:3.76s, p95:3.76s, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 102ms}		N/A	N/A
          │ └─ExchangeSender_93	25.00	24	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
          │   └─Projection_92	25.00	24	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#78, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
          │     └─HashJoin_65	25.00	24	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
          │       ├─ExchangeReceiver_73(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:271.4ms, min:0s, avg: 135.7ms, p80:271.4ms, p95:271.4ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 159ms}		N/A	N/A
          │       │ └─ExchangeSender_72	25.00	25	mpp[tiflash]		tiflash_task:{proc max:113.2ms, min:0s, avg: 56.6ms, p80:113.2ms, p95:113.2ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
          │       │   └─Projection_71	25.00	25	mpp[tiflash]		tiflash_task:{proc max:113.2ms, min:0s, avg: 56.6ms, p80:113.2ms, p95:113.2ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
          │       │     └─HashJoin_66	25.00	25	mpp[tiflash]		tiflash_task:{proc max:113.2ms, min:0s, avg: 56.6ms, p80:113.2ms, p95:113.2ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
          │       │       ├─ExchangeReceiver_69(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:13.2ms, min:0s, avg: 6.61ms, p80:13.2ms, p95:13.2ms, iters:1, tasks:2, threads:2}		N/A	N/A
          │       │       │ └─ExchangeSender_68	5.00	5	mpp[tiflash]		tiflash_task:{proc max:4.17ms, min:0s, avg: 2.08ms, p80:4.17ms, p95:4.17ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
          │       │       │   └─TableFullScan_67	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:4.17ms, min:0s, avg: 2.08ms, p80:4.17ms, p95:4.17ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:3ms, max_local_stream:3ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
          │       │       └─TableFullScan_70(Probe)	25.00	25	mpp[tiflash]	table:tn	tiflash_task:{proc max:113.2ms, min:0s, avg: 56.6ms, p80:113.2ms, p95:113.2ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 97ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:100ms, max_local_stream:100ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
          │       └─Selection_74(Probe)	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	gt(Column#78, 50000)	N/A	N/A
          │         └─Projection_88	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	Column#78, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
          │           └─HashAgg_89	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:3.66s, min:0s, avg: 1.83s, p80:3.66s, p95:3.66s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#111)->Column#78, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
          │             └─ExchangeReceiver_91	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:3.64s, min:0s, avg: 1.82s, p80:3.64s, p95:3.64s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 271ms, pipeline_queue_wait: 777ms}	stream_count: 2	N/A	N/A
