-- Query: 26522
-- SQL: WITH SupplierSales AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS order_count,
    ...
-- Execution time: 58.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_82	5.00	5	root		time:58.5s, loops:2, RU:177194.666088	Column#165:desc, tpch_sf40.region.r_name	2.66 KB	0 Bytes
└─Projection_84	5.00	5	root		time:58.5s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#165, Column#166, Column#171	2.77 KB	N/A
  └─Window_87	5.00	5	root		time:58.5s, loops:2	rank()->Column#171 over(order by Column#165 desc)	N/A	N/A
    └─Sort_453	5.00	5	root		time:58.5s, loops:2	Column#165:desc	2.47 KB	0 Bytes
      └─Projection_176	5.00	5	root		time:58.5s, loops:2, Concurrency:OFF	Column#165, Column#166, tpch_sf40.region.r_name	2.39 KB	N/A
        └─HashJoin_197	5.00	5	root		time:58.5s, loops:2, build_hash_table:{total:84.3µs, fetch:74.7µs, build:9.61µs}, probe:{concurrency:2, total:1m57s, max:58.5s, probe:12.1µs, fetch and wait:1m57s}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	25.7 KB	0 Bytes
          ├─TableReader_449(Build)	5.00	5	root		time:54.5µs, loops:2, cop_task: {num: 1, max: 951.5µs, proc_keys: 5, tot_proc: 247.1µs, tot_wait: 432.7µs, copr_cache_hit_ratio: 0.00, build_task_duration: 7.76µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:936.4µs}}	data:TableFullScan_448	398 Bytes	N/A
          │ └─TableFullScan_448	5.00	5	cop[tikv]	table:r	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 5, total_process_keys_size: 559, total_keys: 6, get_snapshot_time: 396.4µs, rocksdb: {key_skipped_count: 5, block: {cache_hit_count: 3, read_count: 1, read_byte: 379 Bytes, read_time: 171.5µs}}}, time_detail: {total_process_time: 247.1µs, total_wait_time: 432.7µs, tikv_wall_time: 758.2µs}	keep order:false	N/A	N/A
          └─TableReader_444(Probe)	5.00	5	root		time:58.5s, loops:2, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_443	7.89 KB	N/A
            └─ExchangeSender_443	5.00	5	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:58.5s, avg: 58.5s, p80:58.5s, p95:58.5s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
              └─Projection_439	5.00	5	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:58.5s, avg: 58.5s, p80:58.5s, p95:58.5s, iters:3, tasks:2, threads:4}	Column#165, Column#166, tpch_sf40.nation.n_regionkey	N/A	N/A
                └─HashAgg_440	5.00	5	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:58.5s, avg: 58.5s, p80:58.5s, p95:58.5s, iters:3, tasks:2, threads:4}	group by:tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_name, funcs:sum(Column#185)->Column#165, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#166, funcs:firstrow(tpch_sf40.nation.n_regionkey)->tpch_sf40.nation.n_regionkey, stream_count: 2	N/A	N/A
                  └─ExchangeReceiver_442	5.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:58.5s, avg: 58.5s, p80:58.5s, p95:58.5s, iters:48, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 20ms}	stream_count: 2	N/A	N/A
                    └─ExchangeSender_441	5.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:0s, avg: 29.3s, p80:58.5s, p95:58.5s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_regionkey, collate: binary], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                      └─HashAgg_203	5.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:0s, avg: 29.3s, p80:58.5s, p95:58.5s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#148)->Column#185	N/A	N/A
                        └─Projection_163	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:0s, avg: 29.2s, p80:58.5s, p95:58.5s, iters:14, tasks:2, threads:4}	Column#148, tpch_sf40.supplier.s_suppkey, tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_name	N/A	N/A
                          └─Projection_159	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:0s, avg: 29.2s, p80:58.5s, p95:58.5s, iters:14, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_regionkey, Column#148, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey	N/A	N/A
                            └─HashJoin_98	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.5s, min:0s, avg: 29.2s, p80:58.5s, p95:58.5s, iters:14, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
                              ├─Projection_142(Build)	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:58.4s, min:0s, avg: 29.2s, p80:58.4s, p95:58.4s, iters:770, tasks:2, threads:4}	Column#148, tpch_sf40.supplier.s_suppkey	N/A	N/A
