-- Query: 26523
-- SQL: WITH FilteredCustomers AS (
    SELECT c.c_custkey, c.c_name, c.c_acctbal, n.n_name, r.r_name
    FROM customer c
    JOIN nation n ON c.c_nationkey = n.n_nationkey
    JOIN region r ON n.n_regionkey ...
-- Execution time: 0.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_174	1.00	0	root		time:33.4ms, loops:1, RU:732.421875, Concurrency:OFF	tpch_sf40.customer.c_name, Column#86, Column#87, Column#121, Column#122, plus(Column#87, coalesce(Column#121, 0))->Column#123	5.20 KB	N/A
└─Projection_319	1.00	0	root		time:33.4ms, loops:1, Concurrency:OFF	tpch_sf40.customer.c_name, Column#86, Column#87, Column#121, Column#122	6.60 KB	N/A
  └─TopN_177	1.00	0	root		time:33.4ms, loops:1	Column#128:desc, offset:0, count:10	0 Bytes	0 Bytes
    └─Projection_320	1.00	0	root		time:33.4ms, loops:2, Concurrency:OFF	tpch_sf40.customer.c_name, Column#86, Column#87, Column#121, Column#122, plus(Column#87, coalesce(Column#121, 0))->Column#128	5.20 KB	N/A
      └─HashJoin_181	1.00	0	root		time:33.4ms, loops:2, build_hash_table:{total:33.3ms, fetch:33.3ms, build:0s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	0 Bytes	0 Bytes
        ├─HashJoin_198(Build)	1.00	0	root		time:33.3ms, loops:1, build_hash_table:{total:33.2ms, fetch:33.2ms, build:0s}	left outer join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)]	0 Bytes	0 Bytes
        │ ├─CTEFullScan_236(Build)	1.00	0	root	CTE:filteredcustomers AS fc	time:33.2ms, loops:1	data:CTE_0	0 Bytes	0 Bytes
        │ └─HashAgg_203(Probe)	12.21	0	root		time:33.2ms, loops:1, partial_worker:{wall_time:33.190093ms, concurrency:2, task_num:0, tot_wait:0s, tot_exec:0s, tot_time:66.284614ms, max:33.14277ms, p95:33.14277ms}, final_worker:{wall_time:33.199856ms, concurrency:2, task_num:2, tot_wait:615ns, tot_exec:20ns, tot_time:66.299932ms, max:33.150531ms, p95:33.150531ms}	group by:tpch_sf40.orders.o_custkey, funcs:count(tpch_sf40.orders.o_orderkey)->Column#86, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#87, funcs:firstrow(tpch_sf40.orders.o_custkey)->tpch_sf40.orders.o_custkey	3.55 KB	0 Bytes
        │   └─IndexHashJoin_217	12.21	0	root		time:33.1ms, loops:1	inner join, inner:IndexLookUp_214, outer key:tpch_sf40.customer.c_custkey, inner key:tpch_sf40.orders.o_custkey, equal cond:eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)	0 Bytes	N/A
        │     ├─Selection_225(Build)	0.80	0	root		time:33.1ms, loops:1	not(isnull(tpch_sf40.customer.c_custkey))	3.64 KB	N/A
        │     │ └─CTEFullScan_227	1.00	0	root	CTE:filteredcustomers AS fc	time:33.1ms, loops:1	data:CTE_0	N/A	N/A
        │     └─IndexLookUp_214(Probe)	12.21	0	root				N/A	N/A
        │       ├─IndexRangeScan_212(Build)	12.21	0	cop[tikv]	table:o, index:idx_orders_fk1(o_custkey)		range: decided by [eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)], keep order:false	N/A	N/A
        │       └─TableRowIDScan_213(Probe)	12.21	0	cop[tikv]	table:o		keep order:false	N/A	N/A
        └─HashAgg_239(Probe)	12.21	0	root		time:33.3ms, loops:1, partial_worker:{wall_time:33.24141ms, concurrency:2, task_num:0, tot_wait:0s, tot_exec:0s, tot_time:66.384507ms, max:33.200689ms, p95:33.200689ms}, final_worker:{wall_time:33.246268ms, concurrency:2, task_num:2, tot_wait:203ns, tot_exec:22ns, tot_time:66.37964ms, max:33.190255ms, p95:33.190255ms}	group by:Column#127, funcs:sum(Column#125)->Column#121, funcs:sum(Column#126)->Column#122, funcs:firstrow(Column#127)->tpch_sf40.orders.o_custkey	3.67 KB	0 Bytes
          └─Projection_318	49.17	0	root		time:33.2ms, loops:1, Concurrency:OFF	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#125, tpch_sf40.lineitem.l_quantity->Column#126, tpch_sf40.orders.o_custkey->Column#127	4.58 KB	N/A
            └─Projection_245	49.17	0	root		time:33.2ms, loops:1, Concurrency:OFF	tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_custkey	4.58 KB	N/A
              └─IndexJoin_256	49.17	0	root		time:33.2ms, loops:1	inner join, inner:TableReader_252, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	0 Bytes	N/A
                ├─IndexHashJoin_274(Build)	12.21	0	root		time:33ms, loops:1	inner join, inner:IndexReader_271, outer key:tpch_sf40.customer.c_custkey, inner key:tpch_sf40.orders.o_custkey, equal cond:eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)	0 Bytes	N/A
