-- Query: 26528
-- SQL: WITH RegionStats AS (
    SELECT 
        r.r_name AS region,
        COUNT(DISTINCT n.n_nationkey) AS nation_count,
        SUM(s.s_acctbal) AS total_supplier_balance
    FROM 
        region r
    J...
-- Execution time: 11.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_60	153600256000426.69	0	root		time:11s, loops:1, RU:28243.819016	tpch_sf40.region.r_name, Column#93:desc, Column#113	0 Bytes	0 Bytes
└─Projection_62	153600256000426.69	0	root		time:11s, loops:1, Concurrency:2	tpch_sf40.region.r_name, Column#69, Column#70, tpch_sf40.customer.c_name, Column#92, Column#93, tpch_sf40.part.p_name, Column#112, Column#113	32.9 KB	N/A
  └─Projection_64	153600256000426.69	0	root		time:11s, loops:1, Concurrency:2	Column#69, Column#70, tpch_sf40.region.r_name, Column#92, Column#93, tpch_sf40.customer.c_name, Column#112, Column#113, tpch_sf40.part.p_name	32.9 KB	N/A
    └─HashJoin_66	153600256000426.69	0	root		time:11s, loops:1, build_hash_table:{total:11s, fetch:10.8s, build:229.8ms}	CARTESIAN inner join	536.5 MB	0 Bytes
      ├─TableReader_349(Build)	6000010.00	6000000	root		time:10.6s, loops:6145, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_348	874.2 KB	N/A
      │ └─ExchangeSender_348	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.8s, min:10.8s, avg: 10.8s, p80:10.8s, p95:10.8s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_344	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.6s, min:10.6s, avg: 10.6s, p80:10.6s, p95:10.6s, iters:1024, tasks:2, threads:4}	Column#92, Column#93, tpch_sf40.customer.c_name	N/A	N/A
      │     └─HashAgg_345	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.6s, min:10.6s, avg: 10.6s, p80:10.6s, p95:10.6s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#141)->Column#92, funcs:sum(Column#142)->Column#93, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
      │       └─ExchangeReceiver_347	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.4s, min:10.4s, avg: 10.4s, p80:10.4s, p95:10.4s, iters:516, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 332ms}	stream_count: 2	N/A	N/A
      │         └─ExchangeSender_346	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.6s, min:0s, avg: 5.28s, p80:10.6s, p95:10.6s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │           └─HashAgg_292	6000010.00	6000000	mpp[tiflash]		tiflash_task:{proc max:10.5s, min:0s, avg: 5.25s, p80:10.5s, p95:10.5s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:count(tpch_sf40.orders.o_orderkey)->Column#141, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#142	N/A	N/A
      │             └─Projection_343	60000000.00	62000071	mpp[tiflash]		tiflash_task:{proc max:6.3s, min:0s, avg: 3.15s, p80:6.3s, p95:6.3s, iters:1906, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice	N/A	N/A
