-- Query: 26530
-- SQL: WITH RegionStats AS (
    SELECT 
        r.r_name,
        COUNT(DISTINCT n.n_nationkey) AS nation_count,
        SUM(s.s_acctbal) AS total_supplier_balance
    FROM 
        region r
    JOIN 
     ...
-- Execution time: 342.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_120	5.00	5	root		time:5m42s, loops:2, RU:429326.090651, Concurrency:OFF	tpch_sf40.region.r_name, Column#147, Column#148, Column#182, Column#183	4.17 KB	N/A
└─TopN_123	5.00	5	root		time:5m42s, loops:2	Column#183:desc, offset:0, count:10	2.16 KB	0 Bytes
  └─HashAgg_130	5.00	5	root		time:5m42s, loops:4, partial_worker:{wall_time:5m41.959826535s, concurrency:2, task_num:44337, tot_wait:11m19.547469008s, tot_exec:4.364231883s, tot_time:11m23.91953292s, max:5m41.959766751s, p95:5m41.959766751s}, final_worker:{wall_time:5m41.95991699s, concurrency:2, task_num:4, tot_wait:1.013µs, tot_exec:1.227µs, tot_time:11m23.919618107s, max:5m41.959815861s, p95:5m41.959815861s}	group by:Column#147, Column#148, tpch_sf40.region.r_name, funcs:count(tpch_sf40.orders.o_orderkey)->Column#182, funcs:sum(Column#180)->Column#183, funcs:firstrow(Column#147)->Column#147, funcs:firstrow(Column#148)->Column#148, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	597.0 KB	0 Bytes
    └─HashJoin_135	45028221.51	45400910	root		time:5m41.9s, loops:44338, build_hash_table:{total:24.6ms, fetch:24.6ms, build:4.11µs}, probe:{concurrency:2, total:11m23.9s, max:5m42s, probe:4.33s, fetch and wait:11m19.6s}	CARTESIAN left outer join, left cond:[gt(Column#147, 0)]	3.65 KB	0 Bytes
      ├─Projection_136(Build)	5.00	5	root		time:23.5ms, loops:2, Concurrency:OFF	Column#147, Column#148, tpch_sf40.region.r_name	2.39 KB	N/A
      │ └─HashJoin_140	5.00	5	root		time:23.5ms, loops:2, build_hash_table:{total:45.3µs, fetch:38.8µs, build:6.49µs}, probe:{concurrency:2, total:46.8ms, max:23.4ms, probe:14.7µs, fetch and wait:46.8ms}	inner join, equal:[eq(tpch_sf40.region.r_name, tpch_sf40.region.r_name)]	17.5 KB	0 Bytes
      │   ├─TableReader_170(Build)	5.00	5	root		time:31.5µs, loops:2, cop_task: {num: 1, max: 652.9µs, proc_keys: 5, tot_proc: 82.5µs, tot_wait: 263.3µs, copr_cache_hit_ratio: 0.00, build_task_duration: 5.16µs, max_distsql_concurrency: 1}, rpc_info:{Cop:{num_rpc:1, total_time:643.4µs}}	data:TableFullScan_169	337 Bytes	N/A
      │   │ └─TableFullScan_169	5.00	5	cop[tikv]	table:r	tikv_task:{time:0s, loops:1}, scan_detail: {total_process_keys: 5, total_process_keys_size: 559, total_keys: 6, get_snapshot_time: 250.9µs, rocksdb: {key_skipped_count: 5, block: {cache_hit_count: 4}}}, time_detail: {total_process_time: 82.5µs, total_wait_time: 263.3µs, tikv_wall_time: 437.9µs}	keep order:false	N/A	N/A
      │   └─TableReader_271(Probe)	5.00	5	root		time:23.4ms, loops:2, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_270	2.76 KB	N/A
      │     └─ExchangeSender_270	5.00	5	mpp[tiflash]		tiflash_task:{time:21.2ms, loops:2, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │       └─Projection_266	5.00	5	mpp[tiflash]		tiflash_task:{time:21.2ms, loops:2, threads:2}	Column#147, Column#148, tpch_sf40.region.r_name	N/A	N/A
      │         └─HashAgg_267	5.00	5	mpp[tiflash]		tiflash_task:{time:21.2ms, loops:2, threads:2}	group by:tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.nation.n_nationkey)->Column#147, funcs:sum(Column#191)->Column#148, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
      │           └─ExchangeReceiver_269	5.00	25	mpp[tiflash]		tiflash_task:{time:21.2ms, loops:2, threads:2}	stream_count: 2	N/A	N/A
      │             └─ExchangeSender_268	5.00	25	mpp[tiflash]		tiflash_task:{time:21.5ms, loops:1, threads:1}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │               └─HashAgg_176	5.00	25	mpp[tiflash]		tiflash_task:{time:21.5ms, loops:1, threads:1}	group by:tpch_sf40.nation.n_nationkey, tpch_sf40.region.r_name, funcs:sum(tpch_sf40.supplier.s_acctbal)->Column#191	N/A	N/A
      │                 └─Projection_161	399987.00	400000	mpp[tiflash]		tiflash_task:{time:17.5ms, loops:7, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_acctbal	N/A	N/A
      │                   └─HashJoin_160	399987.00	400000	mpp[tiflash]		tiflash_task:{time:17.5ms, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
      │                     ├─ExchangeReceiver_154(Build)	25.00	25	mpp[tiflash]		tiflash_task:{time:7.5ms, loops:1, threads:2}		N/A	N/A
      │                     │ └─ExchangeSender_153	25.00	25	mpp[tiflash]		tiflash_task:{time:8.02ms, loops:1, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                     │   └─Projection_152	25.00	25	mpp[tiflash]		tiflash_task:{time:8.02ms, loops:1, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey	N/A	N/A
