-- Query: 26544
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        n.n_name AS nation_name,
        p.p_partkey,
        p.p_name,
        ps.ps_availqty,
        ps.ps_supplycost,
 ...
-- Execution time: 44.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_89	25788554.93	16001874	root		time:44.8s, loops:15628, RU:31624.436066	tpch_sf40.nation.n_name, tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_supplycost:desc	2.32 GB	0 Bytes
└─TableReader_394	25788554.93	16001874	root		time:7.35s, loops:15872, cop_task: {num: 494, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_393	8.66 MB	N/A
  └─ExchangeSender_393	25788554.93	16001874	mpp[tiflash]		tiflash_task:{proc max:15s, min:14.9s, avg: 14.9s, p80:15s, p95:15s, iters:492, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_392	25788554.93	16001874	mpp[tiflash]		tiflash_task:{proc max:7.1s, min:7.07s, avg: 7.09s, p80:7.1s, p95:7.1s, iters:492, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.part.p_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
      └─Projection_389	25788554.93	16001874	mpp[tiflash]		tiflash_task:{proc max:7.1s, min:7.07s, avg: 7.09s, p80:7.1s, p95:7.1s, iters:492, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.part.p_name, tpch_sf40.nation.n_name, tpch_sf40.part.p_partkey	N/A	N/A
        └─HashJoin_388	25788554.93	16001874	mpp[tiflash]		tiflash_task:{proc max:7.1s, min:7.07s, avg: 7.09s, p80:7.1s, p95:7.1s, iters:492, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.part.p_partkey)], other cond:lt(tpch_sf40.partsupp.ps_supplycost, Column#152)	N/A	N/A
          ├─Selection_100(Build)	6371737.60	8000000	mpp[tiflash]		tiflash_task:{proc max:2.43s, min:2.41s, avg: 2.42s, p80:2.43s, p95:2.43s, iters:512, tasks:2, threads:4}	not(isnull(Column#152))	N/A	N/A
          │ └─Projection_116	7964672.00	8000000	mpp[tiflash]		tiflash_task:{proc max:2.43s, min:2.41s, avg: 2.42s, p80:2.43s, p95:2.43s, iters:1024, tasks:2, threads:4}	div(Column#152, cast(case(eq(Column#154, 0), 1, Column#154), decimal(20,0) BINARY))->Column#152, tpch_sf40.part.p_partkey	N/A	N/A
          │   └─HashAgg_117	7964672.00	8000000	mpp[tiflash]		tiflash_task:{proc max:2.23s, min:2.23s, avg: 2.23s, p80:2.23s, p95:2.23s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_partkey, funcs:sum(Column#155)->Column#154, funcs:sum(Column#156)->Column#152, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, stream_count: 2	N/A	N/A
          │     └─ExchangeReceiver_119	7964672.00	8000006	mpp[tiflash]		tiflash_task:{proc max:2.14s, min:2.13s, avg: 2.14s, p80:2.14s, p95:2.14s, iters:768, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 90ms}	stream_count: 2	N/A	N/A
