-- Query: 26568
-- SQL: WITH RankedOrders AS (
    SELECT
        o.o_orderkey,
        o.o_orderdate,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue,
        RANK() OVER (PARTITION BY o.o_orderdate ORDER BY ...
-- Execution time: 59.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_72	118311113.02	101964	root		time:59.3s, loops:101, RU:192827.890310	Column#112:desc, tpch_sf40.orders.o_orderdate	11.3 MB	0 Bytes
└─TableReader_368	118311113.02	101964	root		time:59.2s, loops:173, cop_task: {num: 102, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_367	100.2 KB	N/A
  └─ExchangeSender_367	118311113.02	101964	mpp[tiflash]		tiflash_task:{proc max:59.2s, min:59.2s, avg: 59.2s, p80:59.2s, p95:59.2s, iters:29596, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_75	118311113.02	101964	mpp[tiflash]		tiflash_task:{proc max:59.2s, min:59.2s, avg: 59.2s, p80:59.2s, p95:59.2s, iters:29596, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#112, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
      └─Projection_366	118311113.02	101964	mpp[tiflash]		tiflash_task:{proc max:59.2s, min:59.2s, avg: 59.2s, p80:59.2s, p95:59.2s, iters:29596, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#112, Column#112, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name	N/A	N/A
        └─Projection_363	118311113.02	101964	mpp[tiflash]		tiflash_task:{proc max:59.2s, min:59.2s, avg: 59.2s, p80:59.2s, p95:59.2s, iters:29596, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#112, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_orderkey	N/A	N/A
          └─HashJoin_362	118311113.02	101964	mpp[tiflash]		tiflash_task:{proc max:59.2s, min:59.2s, avg: 59.2s, p80:59.2s, p95:59.2s, iters:29596, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_139(Build)	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:8.38s, min:8.38s, avg: 8.38s, p80:8.38s, p95:8.38s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 617ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_138	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:8.38s, min:0s, avg: 4.19s, p80:8.38s, p95:8.38s, iters:140, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─Selection_110	7265794.39	3660	mpp[tiflash]		tiflash_task:{proc max:8.38s, min:0s, avg: 4.19s, p80:8.38s, p95:8.38s, iters:140, tasks:2, threads:4}	le(Column#114, 10), stream_count: 2	N/A	N/A
            │     └─Window_111	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:8.38s, min:0s, avg: 4.19s, p80:8.38s, p95:8.38s, iters:142, tasks:2, threads:4}	rank()->Column#114 over(partition by tpch_sf40.orders.o_orderdate order by Column#112 desc), stream_count: 2	N/A	N/A
            │       └─Sort_137	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:8.34s, min:0s, avg: 4.17s, p80:8.34s, p95:8.34s, iters:142, tasks:2, threads:4}	tpch_sf40.orders.o_orderdate, Column#112:desc, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_136	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.3s, min:0s, avg: 3.65s, p80:7.3s, p95:7.3s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 203ms}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_135	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.67s, min:0s, avg: 3.84s, p80:7.67s, p95:7.67s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderdate, collate: binary], stream_count: 2	N/A	N/A
            │             └─Projection_131	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.63s, min:0s, avg: 3.81s, p80:7.63s, p95:7.63s, iters:1024, tasks:2, threads:4}	Column#112, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	N/A	N/A
            │               └─HashAgg_132	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.63s, min:0s, avg: 3.81s, p80:7.63s, p95:7.63s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:sum(Column#161)->Column#112, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, stream_count: 2	N/A	N/A
            │                 └─ExchangeReceiver_134	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.42s, min:0s, avg: 3.71s, p80:7.42s, p95:7.42s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 736ms}	stream_count: 2	N/A	N/A
            │                   └─ExchangeSender_133	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.08s, min:0s, avg: 3.54s, p80:7.08s, p95:7.08s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], stream_count: 2	N/A	N/A
            │                     └─HashAgg_113	9082242.99	9128300	mpp[tiflash]		tiflash_task:{proc max:7.01s, min:0s, avg: 3.5s, p80:7.01s, p95:7.01s, iters:512, tasks:2, threads:4}	group by:Column#175, Column#176, funcs:sum(Column#174)->Column#161	N/A	N/A
            │                       └─Projection_374	36844340.36	36510994	mpp[tiflash]		tiflash_task:{proc max:6.15s, min:0s, avg: 3.08s, p80:6.15s, p95:6.15s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#174, tpch_sf40.orders.o_orderkey->Column#175, tpch_sf40.orders.o_orderdate->Column#176	N/A	N/A
            │                         └─Projection_130	36844340.36	36510994	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:7750, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
            │                           └─HashJoin_129	36844340.36	36510994	mpp[tiflash]		tiflash_task:{proc max:6.1s, min:0s, avg: 3.05s, p80:6.1s, p95:6.1s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
            │                             ├─ExchangeReceiver_118(Build)	9146203.00	9128300	mpp[tiflash]		tiflash_task:{proc max:2.2s, min:0s, avg: 1.1s, p80:2.2s, p95:2.2s, iters:912, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1631ms}	stream_count: 2	N/A	N/A
            │                             │ └─ExchangeSender_117	9146203.00	9128300	mpp[tiflash]		tiflash_task:{proc max:2.46s, min:0s, avg: 1.23s, p80:2.46s, p95:2.46s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
            │                             │   └─TableFullScan_115	9146203.00	9128300	mpp[tiflash]	table:o	tiflash_task:{proc max:2.44s, min:0s, avg: 1.22s, p80:2.44s, p95:2.44s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2135ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:39ms, min_local_stream:0ms, max_local_stream:2429ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1035ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), le(tpch_sf40.orders.o_orderdate, 1996-12-31), keep order:false	N/A	N/A
            │                             └─ExchangeReceiver_121(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:4.16s, min:0s, avg: 2.08s, p80:4.16s, p95:4.16s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 2460ms, pipeline_queue_wait: 1111ms}		N/A	N/A
            │                               └─ExchangeSender_120	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:6.65s, min:0s, avg: 3.32s, p80:6.65s, p95:6.65s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
