-- Query: 26572
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_cost,
        RANK() OVER (PARTITION BY p.p_type ORDER BY SUM(ps....
-- Execution time: 14.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_74	319989.60	450	root		time:14.6s, loops:2, RU:30266.240768	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#104:desc	52.8 KB	0 Bytes
└─TableReader_337	319989.60	450	root		time:14.6s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_336	12.1 KB	N/A
  └─ExchangeSender_336	319989.60	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:13, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_77	319989.60	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:13, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#104	N/A	N/A
      └─Projection_335	319989.60	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:13, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#104, Column#104, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─Projection_332	319989.60	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:13, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#104, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
          └─HashJoin_331	319989.60	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:13, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_130(Build)	319027.20	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:14.6s, avg: 14.6s, p80:14.6s, p95:14.6s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1611ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_129	319027.20	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:0s, avg: 7.29s, p80:14.6s, p95:14.6s, iters:150, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─Selection_97	319027.20	450	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:0s, avg: 7.29s, p80:14.6s, p95:14.6s, iters:150, tasks:2, threads:4}	le(Column#106, 3), stream_count: 2	N/A	N/A
            │     └─Window_98	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:14.6s, min:0s, avg: 7.29s, p80:14.6s, p95:14.6s, iters:382, tasks:2, threads:4}	rank()->Column#106 over(partition by tpch_sf40.part.p_type order by Column#104 desc), stream_count: 2	N/A	N/A
            │       └─Sort_128	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.23s, p80:14.5s, p95:14.5s, iters:382, tasks:2, threads:4}	tpch_sf40.part.p_type, Column#104:desc, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_127	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5.01s, p80:10s, p95:10s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 945ms}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_126	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:11.5s, min:0s, avg: 5.75s, p80:11.5s, p95:11.5s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_type, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
            │             └─Projection_122	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:0s, avg: 5.54s, p80:11.1s, p95:11.1s, iters:1024, tasks:2, threads:4}	Column#104, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.part.p_type	N/A	N/A
            │               └─HashAgg_123	398784.00	24864207	mpp[tiflash]		tiflash_task:{proc max:11.1s, min:0s, avg: 5.54s, p80:11.1s, p95:11.1s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_type, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#125)->Column#104, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.part.p_type)->tpch_sf40.part.p_type, stream_count: 2	N/A	N/A
            │                 └─ExchangeReceiver_125	398784.00	28128874	mpp[tiflash]		tiflash_task:{proc max:10s, min:0s, avg: 5.01s, p80:10s, p95:10s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3686ms}	stream_count: 2	N/A	N/A
