-- Query: 26573
-- SQL: WITH SupplierInfo AS (
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM supplier s
    JOIN partsupp ps ON s.s_suppkey = ps.ps_supp...
-- Execution time: 9.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_53	5.00	10	root		time:8.95s, loops:2, RU:33496.263301, Concurrency:OFF	tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#87, Column#88	4.67 KB	N/A
└─TopN_56	5.00	10	root		time:8.95s, loops:2	Column#87:desc, Column#88, offset:0, count:10	141.5 KB	0 Bytes
  └─TableReader_335	5.00	80109	root		time:8.95s, loops:81, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_334	2.54 MB	N/A
    └─ExchangeSender_334	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.95s, min:8.95s, avg: 8.95s, p80:8.95s, p95:8.95s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─Projection_333	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.94s, min:8.94s, avg: 8.94s, p80:8.94s, p95:8.94s, iters:4, tasks:2, threads:4}	Column#87, div(Column#88, cast(case(eq(Column#114, 0), 1, Column#114), decimal(20,0) BINARY))->Column#88, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_64	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.94s, min:8.94s, avg: 8.94s, p80:8.94s, p95:8.94s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, funcs:sum(Column#86)->Column#87, funcs:count(Column#55)->Column#114, funcs:sum(Column#55)->Column#88, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_332	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.93s, min:8.93s, avg: 8.93s, p80:8.93s, p95:8.93s, iters:12, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 153ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_331	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.93s, min:0s, avg: 4.47s, p80:8.93s, p95:8.93s, iters:516, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─Projection_330	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.92s, min:0s, avg: 4.46s, p80:8.92s, p95:8.92s, iters:516, tasks:2, threads:4}	Column#55, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#86	N/A	N/A
                └─Projection_326	5.00	80109	mpp[tiflash]		tiflash_task:{proc max:8.92s, min:0s, avg: 4.46s, p80:8.92s, p95:8.92s, iters:516, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#55, tpch_sf40.supplier.s_name, Column#86, tpch_sf40.supplier.s_suppkey	N/A	N/A
