-- Query: 26584
-- SQL: WITH RECURSIVE OrderHierarchy AS (
    SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, o.o_clerk, 1 AS level
    FROM orders o
    WHERE o.o_orderstatus = 'F'
    UNION ALL
    SELECT oh.o_orderke...
-- Execution time: 159.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_114	10.00	10	root		time:2m38.7s, loops:2, RU:106139.225271, Concurrency:OFF	tpch_sf40.supplier.s_name, tpch_sf40.part.p_name, Column#172, Column#173, tpch_sf40.supplier.s_acctbal, div(Column#173, cast(if(eq(Column#172, 0), <nil>, Column#172), decimal(20,0) BINARY))->Column#174	4.67 KB	N/A
└─TopN_117	10.00	10	root		time:2m38.7s, loops:2	Column#173:desc, offset:0, count:10	183.8 KB	0 Bytes
  └─HashJoin_122	23381602.81	14518960	root		time:2m38.4s, loops:14181, build_hash_table:{total:1m28.1s, fetch:1m28.1s, build:7.33µs}, probe:{concurrency:2, total:5m17.4s, max:2m38.7s, probe:1.51s, fetch and wait:5m15.9s}	CARTESIAN inner join	1.56 KB	0 Bytes
    ├─HashAgg_229(Build)	1.60	1	root		time:1m28.1s, loops:2, partial_worker:{wall_time:1m28.057607958s, concurrency:2, task_num:28545, tot_wait:2m54.671633515s, tot_exec:1.436081957s, tot_time:2m56.115071963s, max:1m28.057536229s, p95:1m28.057536229s}, final_worker:{wall_time:1m28.057619671s, concurrency:2, task_num:3, tot_wait:1.162µs, tot_exec:605ns, tot_time:2m56.115087989s, max:1m28.057547918s, p95:1m28.057547918s}	group by:Column#171, funcs:count(tpch_sf40.orders.o_orderkey)->Column#172, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#173	476.9 KB	0 Bytes
    │ └─Selection_230	42267858.89	29229464	root		time:1m27.2s, loops:28546	eq(Column#171, 1)	90.5 KB	N/A
    │   └─CTEFullScan_231	52834823.61	29229464	root	CTE:orderhierarchy AS oh	time:1m26s, loops:29226	data:CTE_0	2.62 GB	3.46 GB
    └─HashJoin_137(Probe)	14613501.76	14518960	root		time:1m27.5s, loops:14181, build_hash_table:{total:6.63s, fetch:5.1s, build:1.53s}, probe:{concurrency:2, total:5m17.4s, max:2m38.7s, probe:57.6s, fetch and wait:4m19.8s}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	782.7 MB	494.0 MB
      ├─TableReader_228(Build)	8000000.00	8000000	root		time:5.1s, loops:7816, cop_task: {num: 128, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_227	6.10 MB	N/A
      │ └─ExchangeSender_227	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:6.61s, min:5.31s, avg: 5.96s, p80:6.61s, p95:6.61s, iters:126, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─TableFullScan_226	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:6.55s, min:5.27s, avg: 5.91s, p80:6.55s, p95:6.55s, iters:126, tasks:2, threads:4}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:736ms, min_local_stream:5255ms, max_local_stream:6539ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:20150ms}}	keep order:false	N/A	N/A
      └─IndexHashJoin_181(Probe)	14548968.99	14518960	root		time:58.2s, loops:14181, inner:{total:5m12.5s, concurrency:2, task:10, construct:24.1ms, fetch:2m26.9s, build:8.53ms, join:2m45.6s}	inner join, inner:IndexReader_178, outer key:tpch_sf40.supplier.s_suppkey, inner key:tpch_sf40.partsupp.ps_suppkey, equal cond:eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)	88.7 MB	N/A
        ├─TableReader_214(Build)	181309.25	181487	root		time:583.1ms, loops:183, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_213	2.11 MB	N/A
        │ └─ExchangeSender_213	181309.25	181487	mpp[tiflash]		tiflash_task:{time:849.2ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
        │   └─TableFullScan_211	181309.25	181487	mpp[tiflash]	table:s	tiflash_task:{time:844.2ms, loops:7, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:84ms, min_local_stream:837ms, max_local_stream:837ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:400000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:751ms}}	pushed down filter:gt(tpch_sf40.supplier.s_acctbal, 5000), keep order:false	N/A	N/A
        └─IndexReader_178(Probe)	14548968.99	14518960	root		time:2m26.8s, loops:14216, cop_task: {num: 474, max: 5.14s, min: 1.23ms, avg: 487.9ms, p95: 1.33s, max_proc_keys: 50144, p95_proc_keys: 50144, tot_proc: 2m21.7s, tot_wait: 1.01s, copr_cache_hit_ratio: 0.00, build_task_duration: 5.12ms, max_distsql_concurrency: 2}, rpc_info:{Cop:{num_rpc:474, total_time:3m51.2s}}	index:IndexRangeScan_177	1.40 MB	N/A
          └─IndexRangeScan_177	14548968.99	14518960	cop[tikv]	table:ps, index:idx_partsupp_fk1(ps_suppkey)	tikv_task:{proc max:5.1s, min:0s, avg: 482.1ms, p80:874ms, p95:1.32s, iters:16059, tasks:474}, scan_detail: {total_process_keys: 14518960, total_process_keys_size: 827580720, total_keys: 14700904, get_snapshot_time: 28.7ms, rocksdb: {key_skipped_count: 14518960, block: {cache_hit_count: 699609, read_count: 51597, read_byte: 156.6 MB, read_time: 2m15.1s}}}, time_detail: {total_process_time: 2m21.7s, total_suspend_time: 1m27s, total_wait_time: 1.01s, total_kv_read_wall_time: 3m48.5s, tikv_wall_time: 3m50.4s}	range: decided by [eq(tpch_sf40.partsupp.ps_suppkey, tpch_sf40.supplier.s_suppkey)], keep order:false	N/A	N/A
CTE_0	52834823.61	29229464	root		time:1m26s, loops:29226	Recursive CTE	2.62 GB	3.46 GB
├─TableReader_85(Seed Part)	29261094.98	29229464	root		time:25s, loops:29225, cop_task: {num: 940, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_84	5.32 MB	N/A
│ └─ExchangeSender_84	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:25.7s, min:25.5s, avg: 25.6s, p80:25.7s, p95:25.7s, iters:965, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
│   └─Projection_74	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:25.1s, min:24.9s, avg: 25s, p80:25.1s, p95:25.1s, iters:965, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_clerk, 1->Column#29	N/A	N/A
│     └─TableFullScan_82	29261094.98	29229464	mpp[tiflash]	table:o	tiflash_task:{proc max:25.1s, min:24.9s, avg: 25s, p80:25.1s, p95:25.1s, iters:965, tasks:2, threads:4}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3227ms, min_local_stream:24851ms, max_local_stream:25078ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:96476ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "F"), keep order:false	N/A	N/A
└─Projection_88(Recursive Part)	23573728.64	0	root		time:33.4s, loops:1, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_clerk, cast(plus(Column#43, 1), bigint BINARY)->Column#49	12.5 KB	N/A
  └─HashJoin_101	23573728.64	0	root		time:33.4s, loops:1, build_hash_table:{total:1.79s, fetch:2.54ms, build:1.78s}, probe:{concurrency:2, total:1m6.8s, max:33.4s, probe:3.55s, fetch and wait:1m3.2s}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderkey)]	188.9 MB	175.8 MB
    ├─TableReader_110(Build)	1565579.05	1536364	root		time:5.9ms, loops:1840, cop_task: {num: 907, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_109	353.6 KB	N/A
    │ └─ExchangeSender_109	1565579.05	1536364	mpp[tiflash]		tiflash_task:{proc max:25.7s, min:25.5s, avg: 25.6s, p80:25.7s, p95:25.7s, iters:965, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─TableFullScan_107	1565579.05	1536364	mpp[tiflash]	table:o	tiflash_task:{proc max:25.7s, min:25.5s, avg: 25.6s, p80:25.7s, p95:25.7s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 131ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 17/17=1.000000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:9ms, min_local_stream:25447ms, max_local_stream:25681ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:6ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "P"), keep order:false	N/A	N/A
    └─Selection_102(Probe)	23408875.98	29229464	root		time:31.2s, loops:28546	not(isnull(tpch_sf40.orders.o_orderkey))	90.5 KB	N/A
      └─CTETable_103	29261094.98	29229464	root		time:30.1s, loops:29226	Scan on CTE_0	N/A	N/A
