-- Query: 26600
-- SQL: WITH SupplierParts AS (
    SELECT s.s_suppkey, s.s_name, ps.ps_partkey, p.p_name, 
           ps.ps_availqty, ps.ps_supplycost, p.p_retailprice, 
           (ps.ps_supplycost * ps.ps_availqty) AS Tot...
-- Execution time: 3.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_65	10.00	10	root		time:3.2s, loops:2, RU:30194.194824, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#156, Column#157, Column#158	4.17 KB	N/A
└─TopN_69	10.00	10	root		time:3.2s, loops:2	Column#158:desc, offset:0, count:10	1.96 KB	0 Bytes
  └─TableReader_312	10.00	40	root		time:3.2s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_311	5.84 KB	N/A
    └─ExchangeSender_311	10.00	40	mpp[tiflash]		tiflash_task:{proc max:3.2s, min:3.19s, avg: 3.19s, p80:3.2s, p95:3.2s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_310	10.00	40	mpp[tiflash]		tiflash_task:{proc max:3.2s, min:3.19s, avg: 3.19s, p80:3.2s, p95:3.2s, iters:4, tasks:2, threads:4}	Column#158:desc, offset:0, count:10	N/A	N/A
        └─Selection_309	4800008.00	450334	mpp[tiflash]		tiflash_task:{proc max:3.19s, min:3.19s, avg: 3.19s, p80:3.19s, p95:3.19s, iters:1024, tasks:2, threads:4}	gt(Column#156, 1000000)	N/A	N/A
          └─Projection_303	6000010.00	450925	mpp[tiflash]		tiflash_task:{proc max:3.19s, min:3.19s, avg: 3.19s, p80:3.19s, p95:3.19s, iters:1024, tasks:2, threads:4}	Column#156, Column#157, Column#158, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
            └─HashAgg_304	6000010.00	450925	mpp[tiflash]		tiflash_task:{proc max:3.19s, min:3.19s, avg: 3.19s, p80:3.19s, p95:3.19s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#172)->Column#156, funcs:sum(Column#173)->Column#157, funcs:sum(Column#174)->Column#158, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
              └─ExchangeReceiver_306	6000010.00	465858	mpp[tiflash]		tiflash_task:{proc max:3.17s, min:3.16s, avg: 3.16s, p80:3.17s, p95:3.17s, iters:56, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 47ms}	stream_count: 2	N/A	N/A
                └─ExchangeSender_305	6000010.00	465858	mpp[tiflash]		tiflash_task:{proc max:3.18s, min:0s, avg: 1.59s, p80:3.18s, p95:3.18s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                  └─HashAgg_301	6000010.00	465858	mpp[tiflash]		tiflash_task:{proc max:3.17s, min:0s, avg: 1.59s, p80:3.17s, p95:3.17s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#155)->Column#172, funcs:count(tpch_sf40.orders.o_orderkey)->Column#173, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#174	N/A	N/A
                    └─Projection_290	28267110.88	1926724	mpp[tiflash]		tiflash_task:{proc max:3.12s, min:0s, avg: 1.56s, p80:3.12s, p95:3.12s, iters:1016, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, Column#155, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                      └─HashJoin_289	28267110.88	1926724	mpp[tiflash]		tiflash_task:{proc max:3.12s, min:0s, avg: 1.56s, p80:3.12s, p95:3.12s, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
                        ├─ExchangeReceiver_96(Build)	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.01s, min:0s, avg: 1s, p80:2.01s, p95:2.01s, iters:940, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 893ms}	stream_count: 2	N/A	N/A
                        │ └─ExchangeSender_95	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.31s, min:0s, avg: 1.15s, p80:2.31s, p95:2.31s, iters:936, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                        │   └─Projection_94	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.19s, min:0s, avg: 1.1s, p80:2.19s, p95:2.19s, iters:936, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
                        │     └─HashJoin_86	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.19s, min:0s, avg: 1.1s, p80:2.19s, p95:2.19s, iters:936, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                        │       ├─ExchangeReceiver_89(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:427.3ms, min:0s, avg: 213.6ms, p80:427.3ms, p95:427.3ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 267ms}	stream_count: 2	N/A	N/A
                        │       │ └─ExchangeSender_88	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:354ms, min:0s, avg: 177ms, p80:354ms, p95:354ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                        │       │   └─TableFullScan_87	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:324ms, min:0s, avg: 162ms, p80:324ms, p95:324ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 306ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:12ms, min_local_stream:136ms, max_local_stream:323ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:170ms}}	keep order:false	N/A	N/A
                        │       └─ExchangeReceiver_93(Probe)	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:1.61s, min:0s, avg: 802.6ms, p80:1.61s, p95:1.61s, iters:936, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 518ms, pipeline_queue_wait: 474ms}		N/A	N/A
                        │         └─ExchangeSender_92	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.31s, min:0s, avg: 1.15s, p80:2.31s, p95:2.31s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
                        │           └─Selection_91	6983208.72	14441995	mpp[tiflash]		tiflash_task:{proc max:2.19s, min:0s, avg: 1.1s, p80:2.19s, p95:2.19s, iters:965, tasks:2, threads:4}	eq(tpch_sf40.orders.o_orderstatus, "O")	N/A	N/A
