-- Query: 26603
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        n.n_name AS nation,
        SUM(ps.ps_availqty) AS total_available_quantity,
        SUM(ps.ps_supplycost * ps.ps_ava...
-- Execution time: 141.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_56	100.00	100	root		time:2m21.3s, loops:2, RU:69157.167277, Concurrency:OFF	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_mfgr, tpch_sf40.part.p_brand, tpch_sf40.part.p_type, round(Column#100, 2)->Column#101, tpch_sf40.nation.n_name, Column#99	23.1 KB	N/A
└─Projection_291	100.00	100	root		time:2m21.3s, loops:2, Concurrency:OFF	Column#100, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_mfgr, tpch_sf40.part.p_brand, tpch_sf40.part.p_type, tpch_sf40.nation.n_name, Column#99	25.7 KB	N/A
  └─TopN_59	100.00	100	root		time:2m21.3s, loops:2	Column#124:desc, offset:0, count:100	270.4 KB	0 Bytes
    └─Projection_292	8000000.00	21812005	root		time:2m21s, loops:21302, Concurrency:2	Column#100, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.part.p_mfgr, tpch_sf40.part.p_brand, tpch_sf40.part.p_type, tpch_sf40.nation.n_name, Column#99, round(Column#100, 2)->Column#124	969.3 KB	N/A
      └─HashAgg_63	8000000.00	21812005	root		time:2m21.1s, loops:21302, partial_worker:{wall_time:1m59.915180536s, concurrency:2, task_num:35489, tot_wait:3m24.653793898s, tot_exec:34.092401808s, tot_time:3m59.830309669s, max:1m59.915155053s, p95:1m59.915155053s}, final_worker:{wall_time:2m21.265214358s, concurrency:2, task_num:2, tot_wait:3.401µs, tot_exec:108ns, tot_time:4m42.424675183s, max:2m21.265181311s, p95:2m21.265181311s}	group by:Column#117, Column#118, Column#119, Column#120, Column#121, Column#122, Column#123, funcs:sum(Column#116)->Column#100, funcs:firstrow(Column#117)->tpch_sf40.part.p_partkey, funcs:firstrow(Column#118)->tpch_sf40.part.p_name, funcs:firstrow(Column#119)->tpch_sf40.part.p_mfgr, funcs:firstrow(Column#120)->tpch_sf40.part.p_brand, funcs:firstrow(Column#121)->tpch_sf40.part.p_type, funcs:firstrow(Column#122)->tpch_sf40.nation.n_name, funcs:firstrow(Column#123)->Column#99	1.08 GB	12.5 GB
        └─Projection_290	36450507.11	36340726	root		time:1m0.2s, loops:35490, Concurrency:2	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#116, tpch_sf40.part.p_partkey->Column#117, tpch_sf40.part.p_name->Column#118, tpch_sf40.part.p_mfgr->Column#119, tpch_sf40.part.p_brand->Column#120, tpch_sf40.part.p_type->Column#121, tpch_sf40.nation.n_name->Column#122, Column#99->Column#123	977.3 KB	N/A
          └─HashJoin_68	36450507.11	36340726	root		time:53.6s, loops:35490, build_hash_table:{total:16.7s, fetch:16.7s, build:45.5ms}, probe:{concurrency:2, total:3m57.7s, max:1m58.8s, probe:20.7s, fetch and wait:3m37s}	inner join, equal:[eq(tpch_sf40.lineitem.l_suppkey, tpch_sf40.supplier.s_suppkey)]	51.4 MB	0 Bytes
            ├─TableReader_171(Build)	398784.00	400000	root		time:16.7s, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_170	4.45 MB	N/A
            │ └─ExchangeSender_170	398784.00	400000	mpp[tiflash]		tiflash_task:{time:16.7s, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
            │   └─Window_168	398784.00	400000	mpp[tiflash]		tiflash_task:{time:16.6s, loops:7, threads:2}	rank()->Column#99 over(order by Column#97 desc)	N/A	N/A
