-- Query: 26606
-- SQL: WITH revenue_data AS (
    SELECT 
        n.n_name AS nation_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        lineitem l
    JOIN 
        orders o ON l.l_...
-- Execution time: 75.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_71	20.00	5	root		time:1m14.5s, loops:2, RU:55461.012054	Column#146	2.66 KB	0 Bytes
└─Projection_73	20.00	5	root		time:1m14.5s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, Column#144, Column#146, Column#148	2.77 KB	N/A
  └─Window_75	20.00	5	root		time:1m14.5s, loops:2	percent_rank()->Column#148 over(order by Column#144 desc)	N/A	N/A
    └─Sort_266	20.00	5	root		time:1m14.5s, loops:2	Column#144:desc	2.47 KB	0 Bytes
      └─TableReader_265	20.00	5	root		time:1m14.5s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_264	6.24 KB	N/A
        └─ExchangeSender_264	20.00	5	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
          └─Selection_79	20.00	5	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:1, threads:2}	le(Column#146, 5)	N/A	N/A
            └─Window_263	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:1, threads:2}	rank()->Column#146 over(order by Column#144 desc)	N/A	N/A
              └─Sort_259	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:1, threads:1}	Column#144:desc	N/A	N/A
                └─ExchangeReceiver_258	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:2, threads:2}		N/A	N/A
                  └─ExchangeSender_257	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                    └─Projection_253	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:4, threads:4}	Column#144, tpch_sf40.nation.n_name	N/A	N/A
                      └─HashAgg_254	25.00	25	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:4, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#154)->Column#144, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
                        └─ExchangeReceiver_256	25.00	50	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:4, threads:4}	stream_count: 2	N/A	N/A
                          └─ExchangeSender_255	25.00	50	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                            └─HashAgg_248	25.00	50	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:2, threads:2}	group by:Column#157, funcs:sum(Column#156)->Column#154	N/A	N/A
                              └─Projection_269	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.4s, loops:1872, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#156, tpch_sf40.nation.n_name->Column#157	N/A	N/A
                                └─Projection_233	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.4s, loops:1872, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.nation.n_name	N/A	N/A
                                  └─Projection_221	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.4s, loops:1872, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_orderkey	N/A	N/A
                                    └─HashJoin_220	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.4s, loops:1872, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                                      ├─ExchangeReceiver_125(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{time:2.42s, loops:190, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}		N/A	N/A
                                      │ └─ExchangeSender_124	6000000.00	6000000	mpp[tiflash]		tiflash_task:{time:2.71s, loops:95, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                      │   └─TableFullScan_123	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{time:2.7s, loops:95, threads:4}, tiflash_wait: {pipeline_queue_wait: 21ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:625ms, min_local_stream:1399ms, max_local_stream:2694ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3135ms}}	keep order:false	N/A	N/A
                                      └─Projection_122(Probe)	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.1s, loops:1872, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_custkey, tpch_sf40.orders.o_orderkey	N/A	N/A
                                        └─HashJoin_102	36655348.56	36340726	mpp[tiflash]		tiflash_task:{time:1m14.1s, loops:1872, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                                          ├─ExchangeReceiver_118(Build)	36399015.26	36340726	mpp[tiflash]		tiflash_task:{time:1m6.3s, loops:3532, threads:4}, tiflash_wait: {pipeline_queue_wait: 291ms}	stream_count: 2	N/A	N/A
                                          │ └─ExchangeSender_117	36399015.26	36340726	mpp[tiflash]		tiflash_task:{time:1m6.8s, loops:3529, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                                          │   └─Projection_116	36399015.26	36340726	mpp[tiflash]		tiflash_task:{time:1m6.4s, loops:3529, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_suppkey	N/A	N/A
                                          │     └─HashJoin_103	36399015.26	36340726	mpp[tiflash]		tiflash_task:{time:1m6.4s, loops:3529, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey)], stream_count: 2	N/A	N/A
                                          │       ├─ExchangeReceiver_111(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{time:1.41s, loops:24, threads:4}, tiflash_wait: {pipeline_queue_wait: 3ms}	stream_count: 2	N/A	N/A
                                          │       │ └─ExchangeSender_110	399987.00	400000	mpp[tiflash]		tiflash_task:{time:1.42s, loops:7, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                                          │       │   └─Projection_109	399987.00	400000	mpp[tiflash]		tiflash_task:{time:1.41s, loops:7, threads:2}	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                                          │       │     └─HashJoin_104	399987.00	400000	mpp[tiflash]		tiflash_task:{time:1.41s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
                                          │       │       ├─ExchangeReceiver_107(Build)	25.00	25	mpp[tiflash]		tiflash_task:{time:100.1ms, loops:1, threads:2}		N/A	N/A
                                          │       │       │ └─ExchangeSender_106	25.00	25	mpp[tiflash]		tiflash_task:{time:95ms, loops:1, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                          │       │       │   └─TableFullScan_105	25.00	25	mpp[tiflash]	table:n	tiflash_task:{time:95ms, loops:1, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:89ms, min_local_stream:91ms, max_local_stream:91ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                                          │       │       └─TableFullScan_108(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:1.41s, loops:7, threads:2}, tiflash_wait: {pipeline_breaker_wait: 93ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:118ms, min_local_stream:1400ms, max_local_stream:1403ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:370ms}}	keep order:false	N/A	N/A
                                          │       └─ExchangeReceiver_115(Probe)	36289541.67	36340726	mpp[tiflash]		tiflash_task:{time:1m5.5s, loops:3529, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1408ms, pipeline_queue_wait: 198ms}		N/A	N/A
                                          │         └─ExchangeSender_114	36289541.67	36340726	mpp[tiflash]		tiflash_task:{time:1m6.8s, loops:3875, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_suppkey, collate: binary]	N/A	N/A
                                          │           └─TableFullScan_112	36289541.67	36340726	mpp[tiflash]	table:l	tiflash_task:{time:1m6.5s, loops:3875, threads:4}, tiflash_wait: {pipeline_queue_wait: 226ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:6ms, tot_build_inputstream:386ms, min_local_stream:65963ms, max_local_stream:66479ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:240012290, lm_filter_skipped_rows:0, tot_rs_index_check:10ms, tot_read:258557ms}}	pushed down filter:ge(tpch_sf40.lineitem.l_shipdate, 1997-01-01), lt(tpch_sf40.lineitem.l_shipdate, 1997-12-31), keep order:false	N/A	N/A
                                          └─ExchangeReceiver_121(Probe)	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:1m13.3s, loops:1872, threads:4}, tiflash_wait: {pipeline_breaker_wait: 66753ms, pipeline_queue_wait: 55ms}		N/A	N/A
                                            └─ExchangeSender_120	60000000.00	60000000	mpp[tiflash]		tiflash_task:{time:1m14.5s, loops:965, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary]	N/A	N/A
                                              └─TableFullScan_119	60000000.00	60000000	mpp[tiflash]	table:o	tiflash_task:{time:10.4s, loops:965, threads:4}, tiflash_wait: {pipeline_queue_wait: 251ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 18/16=1.125000}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:591ms, min_local_stream:9901ms, max_local_stream:10408ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:37566ms}}	keep order:false	N/A	N/A
