-- Query: 26610
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        c.c_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        ROW_NUMBER() OVER (PARTITI...
-- Execution time: 9.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_78	5999990.00	250	root		time:9.15s, loops:2, RU:99452.603673	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#145:desc	30.5 KB	0 Bytes
└─TableReader_357	5999990.00	250	root		time:9.15s, loops:2, cop_task: {num: 5, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_356	12.9 KB	N/A
  └─ExchangeSender_356	5999990.00	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_81	5999990.00	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, Column#145	N/A	N/A
      └─Projection_355	5999990.00	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}	Column#145, Column#145, tpch_sf40.customer.c_name, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
        └─Projection_352	5999990.00	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, Column#145, tpch_sf40.customer.c_name	N/A	N/A
          └─HashJoin_351	5999990.00	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_name, tpch_sf40.customer.c_name)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_99(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:472.4ms, min:428.2ms, avg: 450.3ms, p80:472.4ms, p95:472.4ms, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 379ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_98	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:555.9ms, min:0s, avg: 277.9ms, p80:555.9ms, p95:555.9ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
            │   └─Projection_97	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:445.9ms, min:0s, avg: 222.9ms, p80:445.9ms, p95:445.9ms, iters:95, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name	N/A	N/A
            │     └─HashJoin_87	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:445.9ms, min:0s, avg: 222.9ms, p80:445.9ms, p95:445.9ms, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
            │       ├─ExchangeReceiver_95(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:19.9ms, min:0s, avg: 9.94ms, p80:19.9ms, p95:19.9ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}		N/A	N/A
            │       │ └─ExchangeSender_94	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.3ms, min:0s, avg: 9.17ms, p80:18.3ms, p95:18.3ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │       │   └─Projection_93	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.3ms, min:0s, avg: 9.17ms, p80:18.3ms, p95:18.3ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
            │       │     └─HashJoin_88	25.00	25	mpp[tiflash]		tiflash_task:{proc max:18.3ms, min:0s, avg: 9.17ms, p80:18.3ms, p95:18.3ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
            │       │       ├─ExchangeReceiver_91(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:12.3ms, min:0s, avg: 6.17ms, p80:12.3ms, p95:12.3ms, iters:1, tasks:2, threads:2}		N/A	N/A
            │       │       │ └─ExchangeSender_90	5.00	5	mpp[tiflash]		tiflash_task:{proc max:7.02ms, min:0s, avg: 3.51ms, p80:7.02ms, p95:7.02ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │       │       │   └─TableFullScan_89	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:7.02ms, min:0s, avg: 3.51ms, p80:7.02ms, p95:7.02ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:5ms, tot_build_inputstream:5ms, min_local_stream:6ms, max_local_stream:6ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            │       │       └─TableFullScan_92(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:17.3ms, min:0s, avg: 8.67ms, p80:17.3ms, p95:17.3ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 1ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:2ms, tot_build_inputstream:3ms, min_local_stream:5ms, max_local_stream:5ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
            │       └─TableFullScan_96(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:369.9ms, min:0s, avg: 184.9ms, p80:369.9ms, p95:369.9ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 9ms, pipeline_queue_wait: 330ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:279ms, max_local_stream:358ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:97ms}}	keep order:false	N/A	N/A
            └─ExchangeReceiver_138(Probe)	7224222.26	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:9.15s, avg: 9.15s, p80:9.15s, p95:9.15s, iters:3, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 630ms, pipeline_queue_wait: 133ms}		N/A	N/A
              └─ExchangeSender_137	7224222.26	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:0s, avg: 4.57s, p80:9.15s, p95:9.15s, iters:25, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin]	N/A	N/A
                └─Selection_101	7224222.26	250	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:0s, avg: 4.57s, p80:9.15s, p95:9.15s, iters:25, tasks:2, threads:4}	le(Column#147, 10), stream_count: 2	N/A	N/A
                  └─Window_102	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:9.15s, min:0s, avg: 4.57s, p80:9.15s, p95:9.15s, iters:141, tasks:2, threads:4}	row_number()->Column#147 over(partition by tpch_sf40.customer.c_nationkey order by Column#145 desc rows between current row and current row), stream_count: 2	N/A	N/A
                    └─Sort_136	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:9.11s, min:0s, avg: 4.56s, p80:9.11s, p95:9.11s, iters:141, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, Column#145:desc, stream_count: 2	N/A	N/A
                      └─ExchangeReceiver_135	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:7.84s, min:0s, avg: 3.92s, p80:7.84s, p95:7.84s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 219ms}	stream_count: 2	N/A	N/A
                        └─ExchangeSender_134	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:8.29s, min:0s, avg: 4.15s, p80:8.29s, p95:8.29s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
                          └─Projection_130	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:8.18s, min:0s, avg: 4.09s, p80:8.18s, p95:8.18s, iters:1024, tasks:2, threads:4}	Column#145, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey	N/A	N/A
                            └─HashAgg_131	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:8.18s, min:0s, avg: 4.09s, p80:8.18s, p95:8.18s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, funcs:sum(Column#168)->Column#145, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, funcs:firstrow(tpch_sf40.customer.c_nationkey)->tpch_sf40.customer.c_nationkey, stream_count: 2	N/A	N/A
                              └─ExchangeReceiver_133	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:7.82s, min:0s, avg: 3.91s, p80:7.82s, p95:7.82s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 940ms}	stream_count: 2	N/A	N/A
                                └─ExchangeSender_132	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:7.57s, min:0s, avg: 3.78s, p80:7.57s, p95:7.57s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
                                  └─HashAgg_104	9030277.82	9105203	mpp[tiflash]		tiflash_task:{proc max:7.4s, min:0s, avg: 3.7s, p80:7.4s, p95:7.4s, iters:512, tasks:2, threads:4}	group by:Column#183, Column#184, Column#185, Column#186, funcs:sum(Column#182)->Column#168	N/A	N/A
                                    └─Projection_363	36633530.95	36426141	mpp[tiflash]		tiflash_task:{proc max:5.64s, min:0s, avg: 2.82s, p80:5.64s, p95:5.64s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#182, tpch_sf40.orders.o_orderkey->Column#183, tpch_sf40.orders.o_orderdate->Column#184, tpch_sf40.customer.c_name->Column#185, tpch_sf40.customer.c_nationkey->Column#186	N/A	N/A
                                      └─Projection_129	36633530.95	36426141	mpp[tiflash]		tiflash_task:{proc max:5.61s, min:0s, avg: 2.8s, p80:5.61s, p95:5.61s, iters:7750, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                                        └─Projection_122	36633530.95	36426141	mpp[tiflash]		tiflash_task:{proc max:5.61s, min:0s, avg: 2.8s, p80:5.61s, p95:5.61s, iters:7750, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                                          └─HashJoin_107	36633530.95	36426141	mpp[tiflash]		tiflash_task:{proc max:5.61s, min:0s, avg: 2.8s, p80:5.61s, p95:5.61s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
                                            ├─ExchangeReceiver_118(Build)	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.37s, min:0s, avg: 686.9ms, p80:1.37s, p95:1.37s, iters:904, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 343ms}	stream_count: 2	N/A	N/A
                                            │ └─ExchangeSender_117	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.7s, min:0s, avg: 851ms, p80:1.7s, p95:1.7s, iters:904, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                                            │   └─Projection_116	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.3ms, p80:1.62s, p95:1.62s, iters:904, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_custkey	N/A	N/A
                                            │     └─HashJoin_108	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.62s, min:0s, avg: 809.3ms, p80:1.62s, p95:1.62s, iters:904, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                                            │       ├─ExchangeReceiver_111(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:465.6ms, min:0s, avg: 232.8ms, p80:465.6ms, p95:465.6ms, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 385ms}	stream_count: 2	N/A	N/A
                                            │       │ └─ExchangeSender_110	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:471.6ms, min:0s, avg: 235.8ms, p80:471.6ms, p95:471.6ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                                            │       │   └─TableFullScan_109	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:385.6ms, min:0s, avg: 192.8ms, p80:385.6ms, p95:385.6ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 364ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:30ms, min_local_stream:253ms, max_local_stream:384ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:246ms}}	keep order:false	N/A	N/A
                                            │       └─ExchangeReceiver_115(Probe)	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.18s, min:0s, avg: 589.5ms, p80:1.18s, p95:1.18s, iters:904, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 482ms, pipeline_queue_wait: 432ms}		N/A	N/A
                                            │         └─ExchangeSender_114	9093871.87	9105203	mpp[tiflash]		tiflash_task:{proc max:1.7s, min:0s, avg: 850.1ms, p80:1.7s, p95:1.7s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
                                            │           └─TableFullScan_112	9093871.87	9105203	mpp[tiflash]	table:o	tiflash_task:{proc max:1.68s, min:0s, avg: 841.1ms, p80:1.68s, p95:1.68s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1284ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:1ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:3ms, tot_build_inputstream:104ms, min_local_stream:1398ms, max_local_stream:1679ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:3ms, tot_read:1959ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1997-01-01), le(tpch_sf40.orders.o_orderdate, 1997-12-31), keep order:false	N/A	N/A
                                            └─ExchangeReceiver_121(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:3.42s, min:0s, avg: 1.71s, p80:3.42s, p95:3.42s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1697ms, pipeline_queue_wait: 1282ms}		N/A	N/A
                                              └─ExchangeSender_120	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:6.73s, min:0s, avg: 3.37s, p80:6.73s, p95:6.73s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
                                                └─TableFullScan_119	240012290.00	240012290	mpp[tiflash]	table:l	tiflash_task:{proc max:4.58s, min:0s, avg: 2.29s, p80:4.58s, p95:4.58s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 4051ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:285ms, tot_build_inputstream:349ms, min_local_stream:4064ms, max_local_stream:4566ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:277ms, tot_read:7580ms}}	keep order:false	N/A	N/A
