-- Query: 26616
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        ROW_NUMBER() OVER (PARTITION BY c.c_mktsegment ORDER BY o.o_totalprice DESC) AS rn
    F...
-- Execution time: 3.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_74	6000000.00	2	root		time:3.47s, loops:2, RU:21404.280882	Column#135:desc, Column#136:desc	6.06 KB	0 Bytes
└─Projection_78	6000000.00	2	root		time:3.47s, loops:2, Concurrency:2	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, Column#135, Column#136, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	24.1 KB	N/A
  └─IndexJoin_89	6000000.00	2	root		time:3.47s, loops:2, inner:{total:11.3ms, concurrency:2, task:1, construct:12.7µs, fetch:11.2ms, build:1.64µs}, probe:3.09µs	inner join, inner:HashAgg_83, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	82.5 KB	N/A
    ├─TableReader_174(Build)	6000000.00	2	root		time:3.46s, loops:3, cop_task: {num: 3, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_173	6.14 KB	N/A
    │ └─ExchangeSender_173	6000000.00	2	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:1, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   └─Projection_172	6000000.00	2	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:1, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	N/A	N/A
    │     └─HashJoin_160	6000000.00	2	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:1, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
    │       ├─ExchangeReceiver_134(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:1.36s, min:1.28s, avg: 1.32s, p80:1.36s, p95:1.36s, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 961ms}		N/A	N/A
    │       │ └─ExchangeSender_133	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.59s, min:0s, avg: 792.7ms, p80:1.59s, p95:1.59s, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │       │   └─TableFullScan_132	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:1.58s, min:0s, avg: 791.7ms, p80:1.58s, p95:1.58s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1546ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:12ms, min_local_stream:0ms, max_local_stream:1572ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:24ms}}	keep order:false	N/A	N/A
    │       └─Projection_137(Probe)	6042243.81	2	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:3, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate	N/A	N/A
    │         └─HashJoin_136	6042243.81	2	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:3, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
    │           ├─ExchangeReceiver_111(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:662.6ms, min:453.6ms, avg: 558.1ms, p80:662.6ms, p95:662.6ms, iters:366, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 561ms}	stream_count: 2	N/A	N/A
    │           │ └─ExchangeSender_110	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:559.5ms, min:0s, avg: 279.7ms, p80:559.5ms, p95:559.5ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
    │           │   └─Projection_109	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:401.5ms, min:0s, avg: 200.7ms, p80:401.5ms, p95:401.5ms, iters:95, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.customer.c_address	N/A	N/A
    │           │     └─HashJoin_99	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:401.5ms, min:0s, avg: 200.7ms, p80:401.5ms, p95:401.5ms, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
    │           │       ├─ExchangeReceiver_107(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:11.5ms, min:0s, avg: 5.73ms, p80:11.5ms, p95:11.5ms, iters:2, tasks:2, threads:4}		N/A	N/A
    │           │       │ └─ExchangeSender_106	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.1ms, min:0s, avg: 5.53ms, p80:11.1ms, p95:11.1ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │           │       │   └─Projection_105	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.1ms, min:0s, avg: 5.53ms, p80:11.1ms, p95:11.1ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
    │           │       │     └─HashJoin_100	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.1ms, min:0s, avg: 5.53ms, p80:11.1ms, p95:11.1ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
    │           │       │       ├─ExchangeReceiver_103(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:7.06ms, min:0s, avg: 3.53ms, p80:7.06ms, p95:7.06ms, iters:1, tasks:2, threads:2}		N/A	N/A
    │           │       │       │ └─ExchangeSender_102	5.00	5	mpp[tiflash]		tiflash_task:{proc max:6.89ms, min:0s, avg: 3.45ms, p80:6.89ms, p95:6.89ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │           │       │       │   └─TableFullScan_101	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:6.89ms, min:0s, avg: 3.45ms, p80:6.89ms, p95:6.89ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:4ms, min_local_stream:0ms, max_local_stream:6ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │           │       │       └─TableFullScan_104(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:11.1ms, min:0s, avg: 5.53ms, p80:11.1ms, p95:11.1ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 6ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:0ms, max_local_stream:10ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │           │       └─TableFullScan_108(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:278.5ms, min:0s, avg: 139.2ms, p80:278.5ms, p95:278.5ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 245ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:21ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:6ms, min_local_stream:0ms, max_local_stream:267ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:715ms}}	keep order:false	N/A	N/A
    │           └─ExchangeReceiver_130(Probe)	7255251.90	25	mpp[tiflash]		tiflash_task:{proc max:3.46s, min:3.45s, avg: 3.45s, p80:3.46s, p95:3.46s, iters:3, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1585ms}		N/A	N/A
