-- Query: 26624
-- SQL: WITH SupplierParts AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        COUNT(DISTINCT ps.ps_partkey) AS part_count,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    ...
-- Execution time: 6.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_66	25.08	0	root		time:6.58s, loops:1, RU:18749.717250	Column#72:desc, tpch_sf40.region.r_name	0 Bytes	0 Bytes
└─TableReader_326	25.08	0	root		time:6.58s, loops:1, cop_task: {num: 1, max: 0s, proc_keys: 0, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_325	7.26 KB	N/A
  └─ExchangeSender_325	25.08	0	mpp[tiflash]		tiflash_task:{time:6.58s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_69	25.08	0	mpp[tiflash]		tiflash_task:{time:6.58s, loops:1, threads:2}	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, Column#71, Column#72, Column#96	N/A	N/A
      └─Projection_324	25.08	0	mpp[tiflash]		tiflash_task:{time:6.58s, loops:1, threads:2}	tpch_sf40.supplier.s_name, Column#71, Column#72, Column#96, tpch_sf40.region.r_name	N/A	N/A
        └─Projection_321	25.08	0	mpp[tiflash]		tiflash_task:{time:6.58s, loops:1, threads:2}	Column#96, tpch_sf40.region.r_name, Column#71, Column#72, tpch_sf40.supplier.s_name	N/A	N/A
          └─HashJoin_320	25.08	0	mpp[tiflash]		tiflash_task:{time:6.58s, loops:1, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
            ├─ExchangeReceiver_100(Build)	25.00	25	mpp[tiflash]		tiflash_task:{time:34.3ms, loops:1, threads:2}		N/A	N/A
            │ └─ExchangeSender_99	25.00	25	mpp[tiflash]		tiflash_task:{time:34.2ms, loops:1, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │   └─Projection_98	25.00	25	mpp[tiflash]		tiflash_task:{time:34.2ms, loops:1, threads:2}	tpch_sf40.nation.n_nationkey, Column#96, tpch_sf40.region.r_name	N/A	N/A
            │     └─HashJoin_75	25.00	25	mpp[tiflash]		tiflash_task:{time:34.2ms, loops:1, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_regionkey, tpch_sf40.region.r_regionkey)]	N/A	N/A
            │       ├─ExchangeReceiver_97(Build)	5.00	5	mpp[tiflash]		tiflash_task:{time:33.2ms, loops:1, threads:2}		N/A	N/A
            │       │ └─ExchangeSender_96	5.00	5	mpp[tiflash]		tiflash_task:{time:33.2ms, loops:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
            │       │   └─Projection_92	5.00	5	mpp[tiflash]		tiflash_task:{time:33.2ms, loops:2, threads:2}	Column#96, tpch_sf40.region.r_regionkey, tpch_sf40.region.r_name	N/A	N/A
            │       │     └─HashAgg_93	5.00	5	mpp[tiflash]		tiflash_task:{time:33.2ms, loops:2, threads:2}	group by:tpch_sf40.region.r_name, tpch_sf40.region.r_regionkey, funcs:count(distinct tpch_sf40.nation.n_nationkey)->Column#96, funcs:firstrow(tpch_sf40.region.r_regionkey)->tpch_sf40.region.r_regionkey, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
