-- Query: 26631
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        o.o_orderstatus,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_or...
-- Execution time: 51.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_68	5.00	5	root		time:51.2s, loops:2, RU:121316.607814	Column#105:desc, Column#122:desc	4.75 KB	0 Bytes
└─Projection_70	5.00	5	root		time:51.2s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, tpch_sf40.region.r_comment, Column#105, Column#122, Column#123	4.67 KB	N/A
  └─HashAgg_71	5.00	5	root		time:51.2s, loops:2	group by:Column#105, tpch_sf40.region.r_comment, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#122, funcs:avg(tpch_sf40.orders.o_totalprice)->Column#123, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.region.r_comment)->tpch_sf40.region.r_comment, funcs:firstrow(Column#105)->Column#105	7.22 KB	0 Bytes
    └─HashJoin_74	5.04	5	root		time:51.2s, loops:3, build_hash_table:{total:50s, fetch:50s, build:5.52µs}, probe:{concurrency:2, total:1m42.4s, max:51.2s, probe:219.3ms, fetch and wait:1m42.2s}	left outer join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.orders.o_orderkey)]	4.52 KB	0 Bytes
      ├─HashJoin_75(Build)	5.00	5	root		time:50s, loops:2, build_hash_table:{total:50s, fetch:50s, build:13.6µs}, probe:{concurrency:2, total:1m40.1s, max:50s, probe:18.9µs, fetch and wait:1m40.1s}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_nationkey)]	49.7 KB	0 Bytes
      │ ├─TopN_127(Build)	5.00	5	root		time:50s, loops:2	Column#105:desc, offset:0, count:5	568 Bytes	0 Bytes
      │ │ └─TableReader_326	5.00	19	root		time:50s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_325	5.69 KB	N/A
      │ │   └─ExchangeSender_325	5.00	19	mpp[tiflash]		tiflash_task:{proc max:50s, min:50s, avg: 50s, p80:50s, p95:50s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │ │     └─TopN_324	5.00	19	mpp[tiflash]		tiflash_task:{proc max:50s, min:50s, avg: 50s, p80:50s, p95:50s, iters:4, tasks:2, threads:4}	Column#105:desc, offset:0, count:5	N/A	N/A
      │ │       └─Projection_320	25.00	25	mpp[tiflash]		tiflash_task:{proc max:50s, min:50s, avg: 50s, p80:50s, p95:50s, iters:4, tasks:2, threads:4}	Column#105, tpch_sf40.nation.n_nationkey	N/A	N/A
