-- Query: 26635
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_availqty) AS total_availability,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
     ...
-- Execution time: 25.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_68	10.00	0	root		time:25.6s, loops:1, RU:135170.299937, Concurrency:OFF	tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#171, Column#120, Column#121, Column#172, tpch_sf40.nation.n_name	6.44 KB	N/A
└─TopN_72	10.00	0	root		time:25.6s, loops:1	Column#171:desc, Column#121, offset:0, count:10	0 Bytes	0 Bytes
  └─TableReader_388	10.00	0	root		time:25.6s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_387	8.83 KB	N/A
    └─ExchangeSender_387	10.00	0	mpp[tiflash]		tiflash_task:{proc max:25.6s, min:25.6s, avg: 25.6s, p80:25.6s, p95:25.6s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_386	10.00	0	mpp[tiflash]		tiflash_task:{proc max:25.6s, min:25.6s, avg: 25.6s, p80:25.6s, p95:25.6s, iters:0, tasks:2, threads:4}	Column#171:desc, Column#121, offset:0, count:10	N/A	N/A
        └─Projection_385	120000000.00	0	mpp[tiflash]		tiflash_task:{proc max:25.6s, min:25.6s, avg: 25.6s, p80:25.6s, p95:25.6s, iters:1024, tasks:2, threads:4}	Column#120, Column#121, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_name, Column#171, Column#172, tpch_sf40.customer.c_name	N/A	N/A
          └─Projection_382	120000000.00	0	mpp[tiflash]		tiflash_task:{proc max:25.6s, min:25.6s, avg: 25.6s, p80:25.6s, p95:25.6s, iters:1024, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#120, Column#121, tpch_sf40.supplier.s_name, Column#171, Column#172, tpch_sf40.customer.c_name	N/A	N/A
            └─HashJoin_381	120000000.00	0	mpp[tiflash]		tiflash_task:{proc max:25.6s, min:25.6s, avg: 25.6s, p80:25.6s, p95:25.6s, iters:1024, tasks:2, threads:4}	CARTESIAN inner join, other cond:gt(Column#171, Column#121)	N/A	N/A
              ├─ExchangeReceiver_110(Build)	25.00	48	mpp[tiflash]		tiflash_task:{proc max:4.54s, min:4.43s, avg: 4.48s, p80:4.54s, p95:4.54s, iters:3, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 227ms}		N/A	N/A
              │ └─ExchangeSender_109	25.00	24	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.21s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
              │   └─Projection_108	25.00	24	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.21s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#120, Column#121, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
              │     └─HashJoin_81	25.00	24	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.21s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
              │       ├─ExchangeReceiver_84(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:342.6ms, min:0s, avg: 171.3ms, p80:342.6ms, p95:342.6ms, iters:2, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 226ms}		N/A	N/A
              │       │ └─ExchangeSender_83	25.00	25	mpp[tiflash]		tiflash_task:{proc max:116.5ms, min:0s, avg: 58.3ms, p80:116.5ms, p95:116.5ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
              │       │   └─TableFullScan_82	25.00	25	mpp[tiflash]	table:s	tiflash_task:{proc max:116.5ms, min:0s, avg: 58.3ms, p80:116.5ms, p95:116.5ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 98ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3ms, min_local_stream:104ms, max_local_stream:104ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
              │       └─Selection_85(Probe)	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.2s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	gt(Column#120, 1000), not(isnull(Column#121))	N/A	N/A
              │         └─Projection_104	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.2s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	Column#120, Column#121, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
              │           └─HashAgg_105	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:4.41s, min:0s, avg: 2.2s, p80:4.41s, p95:4.41s, iters:516, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#173)->Column#120, funcs:sum(Column#174)->Column#121, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
              │             └─ExchangeReceiver_107	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.39s, min:0s, avg: 2.19s, p80:4.39s, p95:4.39s, iters:96, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 275ms, pipeline_queue_wait: 304ms}	stream_count: 2	N/A	N/A
              │               └─ExchangeSender_106	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.3s, min:0s, avg: 2.15s, p80:4.3s, p95:4.3s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              │                 └─HashAgg_87	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:4.29s, min:0s, avg: 2.14s, p80:4.29s, p95:4.29s, iters:512, tasks:2, threads:4}	group by:Column#205, Column#206, funcs:sum(Column#203)->Column#173, funcs:sum(Column#204)->Column#174	N/A	N/A
              │                   └─Projection_391	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:3.11s, min:0s, avg: 1.55s, p80:3.11s, p95:3.11s, iters:509, tasks:2, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#203, mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#204, tpch_sf40.supplier.s_suppkey->Column#205, tpch_sf40.supplier.s_name->Column#206	N/A	N/A
              │                     └─Projection_103	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:3.08s, min:0s, avg: 1.54s, p80:3.08s, p95:3.08s, iters:509, tasks:2, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
              │                       └─HashJoin_102	32239947.24	32000000	mpp[tiflash]		tiflash_task:{proc max:3.08s, min:0s, avg: 1.54s, p80:3.08s, p95:3.08s, iters:509, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
              │                         ├─ExchangeReceiver_97(Build)	8000000.00	16000000	mpp[tiflash]		tiflash_task:{proc max:691.8ms, min:0s, avg: 345.9ms, p80:691.8ms, p95:691.8ms, iters:252, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 423ms}		N/A	N/A
              │                         │ └─ExchangeSender_96	8000000.00	8000000	mpp[tiflash]		tiflash_task:{proc max:1.05s, min:0s, avg: 522.8ms, p80:1.05s, p95:1.05s, iters:126, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
              │                         │   └─TableFullScan_95	8000000.00	8000000	mpp[tiflash]	table:p	tiflash_task:{proc max:1.03s, min:0s, avg: 513.8ms, p80:1.03s, p95:1.03s, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 983ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:17ms, min_local_stream:879ms, max_local_stream:1015ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:74ms}}	keep order:false	N/A	N/A
