-- Query: 26642
-- SQL: WITH SalesData AS (
    SELECT 
        o.o_orderkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS revenue,
        c.c_nationkey,
        n.n_name AS nation_name,
        r.r_name AS region...
-- Execution time: 9.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_68	7309921.16	250	root		time:9.46s, loops:2, RU:94285.575434	tpch_sf40.region.r_name, Column#144:desc	32.4 KB	0 Bytes
└─TableReader_291	7309921.16	250	root		time:9.46s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_290	6.96 KB	N/A
  └─ExchangeSender_290	7309921.16	250	mpp[tiflash]		tiflash_task:{proc max:9.46s, min:9.42s, avg: 9.44s, p80:9.46s, p95:9.46s, iters:25, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_71	7309921.16	250	mpp[tiflash]		tiflash_task:{proc max:9.46s, min:9.42s, avg: 9.44s, p80:9.46s, p95:9.46s, iters:25, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#144, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, stream_count: 2	N/A	N/A
      └─Selection_289	7309921.16	250	mpp[tiflash]		tiflash_task:{proc max:9.46s, min:9.42s, avg: 9.44s, p80:9.46s, p95:9.46s, iters:25, tasks:2, threads:4}	le(Column#146, 10), stream_count: 2	N/A	N/A
        └─Window_286	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:9.45s, min:9.42s, avg: 9.44s, p80:9.45s, p95:9.45s, iters:141, tasks:2, threads:4}	dense_rank()->Column#146 over(partition by tpch_sf40.nation.n_name order by Column#144 desc), stream_count: 2	N/A	N/A
          └─Sort_119	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:9.41s, min:9.37s, avg: 9.39s, p80:9.41s, p95:9.41s, iters:141, tasks:2, threads:4}	tpch_sf40.nation.n_name, Column#144:desc, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_118	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:7.94s, min:7.75s, avg: 7.84s, p80:7.94s, p95:7.94s, iters:896, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 402ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_117	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:8.32s, min:0s, avg: 4.16s, p80:8.32s, p95:8.32s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─Projection_113	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:8.16s, min:0s, avg: 4.08s, p80:8.16s, p95:8.16s, iters:1024, tasks:2, threads:4}	Column#144, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                  └─HashAgg_114	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:8.16s, min:0s, avg: 4.08s, p80:8.16s, p95:8.16s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_nationkey, tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.region.r_name, funcs:sum(Column#147)->Column#144, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_116	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:7.7s, min:0s, avg: 3.85s, p80:7.7s, p95:7.7s, iters:1024, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1333ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_115	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:7.32s, min:0s, avg: 3.66s, p80:7.32s, p95:7.32s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.customer.c_nationkey, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], [name: tpch_sf40.orders.o_orderdate, collate: binary], stream_count: 2	N/A	N/A
                        └─HashAgg_77	9137401.45	9102526	mpp[tiflash]		tiflash_task:{proc max:7.15s, min:0s, avg: 3.57s, p80:7.15s, p95:7.15s, iters:512, tasks:2, threads:4}	group by:Column#163, Column#164, Column#165, Column#166, Column#167, funcs:sum(Column#162)->Column#147	N/A	N/A
                          └─Projection_297	37068104.15	36406902	mpp[tiflash]		tiflash_task:{proc max:5.18s, min:0s, avg: 2.59s, p80:5.18s, p95:5.18s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#162, tpch_sf40.orders.o_orderkey->Column#163, tpch_sf40.customer.c_nationkey->Column#164, tpch_sf40.nation.n_name->Column#165, tpch_sf40.region.r_name->Column#166, tpch_sf40.orders.o_orderdate->Column#167	N/A	N/A
                            └─Projection_112	37068104.15	36406902	mpp[tiflash]		tiflash_task:{proc max:5.15s, min:0s, avg: 2.58s, p80:5.15s, p95:5.15s, iters:7750, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.customer.c_nationkey, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                              └─Projection_105	37068104.15	36406902	mpp[tiflash]		tiflash_task:{proc max:5.15s, min:0s, avg: 2.57s, p80:5.15s, p95:5.15s, iters:7750, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                                └─HashJoin_80	37068104.15	36406902	mpp[tiflash]		tiflash_task:{proc max:5.15s, min:0s, avg: 2.57s, p80:5.15s, p95:5.15s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
                                  ├─ExchangeReceiver_101(Build)	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:1.19s, min:0s, avg: 595.7ms, p80:1.19s, p95:1.19s, iters:904, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 375ms}	stream_count: 2	N/A	N/A
                                  │ └─ExchangeSender_100	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:1.49s, min:0s, avg: 743.7ms, p80:1.49s, p95:1.49s, iters:904, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                                  │   └─Projection_99	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:1.38s, min:0s, avg: 690.2ms, p80:1.38s, p95:1.38s, iters:904, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_custkey	N/A	N/A
                                  │     └─HashJoin_81	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:1.38s, min:0s, avg: 689.7ms, p80:1.38s, p95:1.38s, iters:904, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
                                  │       ├─ExchangeReceiver_94(Build)	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:200.5ms, min:0s, avg: 100.2ms, p80:200.5ms, p95:200.5ms, iters:364, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 136ms}	stream_count: 2	N/A	N/A
                                  │       │ └─ExchangeSender_93	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:262ms, min:0s, avg: 131ms, p80:262ms, p95:262ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
                                  │       │   └─Projection_92	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:180ms, min:0s, avg: 90ms, p80:180ms, p95:180ms, iters:95, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_nationkey	N/A	N/A
                                  │       │     └─HashJoin_82	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:180ms, min:0s, avg: 90ms, p80:180ms, p95:180ms, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
                                  │       │       ├─ExchangeReceiver_90(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:12ms, min:0s, avg: 5.98ms, p80:12ms, p95:12ms, iters:2, tasks:2, threads:4}		N/A	N/A
                                  │       │       │ └─ExchangeSender_89	25.00	25	mpp[tiflash]		tiflash_task:{proc max:5.33ms, min:0s, avg: 2.66ms, p80:5.33ms, p95:5.33ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                  │       │       │   └─Projection_88	25.00	25	mpp[tiflash]		tiflash_task:{proc max:5.33ms, min:0s, avg: 2.66ms, p80:5.33ms, p95:5.33ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
                                  │       │       │     └─HashJoin_83	25.00	25	mpp[tiflash]		tiflash_task:{proc max:5.33ms, min:0s, avg: 2.66ms, p80:5.33ms, p95:5.33ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
                                  │       │       │       ├─ExchangeReceiver_86(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:4.33ms, min:0s, avg: 2.16ms, p80:4.33ms, p95:4.33ms, iters:1, tasks:2, threads:2}		N/A	N/A
                                  │       │       │       │ └─ExchangeSender_85	5.00	5	mpp[tiflash]		tiflash_task:{proc max:4.22ms, min:0s, avg: 2.11ms, p80:4.22ms, p95:4.22ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                                  │       │       │       │   └─TableFullScan_84	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:4.22ms, min:0s, avg: 2.11ms, p80:4.22ms, p95:4.22ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:3ms, max_local_stream:3ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                                  │       │       │       └─TableFullScan_87(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:5.33ms, min:0s, avg: 2.66ms, p80:5.33ms, p95:5.33ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:0ms, max_local_stream:4ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                                  │       │       └─TableFullScan_91(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:154ms, min:0s, avg: 77ms, p80:154ms, p95:154ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 126ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:11ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:4ms, min_local_stream:11ms, max_local_stream:142ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:134ms}}	keep order:false	N/A	N/A
                                  │       └─ExchangeReceiver_98(Probe)	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:818.5ms, min:0s, avg: 409.2ms, p80:818.5ms, p95:818.5ms, iters:904, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 285ms, pipeline_queue_wait: 333ms}		N/A	N/A
                                  │         └─ExchangeSender_97	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:1.48s, min:0s, avg: 742.3ms, p80:1.48s, p95:1.48s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
                                  │           └─TableFullScan_95	9201749.90	9102526	mpp[tiflash]	table:o	tiflash_task:{proc max:1.44s, min:0s, avg: 718.3ms, p80:1.44s, p95:1.44s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1079ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:2ms, tot_build_inputstream:48ms, min_local_stream:1088ms, max_local_stream:1435ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:1642ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1995-01-01), lt(tpch_sf40.orders.o_orderdate, 1996-01-01), keep order:false	N/A	N/A
                                  └─ExchangeReceiver_104(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:3.25s, min:0s, avg: 1.63s, p80:3.25s, p95:3.25s, iters:7750, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 1488ms, pipeline_queue_wait: 1217ms}		N/A	N/A
                                    └─ExchangeSender_103	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:6.26s, min:0s, avg: 3.13s, p80:6.26s, p95:6.26s, iters:3875, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
