-- Query: 26645
-- SQL: WITH region_supplier AS (
    SELECT 
        r.r_name AS region_name,
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost
    FROM 
        regi...
-- Execution time: 9.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_104	1595136.00	2000000	root		time:9.59s, loops:1955, RU:38351.173833, Concurrency:2	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, tpch_sf40.customer.c_name, Column#112	522.9 KB	N/A
└─HashJoin_105	1595136.00	2000000	root		time:9.59s, loops:1955, build_hash_table:{total:9.49s, fetch:9.49s, build:8.08µs}, probe:{concurrency:2, total:19.2s, max:9.59s, probe:177.8ms, fetch and wait:19s}	CARTESIAN inner join	57.7 KB	0 Bytes
  ├─TopN_272(Build)	5.00	5	root		time:9.49s, loops:2	Column#112:desc, offset:0, count:5	658 Bytes	0 Bytes
  │ └─TableReader_361	5.00	20	root		time:9.49s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_360	2.59 KB	N/A
  │   └─ExchangeSender_360	5.00	20	mpp[tiflash]		tiflash_task:{proc max:9.49s, min:9.49s, avg: 9.49s, p80:9.49s, p95:9.49s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
  │     └─TopN_359	5.00	20	mpp[tiflash]		tiflash_task:{proc max:9.49s, min:9.49s, avg: 9.49s, p80:9.49s, p95:9.49s, iters:4, tasks:2, threads:4}	Column#112:desc, offset:0, count:5	N/A	N/A
  │       └─Projection_355	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.44s, min:9.44s, avg: 9.44s, p80:9.44s, p95:9.44s, iters:1024, tasks:2, threads:4}	Column#112, tpch_sf40.customer.c_name	N/A	N/A
  │         └─HashAgg_356	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.44s, min:9.44s, avg: 9.44s, p80:9.44s, p95:9.44s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#145)->Column#112, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
  │           └─ExchangeReceiver_358	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.34s, min:9.34s, avg: 9.34s, p80:9.34s, p95:9.34s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 159ms}	stream_count: 2	N/A	N/A
  │             └─ExchangeSender_357	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.41s, min:0s, avg: 4.7s, p80:9.41s, p95:9.41s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
  │               └─HashAgg_353	6000010.00	3999929	mpp[tiflash]		tiflash_task:{proc max:9.37s, min:0s, avg: 4.69s, p80:9.37s, p95:9.37s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#145	N/A	N/A
  │                 └─Projection_342	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:6.08s, min:0s, avg: 3.04s, p80:6.08s, p95:6.08s, iters:1872, tasks:2, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
  │                   └─HashJoin_341	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:6.08s, min:0s, avg: 3.04s, p80:6.08s, p95:6.08s, iters:1872, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
  │                     ├─ExchangeReceiver_310(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:171.3ms, min:0s, avg: 85.7ms, p80:171.3ms, p95:171.3ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 137ms}	stream_count: 2	N/A	N/A
  │                     │ └─ExchangeSender_309	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:226.7ms, min:0s, avg: 113.3ms, p80:226.7ms, p95:226.7ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
