-- Query: 26647
-- SQL: WITH RegionSales AS (
    SELECT 
        r.r_name AS region_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        COUNT(DISTINCT o.o_orderkey) AS total_orders
    FROM 
  ...
-- Execution time: 50.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_76	16.00	25	root		time:50.8s, loops:2, RU:177224.023580	Column#131:desc, Column#153:desc	5.18 KB	0 Bytes
└─Projection_78	16.00	25	root		time:50.8s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#131, Column#132, tpch_sf40.customer.c_mktsegment, Column#153, Column#154	4.79 KB	N/A
  └─Projection_80	16.00	25	root		time:50.8s, loops:2, Concurrency:OFF	Column#131, Column#132, tpch_sf40.region.r_name, Column#153, Column#154, tpch_sf40.customer.c_mktsegment	4.79 KB	N/A
    └─HashJoin_84	16.00	25	root		time:50.8s, loops:2, build_hash_table:{total:6.58s, fetch:6.58s, build:14µs}, probe:{concurrency:2, total:1m41.5s, max:50.8s, probe:6.67ms, fetch and wait:1m41.5s}	CARTESIAN inner join, other cond:gt(Column#131, Column#153)	66.0 KB	0 Bytes
      ├─TableReader_229(Build)	4.00	5	root		time:6.58s, loops:2, cop_task: {num: 4, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_228	2.59 KB	N/A
      │ └─ExchangeSender_228	4.00	5	mpp[tiflash]		tiflash_task:{proc max:6.58s, min:6.28s, avg: 6.43s, p80:6.58s, p95:6.58s, iters:2, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_162	4.00	5	mpp[tiflash]		tiflash_task:{proc max:6.58s, min:6.28s, avg: 6.43s, p80:6.58s, p95:6.58s, iters:2, tasks:2, threads:4}	not(isnull(Column#153))	N/A	N/A
      │     └─Projection_103	5.00	5	mpp[tiflash]		tiflash_task:{proc max:6.58s, min:6.28s, avg: 6.43s, p80:6.58s, p95:6.58s, iters:2, tasks:2, threads:4}	Column#153, Column#154, tpch_sf40.customer.c_mktsegment	N/A	N/A
      │       └─HashAgg_104	5.00	5	mpp[tiflash]		tiflash_task:{proc max:6.58s, min:6.28s, avg: 6.43s, p80:6.58s, p95:6.58s, iters:2, tasks:2, threads:4}	group by:tpch_sf40.customer.c_mktsegment, funcs:sum(Column#155)->Column#153, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#154, funcs:firstrow(tpch_sf40.customer.c_mktsegment)->tpch_sf40.customer.c_mktsegment, stream_count: 2	N/A	N/A
      │         └─ExchangeReceiver_106	5.00	9102526	mpp[tiflash]		tiflash_task:{proc max:6.52s, min:6.28s, avg: 6.4s, p80:6.52s, p95:6.52s, iters:768, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2249ms}	stream_count: 2	N/A	N/A
      │           └─ExchangeSender_105	5.00	9102526	mpp[tiflash]		tiflash_task:{proc max:6.22s, min:0s, avg: 3.11s, p80:6.22s, p95:6.22s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_mktsegment, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │             └─HashAgg_88	5.00	9102526	mpp[tiflash]		tiflash_task:{proc max:5.48s, min:0s, avg: 2.74s, p80:5.48s, p95:5.48s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_mktsegment, tpch_sf40.orders.o_orderkey, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#155	N/A	N/A
      │               └─Projection_102	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.45s, min:0s, avg: 1.73s, p80:3.45s, p95:3.45s, iters:900, tasks:2, threads:4}	tpch_sf40.customer.c_mktsegment, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_custkey	N/A	N/A
      │                 └─HashJoin_101	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.45s, min:0s, avg: 1.73s, p80:3.45s, p95:3.45s, iters:900, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
      │                   ├─ExchangeReceiver_92(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:619.6ms, min:0s, avg: 309.8ms, p80:619.6ms, p95:619.6ms, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 454ms}	stream_count: 2	N/A	N/A
      │                   │ └─ExchangeSender_91	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:665.2ms, min:0s, avg: 332.6ms, p80:665.2ms, p95:665.2ms, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
      │                   │   └─TableFullScan_90	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:652.2ms, min:0s, avg: 326.1ms, p80:652.2ms, p95:652.2ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 592ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:15ms, region_balance:{instance_num: 2, max/min: 3/2=1.500000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:22ms, min_local_stream:0ms, max_local_stream:636ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:212ms}}	keep order:false	N/A	N/A
      │                   └─ExchangeReceiver_96(Probe)	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.07s, min:0s, avg: 1.54s, p80:3.07s, p95:3.07s, iters:900, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 696ms, pipeline_queue_wait: 1582ms}		N/A	N/A
      │                     └─ExchangeSender_95	9201749.90	9102526	mpp[tiflash]		tiflash_task:{proc max:3.82s, min:0s, avg: 1.91s, p80:3.82s, p95:3.82s, iters:965, tasks:2, threads:5}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
      │                       └─TableFullScan_93	9201749.90	9102526	mpp[tiflash]	table:o	tiflash_task:{proc max:3.78s, min:0s, avg: 1.89s, p80:3.78s, p95:3.78s, iters:965, tasks:2, threads:5}, tiflash_wait: {pipeline_queue_wait: 3321ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:33, remote_regions:1, tot_learner_read:15ms, region_balance:{instance_num: 2, max/min: 18/15=1.200000}, delta_rows:0, delta_bytes:0, segments:66, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:1ms, tot_build_inputstream:88ms, min_local_stream:0ms, max_local_stream:3773ms, min_remote_stream:0ms, max_remote_stream:778ms, dtfile:{data_scanned_rows:58203954, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:58203954, lm_filter_skipped_rows:0, tot_rs_index_check:2ms, tot_read:2306ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1995-01-01), lt(tpch_sf40.orders.o_orderdate, 1996-01-01), keep order:false	N/A	N/A
      └─TableReader_442(Probe)	4.00	5	root		time:50.8s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_441	7.49 KB	N/A
        └─ExchangeSender_441	4.00	5	mpp[tiflash]		tiflash_task:{proc max:50.8s, min:50.7s, avg: 50.8s, p80:50.8s, p95:50.8s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
          └─Selection_231	4.00	5	mpp[tiflash]		tiflash_task:{proc max:50.8s, min:50.7s, avg: 50.8s, p80:50.8s, p95:50.8s, iters:4, tasks:2, threads:4}	not(isnull(Column#131))	N/A	N/A
            └─Projection_155	5.00	5	mpp[tiflash]		tiflash_task:{proc max:50.8s, min:50.7s, avg: 50.8s, p80:50.8s, p95:50.8s, iters:4, tasks:2, threads:4}	Column#131, Column#132, tpch_sf40.region.r_name	N/A	N/A
