-- Query: 26648
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        ROW_NUMBER() OVER (PARTITION BY n.n_regionke...
-- Execution time: 4.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_66	36364916.71	0	root		time:4.83s, loops:1, RU:22077.867762, Concurrency:2	tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice	17.7 KB	N/A
└─Sort_68	36364916.71	0	root		time:4.83s, loops:1	tpch_sf40.region.r_name, Column#63:desc, tpch_sf40.orders.o_totalprice:desc	0 Bytes	0 Bytes
  └─Projection_70	36364916.71	0	root		time:4.83s, loops:1, Concurrency:2	tpch_sf40.supplier.s_name, Column#63, Column#63, tpch_sf40.region.r_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice	20.5 KB	N/A
    └─HashJoin_74	36364916.71	0	root		time:4.83s, loops:1, build_hash_table:{total:2.95s, fetch:2.95s, build:0s}	CARTESIAN inner join	0 Bytes	0 Bytes
      ├─TableReader_146(Build)	5.00	0	root		time:2.95s, loops:1, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_145	5.00 KB	N/A
      │ └─ExchangeSender_145	5.00	0	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:2.92s, avg: 2.94s, p80:2.95s, p95:2.95s, iters:5, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      │   └─Projection_144	5.00	0	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:2.92s, avg: 2.94s, p80:2.95s, p95:2.95s, iters:5, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#63, tpch_sf40.supplier.s_name, tpch_sf40.nation.n_regionkey	N/A	N/A
      │     └─HashJoin_132	5.00	0	mpp[tiflash]		tiflash_task:{proc max:2.95s, min:2.92s, avg: 2.94s, p80:2.95s, p95:2.95s, iters:5, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
      │       ├─ExchangeReceiver_78(Build)	5.00	10	mpp[tiflash]		tiflash_task:{proc max:5.41ms, min:5.29ms, avg: 5.35ms, p80:5.41ms, p95:5.41ms, iters:2, tasks:2, threads:4}		N/A	N/A
      │       │ └─ExchangeSender_77	5.00	5	mpp[tiflash]		tiflash_task:{proc max:5.38ms, min:0s, avg: 2.69ms, p80:5.38ms, p95:5.38ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
