-- Query: 26650
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_mktsegment,
        RANK() OVER (PARTITION BY c.c_mktsegment ORDER BY o.o_totalprice...
-- Execution time: 30.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
TopN_86	100.00	100	root		time:30.9s, loops:2, RU:108180.983007	tpch_sf40.orders.o_totalprice:desc, Column#150:desc, offset:0, count:100	169.3 KB	0 Bytes
└─HashJoin_91	2558841153856.73	800000	root		time:30.9s, loops:783, build_hash_table:{total:1.56s, fetch:1.55s, build:15.5ms}, probe:{concurrency:2, total:1m1.7s, max:30.9s, probe:55.8ms, fetch and wait:1m1.6s}	CARTESIAN inner join	35.3 MB	0 Bytes
  ├─TableReader_433(Build)	398784.00	400000	root		time:1.55s, loops:483, cop_task: {num: 196, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_432	2.50 MB	N/A
  │ └─ExchangeSender_432	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.56s, min:1.54s, avg: 1.55s, p80:1.56s, p95:1.56s, iters:770, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
  │   └─Projection_428	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.52s, min:1.52s, avg: 1.52s, p80:1.52s, p95:1.52s, iters:770, tasks:2, threads:4}	Column#165	N/A	N/A
  │     └─HashAgg_429	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:1.52s, min:1.52s, avg: 1.52s, p80:1.52s, p95:1.52s, iters:770, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_suppkey, funcs:sum(Column#180)->Column#165, stream_count: 2	N/A	N/A
  │       └─ExchangeReceiver_431	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.51s, min:1.51s, avg: 1.51s, p80:1.51s, p95:1.51s, iters:88, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 262ms}	stream_count: 2	N/A	N/A
  │         └─ExchangeSender_430	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.42s, min:0s, avg: 710.8ms, p80:1.42s, p95:1.42s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
  │           └─HashAgg_360	398784.00	800000	mpp[tiflash]		tiflash_task:{proc max:1.42s, min:0s, avg: 709.8ms, p80:1.42s, p95:1.42s, iters:512, tasks:2, threads:4}	group by:Column#183, funcs:sum(Column#182)->Column#180	N/A	N/A
  │             └─Projection_452	32097576.63	32000000	mpp[tiflash]		tiflash_task:{proc max:1.11s, min:0s, avg: 555.3ms, p80:1.11s, p95:1.11s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#182, tpch_sf40.supplier.s_suppkey->Column#183	N/A	N/A
