-- Query: 26654
-- SQL: WITH RankedSales AS (
    SELECT 
        p.p_partkey, 
        p.p_name, 
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales,
        RANK() OVER (PARTITION BY p.p_partkey ORDER BY SU...
-- Execution time: 27.9s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_96	5158223.91	4732418	root		time:27.7s, loops:4623, RU:115323.878187	Column#100:desc	476.2 MB	0 Bytes
└─TableReader_329	5158223.91	4732418	root		time:24.2s, loops:4625, cop_task: {num: 78, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_328	11.1 MB	N/A
  └─ExchangeSender_328	5158223.91	4732418	mpp[tiflash]		tiflash_task:{proc max:24.6s, min:24.6s, avg: 24.6s, p80:24.6s, p95:24.6s, iters:76, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_99	5158223.91	4732418	mpp[tiflash]		tiflash_task:{proc max:24.3s, min:24.3s, avg: 24.3s, p80:24.3s, p95:24.3s, iters:76, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, Column#100, stream_count: 2	N/A	N/A
      └─Selection_327	5158223.91	4732418	mpp[tiflash]		tiflash_task:{proc max:24.3s, min:24.3s, avg: 24.3s, p80:24.3s, p95:24.3s, iters:76, tasks:2, threads:4}	le(Column#102, 10), stream_count: 2	N/A	N/A
        └─Window_324	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24.3s, min:24.3s, avg: 24.3s, p80:24.3s, p95:24.3s, iters:76, tasks:2, threads:4}	rank()->Column#102 over(partition by tpch_sf40.part.p_partkey order by Column#100 desc), stream_count: 2	N/A	N/A
          └─Sort_149	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24.3s, min:24.3s, avg: 24.3s, p80:24.3s, p95:24.3s, iters:76, tasks:2, threads:4}	tpch_sf40.part.p_partkey, Column#100:desc, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_148	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24s, min:24s, avg: 24s, p80:24s, p95:24s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 139ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_147	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24.1s, min:0s, avg: 12.1s, p80:24.1s, p95:24.1s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                └─Projection_143	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24s, min:0s, avg: 12s, p80:24s, p95:24s, iters:1024, tasks:2, threads:4}	Column#100, tpch_sf40.part.p_partkey, tpch_sf40.part.p_name	N/A	N/A
                  └─HashAgg_144	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:24s, min:0s, avg: 12s, p80:24s, p95:24s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.part.p_name, tpch_sf40.part.p_partkey, funcs:sum(Column#107)->Column#100, funcs:firstrow(tpch_sf40.part.p_partkey)->tpch_sf40.part.p_partkey, funcs:firstrow(tpch_sf40.part.p_name)->tpch_sf40.part.p_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_146	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:23.8s, min:0s, avg: 11.9s, p80:23.8s, p95:23.8s, iters:512, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 453ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_145	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:23.8s, min:0s, avg: 11.9s, p80:23.8s, p95:23.8s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], [name: tpch_sf40.part.p_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        └─HashAgg_105	6447779.89	4732418	mpp[tiflash]		tiflash_task:{proc max:23.8s, min:0s, avg: 11.9s, p80:23.8s, p95:23.8s, iters:512, tasks:2, threads:4}	group by:Column#119, Column#120, funcs:sum(Column#118)->Column#107	N/A	N/A
                          └─Projection_335	194301336.74	192553756	mpp[tiflash]		tiflash_task:{proc max:10.3s, min:0s, avg: 5.15s, p80:10.3s, p95:10.3s, iters:7750, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#118, tpch_sf40.part.p_partkey->Column#119, tpch_sf40.part.p_name->Column#120	N/A	N/A
                            └─Projection_142	194301336.74	192553756	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:7750, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                              └─Projection_135	194301336.74	192553756	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:7750, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
                                └─HashJoin_108	194301336.74	192553756	mpp[tiflash]		tiflash_task:{proc max:10.2s, min:0s, avg: 5.08s, p80:10.2s, p95:10.2s, iters:7750, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.lineitem.l_partkey)]	N/A	N/A
                                  ├─Projection_130(Build)	6447779.89	6418480	mpp[tiflash]		tiflash_task:{proc max:782.5ms, min:0s, avg: 391.2ms, p80:782.5ms, p95:782.5ms, iters:250, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_name	N/A	N/A
                                  │ └─HashJoin_109	6447779.89	6418480	mpp[tiflash]		tiflash_task:{proc max:782.5ms, min:0s, avg: 391.2ms, p80:782.5ms, p95:782.5ms, iters:250, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.part.p_partkey)], stream_count: 2	N/A	N/A
                                  │   ├─ExchangeReceiver_126(Build)	6419306.49	6418480	mpp[tiflash]		tiflash_task:{proc max:531.5ms, min:0s, avg: 265.7ms, p80:531.5ms, p95:531.5ms, iters:671, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 302ms}	stream_count: 2	N/A	N/A
                                  │   │ └─ExchangeSender_125	6419306.49	6418480	mpp[tiflash]		tiflash_task:{proc max:622.2ms, min:0s, avg: 311.1ms, p80:622.2ms, p95:622.2ms, iters:1016, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
                                  │   │   └─Projection_124	6419306.49	6418480	mpp[tiflash]		tiflash_task:{proc max:611.8ms, min:0s, avg: 305.9ms, p80:611.8ms, p95:611.8ms, iters:1016, tasks:2, threads:4}	tpch_sf40.partsupp.ps_partkey, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                                  │   │     └─HashJoin_111	6419306.49	6418480	mpp[tiflash]		tiflash_task:{proc max:610.8ms, min:0s, avg: 305.4ms, p80:610.8ms, p95:610.8ms, iters:1016, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)], stream_count: 2	N/A	N/A
                                  │   │       ├─ExchangeReceiver_120(Build)	79997.40	80231	mpp[tiflash]		tiflash_task:{proc max:18.2ms, min:0s, avg: 9.1ms, p80:18.2ms, p95:18.2ms, iters:8, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2ms}	stream_count: 2	N/A	N/A
