-- Query: 26661
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        s.s_acctbal, 
        COUNT(DISTINCT ps.ps_partkey) AS num_parts, 
        RANK() OVER (ORDER BY COUNT(DISTINCT p...
-- Execution time: 394.8s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_117	400000.00	16005055	root		time:6m34.3s, loops:15631, RU:280739.780449	tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name	1.84 GB	0 Bytes
└─Projection_119	400000.00	16005055	root		time:6m16.6s, loops:15631, Concurrency:2	tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name, Column#217	219.8 KB	N/A
  └─Projection_121	400000.00	16005055	root		time:6m7.1s, loops:15631, Concurrency:2	Column#217, tpch_sf40.customer.c_name, tpch_sf40.supplier.s_name	219.8 KB	N/A
    └─IndexJoin_128	400000.00	16005055	root		time:6m10.5s, loops:15631, inner:{total:1m27.9s, concurrency:2, task:628, construct:5.56s, fetch:1m20.9s, build:1.4s}, probe:4.11s	inner join, inner:TableReader_125, outer key:tpch_sf40.customer.c_custkey, inner key:tpch_sf40.customer.c_custkey, equal cond:eq(tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_custkey)	14.8 MB	N/A
      ├─HashJoin_190(Build)	400000.00	16005055	root		time:5m43.4s, loops:15631, build_hash_table:{total:552.5ms, fetch:478.1ms, build:74.4ms}, probe:{concurrency:2, total:12m33.8s, max:6m16.9s, probe:8.68s, fetch and wait:12m25.1s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	37.0 MB	0 Bytes
      │ ├─TableReader_411(Build)	400000.00	400000	root		time:478.4ms, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_410	2.13 MB	N/A
      │ │ └─ExchangeSender_410	400000.00	400000	mpp[tiflash]		tiflash_task:{time:527ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │ │   └─TableFullScan_409	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:521ms, loops:7, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:74ms, min_local_stream:519ms, max_local_stream:520ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:449ms}}	keep order:false	N/A	N/A
      │ └─HashAgg_193(Probe)	4800008.00	16005055	root		time:5m40.7s, loops:15632, partial_worker:{wall_time:5m33.101746303s, concurrency:2, task_num:15632, tot_wait:10m59.314525048s, tot_exec:6.103891818s, tot_time:11m6.203429162s, max:5m33.101715273s, p95:5m33.101715273s}, final_worker:{wall_time:6m16.911469396s, concurrency:2, task_num:2, tot_wait:1.435µs, tot_exec:22ns, tot_time:12m33.818619212s, max:6m16.911435752s, p95:6m16.911435752s}	group by:Column#250, Column#251, funcs:sum(Column#249)->Column#217, funcs:firstrow(Column#250)->tpch_sf40.customer.c_custkey, funcs:firstrow(Column#251)->tpch_sf40.supplier.s_suppkey	845.0 MB	1.63 GB
      │   └─Projection_424	62150403.61	16005352	root		time:5m27.8s, loops:15633, Concurrency:2	mul(tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice)->Column#249, tpch_sf40.customer.c_custkey->Column#250, tpch_sf40.supplier.s_suppkey->Column#251	349.6 KB	N/A
      │     └─Projection_197	62150403.61	16005352	root		time:5m27.2s, loops:15633, Concurrency:2	tpch_sf40.customer.c_custkey, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.supplier.s_suppkey	398.1 KB	N/A
