-- Query: 26662
-- SQL: SELECT 
    n.n_name AS Nation,
    r.r_name AS Region,
    COUNT(DISTINCT o.o_orderkey) AS TotalOrders,
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS TotalRevenue,
    AVG(c.c_acctbal) AS Averag...
-- Execution time: 95.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_38	10.00	10	root		time:1m35s, loops:2, RU:70779.956009, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#62, Column#63, Column#64	4.42 KB	N/A
└─TopN_42	10.00	10	root		time:1m35s, loops:2	Column#63:desc, Column#62:desc, offset:0, count:10	4.52 KB	0 Bytes
  └─TableReader_335	10.00	25	root		time:1m35s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_334	8.47 KB	N/A
    └─ExchangeSender_334	10.00	25	mpp[tiflash]		tiflash_task:{proc max:1m34.9s, min:1m34.9s, avg: 1m34.9s, p80:1m34.9s, p95:1m34.9s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_333	10.00	25	mpp[tiflash]		tiflash_task:{proc max:1m34.9s, min:1m34.9s, avg: 1m34.9s, p80:1m34.9s, p95:1m34.9s, iters:4, tasks:2, threads:4}	Column#63:desc, Column#62:desc, offset:0, count:10	N/A	N/A
        └─Projection_329	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m34.9s, min:1m34.9s, avg: 1m34.9s, p80:1m34.9s, p95:1m34.9s, iters:4, tasks:2, threads:4}	Column#62, Column#63, div(Column#64, cast(case(eq(Column#79, 0), 1, Column#79), decimal(20,0) BINARY))->Column#64, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_330	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1m34.9s, min:1m34.9s, avg: 1m34.9s, p80:1m34.9s, p95:1m34.9s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.orders.o_orderkey)->Column#62, funcs:sum(Column#80)->Column#63, funcs:sum(Column#81)->Column#79, funcs:sum(Column#82)->Column#64, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_332	25.00	13834695	mpp[tiflash]		tiflash_task:{proc max:1m34.8s, min:1m34.7s, avg: 1m34.8s, p80:1m34.8s, p95:1m34.8s, iters:1280, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1224ms}	stream_count: 2	N/A	N/A
              └─ExchangeSender_331	25.00	13834695	mpp[tiflash]		tiflash_task:{proc max:1m35s, min:0s, avg: 47.5s, p80:1m35s, p95:1m35s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_327	25.00	13834695	mpp[tiflash]		tiflash_task:{proc max:1m34.6s, min:0s, avg: 47.3s, p80:1m34.6s, p95:1m34.6s, iters:512, tasks:2, threads:4}	group by:Column#88, Column#89, Column#90, funcs:sum(Column#85)->Column#80, funcs:count(Column#86)->Column#81, funcs:sum(Column#87)->Column#82	N/A	N/A
                  └─Projection_336	36897496.43	30346972	mpp[tiflash]		tiflash_task:{proc max:1m32.3s, min:0s, avg: 46.2s, p80:1m32.3s, p95:1m32.3s, iters:3143, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#85, tpch_sf40.customer.c_acctbal->Column#86, tpch_sf40.customer.c_acctbal->Column#87, tpch_sf40.nation.n_name->Column#88, tpch_sf40.region.r_name->Column#89, tpch_sf40.orders.o_orderkey->Column#90	N/A	N/A
