-- Query: 26663
-- SQL: WITH total_sales AS (
    SELECT 
        l.l_orderkey,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS sales
    FROM 
        lineitem l
    WHERE 
        l.l_shipdate >= DATE '1995-01-01' A...
-- Execution time: 42.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_60	4800008.00	10	root		time:42.2s, loops:2, RU:59077.204997	Column#140:desc	2.55 KB	0 Bytes
└─TableReader_286	4800008.00	10	root		time:42.2s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_285	4.99 KB	N/A
  └─ExchangeSender_285	4800008.00	10	mpp[tiflash]		tiflash_task:{time:42.2s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_63	4800008.00	10	mpp[tiflash]		tiflash_task:{time:42.2s, loops:1, threads:2}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#140	N/A	N/A
      └─Selection_284	4800008.00	10	mpp[tiflash]		tiflash_task:{time:42.2s, loops:1, threads:2}	le(Column#142, 10)	N/A	N/A
        └─Window_281	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:42.2s, loops:56, threads:2}	rank()->Column#142 over(order by Column#140 desc)	N/A	N/A
          └─Sort_116	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:42.1s, loops:56, threads:1}	Column#140:desc	N/A	N/A
            └─ExchangeReceiver_115	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:41s, loops:341, threads:2}, tiflash_wait: {pipeline_queue_wait: 31ms}		N/A	N/A
              └─ExchangeSender_114	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:41.1s, loops:1024, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Projection_110	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:41.1s, loops:1024, threads:4}	Column#140, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
                  └─HashAgg_111	6000010.00	3613326	mpp[tiflash]		tiflash_task:{time:41.1s, loops:1024, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#147)->Column#140, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
                    └─ExchangeReceiver_113	6000010.00	5691288	mpp[tiflash]		tiflash_task:{time:40.9s, loops:512, threads:4}, tiflash_wait: {pipeline_queue_wait: 416ms}	stream_count: 2	N/A	N/A
                      └─ExchangeSender_112	6000010.00	5691288	mpp[tiflash]		tiflash_task:{time:40.9s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], [name: tpch_sf40.customer.c_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                        └─HashAgg_69	6000010.00	5691288	mpp[tiflash]		tiflash_task:{time:40.8s, loops:512, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#139)->Column#147	N/A	N/A
                          └─Projection_109	9220008.36	10641270	mpp[tiflash]		tiflash_task:{time:39.8s, loops:3614, threads:4}	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#139, tpch_sf40.orders.o_orderkey	N/A	N/A
                            └─HashJoin_108	9220008.36	10641270	mpp[tiflash]		tiflash_task:{time:39.8s, loops:3614, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)]	N/A	N/A
                              ├─Projection_92(Build)	9155532.23	10641270	mpp[tiflash]		tiflash_task:{time:33.8s, loops:1024, threads:4}	Column#139, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                              │ └─HashAgg_93	9155532.23	10641270	mpp[tiflash]		tiflash_task:{time:33.8s, loops:1024, threads:4}	group by:tpch_sf40.lineitem.l_orderkey, funcs:sum(Column#143)->Column#139, funcs:firstrow(tpch_sf40.lineitem.l_orderkey)->tpch_sf40.lineitem.l_orderkey, stream_count: 2	N/A	N/A
                              │   └─ExchangeReceiver_95	9155532.23	10641277	mpp[tiflash]		tiflash_task:{time:33.6s, loops:1024, threads:4}, tiflash_wait: {pipeline_queue_wait: 90ms}	stream_count: 2	N/A	N/A
                              │     └─ExchangeSender_94	9155532.23	10641277	mpp[tiflash]		tiflash_task:{time:33.7s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                              │       └─HashAgg_82	9155532.23	10641277	mpp[tiflash]		tiflash_task:{time:33.7s, loops:512, threads:4}	group by:Column#179, funcs:sum(Column#178)->Column#143	N/A	N/A
                              │         └─Projection_293	36881922.00	36421008	mpp[tiflash]		tiflash_task:{time:33s, loops:3875, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#178, tpch_sf40.lineitem.l_orderkey->Column#179	N/A	N/A
