-- Query: 26664
-- SQL: WITH filtered_orders AS (
    SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, c.c_nationkey
    FROM orders o
    JOIN customer c ON o.o_custkey = c.c_custkey
    WHERE o.o_orderdate BETWEEN '1996...
-- Execution time: 50.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_84	10.00	0	root		time:49.6s, loops:1, RU:148454.041250, Concurrency:OFF	tpch_sf40.nation.n_name, Column#200	2.02 KB	N/A
└─TopN_88	10.00	0	root		time:49.6s, loops:1	Column#200:desc, offset:0, count:10	0 Bytes	0 Bytes
  └─TableReader_381	10.00	0	root		time:49.6s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_380	7.78 KB	N/A
    └─ExchangeSender_380	10.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:49.6s, avg: 49.6s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_379	10.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:49.6s, avg: 49.6s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:4}	Column#200:desc, offset:0, count:10	N/A	N/A
        └─Projection_375	25.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:49.6s, avg: 49.6s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:4}	Column#200, tpch_sf40.nation.n_name	N/A	N/A
          └─HashAgg_376	25.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:49.6s, avg: 49.6s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, funcs:sum(Column#208)->Column#200, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_378	25.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:49.6s, avg: 49.6s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_377	25.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:0s, avg: 24.8s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_373	25.00	0	mpp[tiflash]		tiflash_task:{proc max:49.6s, min:0s, avg: 24.8s, p80:49.6s, p95:49.6s, iters:0, tasks:2, threads:2}	group by:Column#211, funcs:sum(Column#210)->Column#208	N/A	N/A
