-- Query: 26668
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        r.r_name AS region_name,
        ROW_NUMBER() OVER (PARTITION BY r.r_r...
-- Execution time: 12.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_60	4.00	5	root		time:12.6s, loops:2, RU:23591.421229	Column#116:desc	3.88 KB	0 Bytes
└─TableReader_247	4.00	5	root		time:12.6s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_246	5.02 KB	N/A
  └─ExchangeSender_246	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:12.6s, avg: 12.6s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_63	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:12.6s, avg: 12.6s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, Column#114, Column#115, Column#116	N/A	N/A
      └─Projection_242	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:12.6s, avg: 12.6s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	Column#114, div(Column#115, cast(case(eq(Column#133, 0), 1, Column#133), decimal(20,0) BINARY))->Column#115, Column#116, tpch_sf40.region.r_name	N/A	N/A
        └─HashAgg_243	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:12.6s, avg: 12.6s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#134)->Column#114, funcs:sum(Column#135)->Column#133, funcs:sum(Column#136)->Column#115, funcs:sum(Column#137)->Column#116, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_245	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:12.6s, avg: 12.6s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_244	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:0s, avg: 6.32s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_240	4.00	5	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:0s, avg: 6.32s, p80:12.6s, p95:12.6s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.region.r_name, funcs:count(1)->Column#134, funcs:count(tpch_sf40.orders.o_totalprice)->Column#135, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#136, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#137, stream_count: 2	N/A	N/A
                └─Selection_229	48000000.00	25	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:0s, avg: 6.32s, p80:12.6s, p95:12.6s, iters:5, tasks:2, threads:4}	le(Column#107, 5), stream_count: 2	N/A	N/A
                  └─Window_219	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:12.6s, min:0s, avg: 6.32s, p80:12.6s, p95:12.6s, iters:918, tasks:2, threads:4}	row_number()->Column#107 over(partition by tpch_sf40.region.r_regionkey order by tpch_sf40.orders.o_totalprice desc rows between current row and current row), stream_count: 2	N/A	N/A
                    └─Sort_96	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:12.3s, min:0s, avg: 6.17s, p80:12.3s, p95:12.3s, iters:918, tasks:2, threads:4}	tpch_sf40.region.r_regionkey, tpch_sf40.orders.o_totalprice:desc, stream_count: 2	N/A	N/A
                      └─ExchangeReceiver_95	60000000.00	60000000	mpp[tiflash]		tiflash_task:{proc max:3.68s, min:0s, avg: 1.84s, p80:3.68s, p95:3.68s, iters:4570, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2362ms}	stream_count: 2	N/A	N/A
