-- Query: 26676
-- SQL: WITH RegionalSales AS (
    SELECT 
        r.r_name AS region_name,
        SUM(o.o_totalprice) AS total_sales
    FROM 
        region r
    JOIN 
        nation n ON r.r_regionkey = n.n_regionkey
 ...
-- Execution time: 51.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_216	12288020.48	9256790	root		time:51.1s, loops:9041, RU:119573.331629	Column#151:desc, Column#222:desc	1.31 GB	0 Bytes
└─Projection_218	12288020.48	9256790	root		time:48.4s, loops:9042, Concurrency:2	tpch_sf40.customer.c_name, tpch_sf40.region.r_name, Column#222, Column#151	279.1 KB	N/A
  └─Projection_219	12288020.48	9256790	root		time:47.5s, loops:9042, Concurrency:2	Column#151, tpch_sf40.customer.c_name, tpch_sf40.region.r_name, Column#222	279.1 KB	N/A
    └─HashJoin_220	12288020.48	9256790	root		time:47.5s, loops:9042, build_hash_table:{total:44.3s, fetch:44.3s, build:9.93µs}, probe:{concurrency:2, total:1m36.8s, max:48.4s, probe:1.2s, fetch and wait:1m35.6s}	CARTESIAN inner join	66.0 KB	0 Bytes
      ├─TableReader_537(Build)	4.00	5	root		time:44.3s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_536	7.93 KB	N/A
      │ └─ExchangeSender_536	4.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_267	4.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:1, threads:2}	le(Column#224, 5)	N/A	N/A
      │     └─Window_535	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:1, threads:2}	rank()->Column#224 over(order by Column#222 desc)	N/A	N/A
      │       └─Sort_323	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:1, threads:1}	Column#222:desc	N/A	N/A
      │         └─ExchangeReceiver_322	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 1ms}		N/A	N/A
      │           └─ExchangeSender_321	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:4, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
      │             └─Projection_317	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:4, threads:4}	Column#222, tpch_sf40.region.r_name	N/A	N/A
      │               └─HashAgg_318	5.00	5	mpp[tiflash]		tiflash_task:{time:44.3s, loops:4, threads:4}	group by:tpch_sf40.region.r_name, funcs:sum(Column#239)->Column#222, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
      │                 └─ExchangeReceiver_320	5.00	10	mpp[tiflash]		tiflash_task:{time:44.3s, loops:4, threads:4}, tiflash_wait: {pipeline_queue_wait: 1ms}	stream_count: 2	N/A	N/A
      │                   └─ExchangeSender_319	5.00	10	mpp[tiflash]		tiflash_task:{time:44.3s, loops:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │                     └─HashAgg_271	5.00	10	mpp[tiflash]		tiflash_task:{time:44.3s, loops:2, threads:2}	group by:tpch_sf40.region.r_name, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#239	N/A	N/A
