-- Query: 26677
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        s.s_acctbal,
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supplycost,
        COUNT(DISTINCT p.p_partkey) ...
-- Execution time: 20.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_60	100.00	100	root		time:20s, loops:2, RU:120359.648631, Concurrency:OFF	tpch_sf40.nation.n_name, Column#81, Column#82, Column#109, Column#110, Column#140, Column#141	17.3 KB	N/A
└─TopN_63	100.00	100	root		time:20s, loops:2	Column#81:desc, Column#110:desc, Column#140:desc, offset:0, count:100	178.8 KB	0 Bytes
  └─HashJoin_69	185396086515824.06	10000000	root		time:19.9s, loops:9767, build_hash_table:{total:19.7s, fetch:19.4s, build:290ms}	CARTESIAN left outer join	1.21 GB	0 Bytes
    ├─HashJoin_71(Build)	7975680.00	10000000	root		time:19.4s, loops:9767, build_hash_table:{total:1.74s, fetch:1.74s, build:14.2µs}, probe:{concurrency:2, total:39.4s, max:19.7s, probe:724.4ms, fetch and wait:38.7s}	CARTESIAN left outer join	66.0 KB	0 Bytes
    │ ├─TableReader_138(Build)	25.00	25	root		time:1.74s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_137	2.06 KB	N/A
    │ │ └─ExchangeSender_137	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.74s, min:1.71s, avg: 1.72s, p80:1.74s, p95:1.74s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │ │   └─Projection_133	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.74s, min:1.71s, avg: 1.72s, p80:1.74s, p95:1.74s, iters:4, tasks:2, threads:4}	Column#81, Column#82, tpch_sf40.nation.n_name	N/A	N/A
    │ │     └─HashAgg_134	25.00	25	mpp[tiflash]		tiflash_task:{proc max:1.74s, min:1.71s, avg: 1.72s, p80:1.74s, p95:1.74s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#81, funcs:sum(Column#142)->Column#82, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
    │ │       └─ExchangeReceiver_136	25.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.69s, min:1.66s, avg: 1.67s, p80:1.69s, p95:1.69s, iters:612, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1305ms}	stream_count: 2	N/A	N/A
    │ │         └─ExchangeSender_135	25.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.71s, min:0s, avg: 855.7ms, p80:1.71s, p95:1.71s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_nationkey, collate: binary], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │ │           └─HashAgg_74	25.00	6000000	mpp[tiflash]		tiflash_task:{proc max:1.46s, min:0s, avg: 729.2ms, p80:1.46s, p95:1.46s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.nation.n_name, tpch_sf40.nation.n_nationkey, funcs:sum(tpch_sf40.customer.c_acctbal)->Column#142	N/A	N/A
    │ │             └─Projection_132	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:558.5ms, min:0s, avg: 279.2ms, p80:558.5ms, p95:558.5ms, iters:95, tasks:2, threads:4}	tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_acctbal	N/A	N/A
    │ │               └─HashJoin_131	5999990.00	6000000	mpp[tiflash]		tiflash_task:{proc max:558.5ms, min:0s, avg: 279.2ms, p80:558.5ms, p95:558.5ms, iters:95, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.customer.c_nationkey)]	N/A	N/A
    │ │                 ├─ExchangeReceiver_103(Build)	25.00	50	mpp[tiflash]		tiflash_task:{proc max:4.68ms, min:0s, avg: 2.34ms, p80:4.68ms, p95:4.68ms, iters:2, tasks:2, threads:4}		N/A	N/A
    │ │                 │ └─ExchangeSender_102	25.00	25	mpp[tiflash]		tiflash_task:{proc max:4.87ms, min:0s, avg: 2.43ms, p80:4.87ms, p95:4.87ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │ │                 │   └─TableFullScan_101	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:4.87ms, min:0s, avg: 2.43ms, p80:4.87ms, p95:4.87ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:4ms, max_local_stream:4ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
    │ │                 └─TableFullScan_104(Probe)	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:527.5ms, min:0s, avg: 263.7ms, p80:527.5ms, p95:527.5ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 3ms, pipeline_queue_wait: 504ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:13ms, min_local_stream:0ms, max_local_stream:526ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:163ms}}	keep order:false	N/A	N/A
    │ └─TableReader_266(Probe)	319027.20	400000	root		time:19s, loops:465, cop_task: {num: 94, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_265	3.06 MB	N/A
    │   └─ExchangeSender_265	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:19.1s, min:19s, avg: 19.1s, p80:19.1s, p95:19.1s, iters:262, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │     └─Selection_143	319027.20	400000	mpp[tiflash]		tiflash_task:{proc max:19.1s, min:19s, avg: 19s, p80:19.1s, p95:19.1s, iters:262, tasks:2, threads:4}	gt(Column#109, 100000.00)	N/A	N/A
    │       └─Projection_261	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:19.1s, min:19s, avg: 19s, p80:19.1s, p95:19.1s, iters:262, tasks:2, threads:4}	Column#109, Column#110	N/A	N/A
    │         └─HashAgg_262	398784.00	400000	mpp[tiflash]		tiflash_task:{proc max:19.1s, min:19s, avg: 19s, p80:19.1s, p95:19.1s, iters:262, tasks:2, threads:4}	group by:tpch_sf40.supplier.s_acctbal, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#148)->Column#109, funcs:count(distinct tpch_sf40.part.p_partkey)->Column#110, stream_count: 2	N/A	N/A
    │           └─ExchangeReceiver_264	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:16.8s, min:16.8s, avg: 16.8s, p80:16.8s, p95:16.8s, iters:2052, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 9111ms}	stream_count: 2	N/A	N/A
    │             └─ExchangeSender_263	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:19s, min:0s, avg: 9.49s, p80:19s, p95:19s, iters:768, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], [name: tpch_sf40.supplier.s_acctbal, collate: binary], stream_count: 2	N/A	N/A
    │               └─HashAgg_259	398784.00	32000000	mpp[tiflash]		tiflash_task:{proc max:17.2s, min:0s, avg: 8.62s, p80:17.2s, p95:17.2s, iters:768, tasks:2, threads:4}	group by:Column#156, Column#157, Column#158, Column#159, funcs:sum(Column#155)->Column#148	N/A	N/A
    │                 └─Projection_353	32239946.23	32000000	mpp[tiflash]		tiflash_task:{proc max:6.22s, min:0s, avg: 3.11s, p80:6.22s, p95:6.22s, iters:509, tasks:2, threads:4}	mul(tpch_sf40.partsupp.ps_supplycost, cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY))->Column#155, tpch_sf40.supplier.s_suppkey->Column#156, tpch_sf40.supplier.s_name->Column#157, tpch_sf40.supplier.s_acctbal->Column#158, tpch_sf40.part.p_partkey->Column#159	N/A	N/A
