-- Query: 26690
-- SQL: WITH RevenueBySupplier AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        supplier s
    JOIN 
        parts...
-- Execution time: 76.1s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_78	256772.27	10	root		time:1m15.4s, loops:2, RU:184310.416968	tpch_sf40.nation.n_name, Column#133:desc	5.45 KB	0 Bytes
└─Projection_80	256772.27	10	root		time:1m15.4s, loops:3, Concurrency:2	tpch_sf40.nation.n_name, tpch_sf40.supplier.s_name, Column#133	10.6 KB	N/A
  └─Projection_82	256772.27	10	root		time:1m15.4s, loops:3, Concurrency:2	tpch_sf40.supplier.s_name, Column#133, tpch_sf40.nation.n_name	10.6 KB	N/A
    └─HashJoin_85	256772.27	10	root		time:1m15.4s, loops:3, build_hash_table:{total:1m15.4s, fetch:1m15.4s, build:10.9µs}, probe:{concurrency:2, total:2m30.8s, max:1m15.4s, probe:9.71ms, fetch and wait:2m30.8s}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	74.2 KB	0 Bytes
      ├─TableReader_376(Build)	256000.00	10	root		time:1m15.4s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_375	6.50 KB	N/A
      │ └─ExchangeSender_375	256000.00	10	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
      │   └─Selection_189	256000.00	10	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:1, threads:2}	le(Column#142, 10)	N/A	N/A
      │     └─Window_142	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:2}	rank()->Column#142 over(order by Column#133 desc)	N/A	N/A
      │       └─Sort_141	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:1}	Column#133:desc	N/A	N/A
      │         └─ExchangeReceiver_140	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:6, threads:2}, tiflash_wait: {pipeline_queue_wait: 14ms}		N/A	N/A
      │           └─ExchangeSender_139	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:2}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
      │             └─Projection_99	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:2}	Column#133, tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name	N/A	N/A
      │               └─Projection_138	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#133	N/A	N/A
      │                 └─HashJoin_100	320000.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.3s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)]	N/A	N/A
      │                   ├─ExchangeReceiver_137(Build)	319027.20	400000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 17ms}		N/A	N/A
      │                   │ └─ExchangeSender_136	319027.20	400000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:516, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                   │   └─Selection_103	319027.20	400000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:516, threads:4}	gt(Column#133, 0)	N/A	N/A
      │                   │     └─Projection_132	398784.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:516, threads:4}	Column#133, tpch_sf40.supplier.s_suppkey	N/A	N/A
      │                   │       └─HashAgg_133	398784.00	400000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:516, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#154)->Column#133, funcs:firstrow(tpch_sf40.supplier.s_suppkey)->tpch_sf40.supplier.s_suppkey, stream_count: 2	N/A	N/A
      │                   │         └─ExchangeReceiver_135	398784.00	800000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:96, threads:4}, tiflash_wait: {pipeline_queue_wait: 32ms}	stream_count: 2	N/A	N/A
      │                   │           └─ExchangeSender_134	398784.00	800000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
      │                   │             └─HashAgg_105	398784.00	800000	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:512, threads:4}	group by:Column#164, Column#165, funcs:sum(Column#163)->Column#154	N/A	N/A
      │                   │               └─Projection_384	148455779.32	146043976	mpp[tiflash]		tiflash_task:{time:1m5.4s, loops:29598, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#163, tpch_sf40.supplier.s_suppkey->Column#164, tpch_sf40.supplier.s_name->Column#165	N/A	N/A
      │                   │                 └─Projection_131	148455779.32	146043976	mpp[tiflash]		tiflash_task:{time:1m5.2s, loops:29598, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_orderkey	N/A	N/A
      │                   │                   └─HashJoin_130	148455779.32	146043976	mpp[tiflash]		tiflash_task:{time:1m5.2s, loops:29598, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
      │                   │                     ├─ExchangeReceiver_125(Build)	9144560.22	9128300	mpp[tiflash]		tiflash_task:{time:13.6s, loops:911, threads:4}, tiflash_wait: {pipeline_queue_wait: 285ms}	stream_count: 2	N/A	N/A
      │                   │                     │ └─ExchangeSender_124	9144560.22	9128300	mpp[tiflash]		tiflash_task:{time:13.4s, loops:965, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
      │                   │                     │   └─TableFullScan_122	9144560.22	9128300	mpp[tiflash]	table:o	tiflash_task:{time:13.3s, loops:965, threads:4}, tiflash_wait: {pipeline_queue_wait: 424ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:526ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:24ms, tot_build_inputstream:1305ms, min_local_stream:12146ms, max_local_stream:12261ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:24ms, tot_read:42178ms}}	pushed down filter:ge(tpch_sf40.orders.o_orderdate, 1996-01-01), lt(tpch_sf40.orders.o_orderdate, 1997-01-01), keep order:false	N/A	N/A
      │                   │                     └─ExchangeReceiver_121(Probe)	967247945.73	960049160	mpp[tiflash]		tiflash_task:{time:59.3s, loops:29598, threads:4}, tiflash_wait: {pipeline_breaker_wait: 13757ms, pipeline_queue_wait: 40023ms}		N/A	N/A
      │                   │                       └─ExchangeSender_120	967247945.73	960049160	mpp[tiflash]		tiflash_task:{time:1m15.2s, loops:18313, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
      │                   │                         └─Projection_119	967247945.73	960049160	mpp[tiflash]		tiflash_task:{time:1m2.6s, loops:18313, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_partkey	N/A	N/A
      │                   │                           └─HashJoin_107	967247945.73	960049160	mpp[tiflash]		tiflash_task:{time:1m2.6s, loops:18313, threads:4}	inner join, equal:[eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
      │                   │                             ├─ExchangeReceiver_115(Build)	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:9.13s, loops:1948, threads:4}, tiflash_wait: {pipeline_queue_wait: 421ms}	stream_count: 2	N/A	N/A
      │                   │                             │ └─ExchangeSender_114	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:8.9s, loops:509, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_partkey, collate: binary], stream_count: 2	N/A	N/A
      │                   │                             │   └─Projection_113	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:8.67s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_partkey	N/A	N/A
      │                   │                             │     └─HashJoin_108	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:8.67s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
      │                   │                             │       ├─ExchangeReceiver_111(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{time:1.07s, loops:14, threads:4}		N/A	N/A
      │                   │                             │       │ └─ExchangeSender_110	400000.00	400000	mpp[tiflash]		tiflash_task:{time:636.8ms, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
      │                   │                             │       │   └─TableFullScan_109	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:336.8ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 24ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:10ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:117ms, min_local_stream:303ms, max_local_stream:326ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:259ms}}	keep order:false	N/A	N/A
      │                   │                             │       └─TableFullScan_112(Probe)	32000000.00	32000000	mpp[tiflash]	table:ps	tiflash_task:{time:8.12s, loops:509, threads:4}, tiflash_wait: {pipeline_breaker_wait: 38ms, pipeline_queue_wait: 5ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:22, remote_regions:0, tot_learner_read:437ms, region_balance:{instance_num: 2, max/min: 12/10=1.200000}, delta_rows:0, delta_bytes:0, segments:45, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1034ms, min_local_stream:6980ms, max_local_stream:7067ms, dtfile:{data_scanned_rows:32000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:20974ms}}	keep order:false	N/A	N/A
      │                   │                             └─ExchangeReceiver_118(Probe)	240012290.00	240012290	mpp[tiflash]		tiflash_task:{time:31.1s, loops:7750, threads:4}, tiflash_wait: {pipeline_breaker_wait: 9316ms, pipeline_queue_wait: 21319ms}		N/A	N/A
      │                   │                               └─ExchangeSender_117	240012290.00	240012290	mpp[tiflash]		tiflash_task:{time:1m13.6s, loops:3875, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_partkey, collate: binary]	N/A	N/A
