-- Query: 26699
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey, 
        o.o_orderdate, 
        o.o_totalprice,
        c.c_nationkey,
        ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_or...
-- Execution time: 4.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_148	50.00	50	root		time:4.38s, loops:2, RU:51402.563131, Concurrency:OFF	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice, Column#171, Column#172	7.44 KB	N/A
└─TopN_152	50.00	50	root		time:4.38s, loops:2	tpch_sf40.orders.o_orderdate:desc, Column#172:desc, offset:0, count:50	7.83 KB	0 Bytes
  └─TableReader_471	50.00	100	root		time:4.38s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_470	7.40 KB	N/A
    └─ExchangeSender_470	50.00	100	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:4.38s, avg: 4.38s, p80:4.38s, p95:4.38s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_469	50.00	100	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:4.38s, avg: 4.38s, p80:4.38s, p95:4.38s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderdate:desc, Column#172:desc, offset:0, count:50	N/A	N/A
        └─Projection_465	7204515.44	100	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:4.38s, avg: 4.38s, p80:4.38s, p95:4.38s, iters:4, tasks:2, threads:4}	Column#171, Column#172, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_totalprice	N/A	N/A
          └─HashAgg_466	7204515.44	100	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:4.38s, avg: 4.38s, p80:4.38s, p95:4.38s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, funcs:count(distinct tpch_sf40.part.p_partkey)->Column#171, funcs:sum(Column#194)->Column#172, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(tpch_sf40.orders.o_totalprice)->tpch_sf40.orders.o_totalprice, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_468	7204515.44	327	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:4.38s, avg: 4.38s, p80:4.38s, p95:4.38s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_467	7204515.44	327	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:0s, avg: 2.19s, p80:4.38s, p95:4.38s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.orders.o_totalprice, collate: binary], stream_count: 2	N/A	N/A
                └─HashAgg_463	7204515.44	327	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:0s, avg: 2.19s, p80:4.38s, p95:4.38s, iters:2, tasks:2, threads:2}	group by:tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.part.p_partkey, funcs:sum(tpch_sf40.part.p_retailprice)->Column#194	N/A	N/A
                  └─Projection_452	29226879.24	397	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:0s, avg: 2.19s, p80:4.38s, p95:4.38s, iters:3, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.part.p_partkey, tpch_sf40.part.p_retailprice, tpch_sf40.lineitem.l_partkey	N/A	N/A
                    └─HashJoin_451	29226879.24	397	mpp[tiflash]		tiflash_task:{proc max:4.38s, min:0s, avg: 2.19s, p80:4.38s, p95:4.38s, iters:3, tasks:2, threads:4}	left outer join, equal:[eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.part.p_partkey)]	N/A	N/A
                      ├─Projection_218(Build)	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:1.36s, min:0s, avg: 681.7ms, p80:1.36s, p95:1.36s, iters:512, tasks:2, threads:4}	tpch_sf40.part.p_partkey, tpch_sf40.part.p_retailprice, tpch_sf40.partsupp.ps_partkey	N/A	N/A
                      │ └─HashJoin_187	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:1.36s, min:0s, avg: 681.7ms, p80:1.36s, p95:1.36s, iters:512, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.part.p_partkey, tpch_sf40.partsupp.ps_partkey)], stream_count: 2	N/A	N/A
                      │   ├─ExchangeReceiver_192(Build)	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:903.4ms, min:0s, avg: 451.7ms, p80:903.4ms, p95:903.4ms, iters:308, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 597ms}	stream_count: 2	N/A	N/A
                      │   │ └─ExchangeSender_191	3981878.98	3996550	mpp[tiflash]		tiflash_task:{proc max:972.4ms, min:0s, avg: 486.2ms, p80:972.4ms, p95:972.4ms, iters:126, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.part.p_partkey, collate: binary], stream_count: 2	N/A	N/A
                      │   │   └─TableFullScan_189	3981878.98	3996550	mpp[tiflash]	table:p	tiflash_task:{proc max:943.4ms, min:0s, avg: 471.7ms, p80:943.4ms, p95:943.4ms, iters:126, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 905ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:11, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:124ms, max_local_stream:943ms, dtfile:{data_scanned_rows:8000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:8000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:110ms}}	pushed down filter:gt(tpch_sf40.part.p_retailprice, 1499.495035), keep order:false	N/A	N/A
                      │   └─Projection_209(Probe)	7964672.25	8000000	mpp[tiflash]		tiflash_task:{proc max:1.23s, min:0s, avg: 613.7ms, p80:1.23s, p95:1.23s, iters:1024, tasks:2, threads:4}	tpch_sf40.partsupp.ps_partkey, Column#174	N/A	N/A
