-- Query: 26703
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderstatus,
        o.o_totalprice,
        o.o_orderdate,
        o.o_orderpriority,
        o.o_clerk,
        SUM(l.l_extendedp...
-- Execution time: 14.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_50	7309921.16	30	root		time:14.5s, loops:2, RU:131452.160792	Column#121:desc	6.75 KB	0 Bytes
└─TableReader_223	7309921.16	30	root		time:14.5s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_222	6.40 KB	N/A
  └─ExchangeSender_222	7309921.16	30	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_53	7309921.16	30	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:4, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_clerk, Column#121, Column#148	N/A	N/A
      └─Projection_218	7309921.16	30	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:4, tasks:2, threads:4}	Column#148, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_clerk, Column#121	N/A	N/A
        └─HashAgg_219	7309921.16	30	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:4, tasks:2, threads:4}	group by:Column#121, tpch_sf40.orders.o_clerk, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice, funcs:count(distinct tpch_sf40.lineitem.l_partkey)->Column#148, funcs:firstrow(tpch_sf40.orders.o_orderkey)->tpch_sf40.orders.o_orderkey, funcs:firstrow(tpch_sf40.orders.o_orderstatus)->tpch_sf40.orders.o_orderstatus, funcs:firstrow(tpch_sf40.orders.o_totalprice)->tpch_sf40.orders.o_totalprice, funcs:firstrow(tpch_sf40.orders.o_orderdate)->tpch_sf40.orders.o_orderdate, funcs:firstrow(tpch_sf40.orders.o_orderpriority)->tpch_sf40.orders.o_orderpriority, funcs:firstrow(tpch_sf40.orders.o_clerk)->tpch_sf40.orders.o_clerk, funcs:firstrow(Column#121)->Column#121, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_221	7309921.16	210	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:14.5s, avg: 14.5s, p80:14.5s, p95:14.5s, iters:4, tasks:2, threads:4}	stream_count: 2	N/A	N/A
            └─ExchangeSender_220	7309921.16	210	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.25s, p80:14.5s, p95:14.5s, iters:2, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], [name: tpch_sf40.orders.o_orderstatus, collate: utf8mb4_bin], [name: tpch_sf40.orders.o_totalprice, collate: binary], [name: tpch_sf40.orders.o_orderdate, collate: binary], [name: tpch_sf40.orders.o_orderpriority, collate: utf8mb4_bin], [name: tpch_sf40.orders.o_clerk, collate: utf8mb4_bin], [name: Column#121, collate: binary], stream_count: 2	N/A	N/A
              └─HashAgg_216	7309921.16	210	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.25s, p80:14.5s, p95:14.5s, iters:2, tasks:2, threads:2}	group by:Column#121, tpch_sf40.lineitem.l_partkey, tpch_sf40.orders.o_clerk, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice, 	N/A	N/A
                └─Projection_205	29447107.54	210	mpp[tiflash]		tiflash_task:{proc max:14.5s, min:0s, avg: 7.25s, p80:14.5s, p95:14.5s, iters:7750, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderstatus, tpch_sf40.orders.o_totalprice, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_orderpriority, tpch_sf40.orders.o_clerk, Column#121, Column#121, tpch_sf40.lineitem.l_partkey	N/A	N/A
