-- Query: 26704
-- SQL: WITH Revenue AS (
    SELECT 
        n.n_name AS nation_name,
        SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue
    FROM 
        lineitem l
    JOIN 
        orders o ON l.l_order...
-- Execution time: 25.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_87	10.00	10	root		time:25.3s, loops:2, RU:145409.539548	Column#187:desc	3.05 KB	0 Bytes
└─Projection_90	10.00	10	root		time:25.3s, loops:2, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.part.p_name, Column#187	2.89 KB	N/A
  └─HashJoin_92	10.00	10	root		time:25.3s, loops:2, build_hash_table:{total:19.3s, fetch:19.3s, build:5.57µs}, probe:{concurrency:2, total:50.7s, max:25.3s, probe:25.5µs, fetch and wait:50.7s}	CARTESIAN inner join	1.50 KB	0 Bytes
    ├─HashAgg_95(Build)	1.00	1	root		time:19.3s, loops:2, partial_worker:{wall_time:19.263448489s, concurrency:2, task_num:1426, tot_wait:38.409405254s, tot_exec:116.958766ms, tot_time:38.526800569s, max:19.263401028s, p95:19.263401028s}, final_worker:{wall_time:19.263492214s, concurrency:2, task_num:3, tot_wait:1.226µs, tot_exec:1.09µs, tot_time:38.526832003s, max:19.263420611s, p95:19.263420611s}	group by:tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:count(1)->Column#198	156.9 KB	0 Bytes
    │ └─IndexJoin_108	14750406.59	1460136	root		time:19.2s, loops:1427, inner:{total:36.6s, concurrency:2, task:18, construct:93.8ms, fetch:36.4s, build:115.1ms}, probe:82ms	inner join, inner:TableReader_105, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	13.6 MB	N/A
    │   ├─TableReader_160(Build)	3661626.50	365227	root		time:862.2ms, loops:602, cop_task: {num: 304, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_159	78.7 KB	N/A
    │   │ └─ExchangeSender_159	3661626.50	365227	mpp[tiflash]		tiflash_task:{proc max:6.64s, min:6.64s, avg: 6.64s, p80:6.64s, p95:6.64s, iters:903, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │   │   └─Projection_158	3661626.50	365227	mpp[tiflash]		tiflash_task:{proc max:6.64s, min:6.63s, avg: 6.63s, p80:6.64s, p95:6.64s, iters:903, tasks:2, threads:4}	tpch_sf40.nation.n_name, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_custkey	N/A	N/A
    │   │     └─HashJoin_140	3661626.50	365227	mpp[tiflash]		tiflash_task:{proc max:6.64s, min:6.63s, avg: 6.63s, p80:6.64s, p95:6.64s, iters:903, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
    │   │       ├─ExchangeReceiver_124(Build)	239999.60	239882	mpp[tiflash]		tiflash_task:{proc max:804.4ms, min:754.2ms, avg: 779.3ms, p80:804.4ms, p95:804.4ms, iters:28, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 417ms}	stream_count: 2	N/A	N/A
