-- Query: 26710
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        ROW_NUMBER() OVER (PARTITION BY EXTRACT(YEAR FROM o.o_orderdate) ORDER...
-- Execution time: 29.6s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_105	320000.00	5	root		time:29.5s, loops:2, RU:151548.451904	Column#227:desc	2.84 KB	0 Bytes
└─TableReader_352	320000.00	5	root		time:29.5s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_351	7.20 KB	N/A
  └─ExchangeSender_351	320000.00	5	mpp[tiflash]		tiflash_task:{time:29.5s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_108	320000.00	5	mpp[tiflash]		tiflash_task:{time:29.5s, loops:1, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#227, Column#228	N/A	N/A
      └─Selection_350	320000.00	5	mpp[tiflash]		tiflash_task:{time:29.5s, loops:1, threads:2}	le(Column#230, 5)	N/A	N/A
        └─Window_347	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:1, threads:2}	rank()->Column#230 over(order by Column#227 desc)	N/A	N/A
          └─Sort_161	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:1, threads:1}	Column#227:desc	N/A	N/A
            └─ExchangeReceiver_160	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:2, threads:2}		N/A	N/A
              └─ExchangeSender_159	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:7, threads:2}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
                └─Projection_158	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:7, threads:2}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, Column#227, Column#228	N/A	N/A
                  └─HashJoin_113	400000.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:7, threads:2}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
                    ├─ExchangeReceiver_157(Build)	398784.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:2, threads:2}, tiflash_wait: {pipeline_queue_wait: 6ms}		N/A	N/A
                    │ └─ExchangeSender_156	398784.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:4, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                    │   └─Projection_152	398784.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:4, threads:4}	Column#227, Column#228, tpch_sf40.partsupp.ps_suppkey	N/A	N/A
                    │     └─HashAgg_153	398784.00	1953	mpp[tiflash]		tiflash_task:{time:29.5s, loops:4, threads:4}	group by:tpch_sf40.partsupp.ps_suppkey, funcs:sum(Column#234)->Column#227, funcs:count(distinct tpch_sf40.lineitem.l_orderkey)->Column#228, funcs:firstrow(tpch_sf40.partsupp.ps_suppkey)->tpch_sf40.partsupp.ps_suppkey, stream_count: 2	N/A	N/A
                    │       └─ExchangeReceiver_155	398784.00	1959	mpp[tiflash]		tiflash_task:{time:29.5s, loops:4, threads:4}	stream_count: 2	N/A	N/A
                    │         └─ExchangeSender_154	398784.00	1959	mpp[tiflash]		tiflash_task:{time:29.5s, loops:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.partsupp.ps_suppkey, collate: binary], stream_count: 2	N/A	N/A
                    │           └─HashAgg_116	398784.00	1959	mpp[tiflash]		tiflash_task:{time:29.5s, loops:2, threads:2}	group by:Column#245, Column#246, funcs:sum(Column#244)->Column#234	N/A	N/A
                    │             └─Projection_359	776878774.64	1960	mpp[tiflash]		tiflash_task:{time:29.5s, loops:29598, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#244, tpch_sf40.partsupp.ps_suppkey->Column#245, tpch_sf40.lineitem.l_orderkey->Column#246	N/A	N/A
                    │               └─Projection_151	776878774.64	1960	mpp[tiflash]		tiflash_task:{time:29.5s, loops:29598, threads:4}	tpch_sf40.partsupp.ps_suppkey, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount	N/A	N/A
                    │                 └─HashJoin_150	776878774.64	1960	mpp[tiflash]		tiflash_task:{time:29.5s, loops:29598, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
