-- Query: 26713
-- SQL: WITH RankedOrders AS (
    SELECT 
        o.o_orderkey,
        o.o_orderdate,
        o.o_totalprice,
        c.c_name,
        ROW_NUMBER() OVER (PARTITION BY c.c_nationkey ORDER BY o.o_orderdate D...
-- Execution time: 27.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_61	10.00	10	root		time:27.3s, loops:2, RU:140356.501750, Concurrency:OFF	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, Column#151, Column#152, Column#153	4.91 KB	N/A
└─TopN_65	10.00	10	root		time:27.3s, loops:2	Column#151:desc, offset:0, count:10	2.36 KB	0 Bytes
  └─TableReader_241	10.00	40	root		time:27.3s, loops:3, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_240	4.49 KB	N/A
    └─ExchangeSender_240	10.00	40	mpp[tiflash]		tiflash_task:{proc max:27.3s, min:27.2s, avg: 27.3s, p80:27.3s, p95:27.3s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_239	10.00	40	mpp[tiflash]		tiflash_task:{proc max:27.3s, min:27.2s, avg: 27.3s, p80:27.3s, p95:27.3s, iters:4, tasks:2, threads:4}	Column#151:desc, offset:0, count:10	N/A	N/A
        └─Projection_238	23408875.98	125	mpp[tiflash]		tiflash_task:{proc max:27.3s, min:27.2s, avg: 27.3s, p80:27.3s, p95:27.3s, iters:1024, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, Column#151, Column#152, Column#153, tpch_sf40.lineitem.l_orderkey	N/A	N/A
          └─HashJoin_237	23408875.98	125	mpp[tiflash]		tiflash_task:{proc max:27.3s, min:27.2s, avg: 27.3s, p80:27.3s, p95:27.3s, iters:1024, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)], stream_count: 2	N/A	N/A
            ├─ExchangeReceiver_103(Build)	23408875.98	125	mpp[tiflash]		tiflash_task:{proc max:19s, min:18.9s, avg: 19s, p80:19s, p95:19s, iters:4, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 360ms}	stream_count: 2	N/A	N/A
            │ └─ExchangeSender_102	23408875.98	125	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.46s, p80:18.9s, p95:18.9s, iters:25, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
            │   └─Selection_86	23408875.98	125	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.46s, p80:18.9s, p95:18.9s, iters:25, tasks:2, threads:4}	le(Column#125, 5), stream_count: 2	N/A	N/A
            │     └─Window_87	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:18.9s, min:0s, avg: 9.46s, p80:18.9s, p95:18.9s, iters:449, tasks:2, threads:4}	row_number()->Column#125 over(partition by tpch_sf40.customer.c_nationkey order by tpch_sf40.orders.o_orderdate desc rows between current row and current row), stream_count: 2	N/A	N/A
            │       └─Sort_101	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:18.8s, min:0s, avg: 9.42s, p80:18.8s, p95:18.8s, iters:449, tasks:2, threads:4}	tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderdate:desc, stream_count: 2	N/A	N/A
            │         └─ExchangeReceiver_100	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:17s, min:0s, avg: 8.48s, p80:17s, p95:17s, iters:2300, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2222ms}	stream_count: 2	N/A	N/A
            │           └─ExchangeSender_99	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:17s, min:0s, avg: 8.51s, p80:17s, p95:17s, iters:1808, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_nationkey, collate: binary], stream_count: 2	N/A	N/A
            │             └─Projection_89	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:16.8s, min:0s, avg: 8.41s, p80:16.8s, p95:16.8s, iters:1808, tasks:2, threads:4}	tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey	N/A	N/A
            │               └─Projection_98	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:16.8s, min:0s, avg: 8.41s, p80:16.8s, p95:16.8s, iters:1808, tasks:2, threads:4}	tpch_sf40.customer.c_name, tpch_sf40.customer.c_nationkey, tpch_sf40.orders.o_orderkey, tpch_sf40.orders.o_orderdate, tpch_sf40.orders.o_custkey	N/A	N/A
            │                 └─HashJoin_90	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:16.8s, min:0s, avg: 8.41s, p80:16.8s, p95:16.8s, iters:1808, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_custkey)], stream_count: 2	N/A	N/A
            │                   ├─ExchangeReceiver_93(Build)	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.58s, min:0s, avg: 2.29s, p80:4.58s, p95:4.58s, iters:368, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 42ms}	stream_count: 2	N/A	N/A
            │                   │ └─ExchangeSender_92	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:4.66s, min:0s, avg: 2.33s, p80:4.66s, p95:4.66s, iters:95, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.customer.c_custkey, collate: binary], stream_count: 2	N/A	N/A
            │                   │   └─TableFullScan_91	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:4.6s, min:0s, avg: 2.3s, p80:4.6s, p95:4.6s, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 6ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:553ms, min_local_stream:0ms, max_local_stream:4599ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:7754ms}}	keep order:false	N/A	N/A
            │                   └─ExchangeReceiver_97(Probe)	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:15.9s, min:0s, avg: 7.94s, p80:15.9s, p95:15.9s, iters:1808, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 4663ms, pipeline_queue_wait: 1407ms}		N/A	N/A
            │                     └─ExchangeSender_96	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:17s, min:0s, avg: 8.48s, p80:17s, p95:17s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_custkey, collate: binary]	N/A	N/A
            │                       └─TableFullScan_94	29261094.98	29229464	mpp[tiflash]	table:o	tiflash_task:{proc max:16s, min:0s, avg: 8.01s, p80:16s, p95:16s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 1588ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1303ms, min_local_stream:0ms, max_local_stream:16005ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:1ms, tot_read:54157ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "F"), keep order:false	N/A	N/A
            └─Projection_113(Probe)	59580416.00	60000000	mpp[tiflash]		tiflash_task:{proc max:27.2s, min:27.2s, avg: 27.2s, p80:27.2s, p95:27.2s, iters:1536, tasks:2, threads:4}	Column#151, div(Column#152, cast(case(eq(Column#165, 0), 1, Column#165), decimal(20,0) BINARY))->Column#152, Column#153, tpch_sf40.lineitem.l_orderkey	N/A	N/A
              └─HashAgg_114	59580416.00	60000000	mpp[tiflash]		tiflash_task:{proc max:25.9s, min:25.9s, avg: 25.9s, p80:25.9s, p95:25.9s, iters:1536, tasks:2, threads:4}	group by:tpch_sf40.lineitem.l_orderkey, funcs:sum(Column#166)->Column#151, funcs:sum(Column#167)->Column#165, funcs:sum(Column#168)->Column#152, funcs:sum(Column#169)->Column#153, funcs:firstrow(tpch_sf40.lineitem.l_orderkey)->tpch_sf40.lineitem.l_orderkey, stream_count: 2	N/A	N/A
                └─ExchangeReceiver_116	59580416.00	60000065	mpp[tiflash]		tiflash_task:{proc max:24.2s, min:24.2s, avg: 24.2s, p80:24.2s, p95:24.2s, iters:2048, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 18929ms, pipeline_queue_wait: 1293ms}	stream_count: 2	N/A	N/A
                  └─ExchangeSender_115	59580416.00	60000065	mpp[tiflash]		tiflash_task:{proc max:25.5s, min:0s, avg: 12.7s, p80:25.5s, p95:25.5s, iters:1024, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary], stream_count: 2	N/A	N/A
                    └─HashAgg_105	59580416.00	60000065	mpp[tiflash]		tiflash_task:{proc max:24.4s, min:0s, avg: 12.2s, p80:24.4s, p95:24.4s, iters:1024, tasks:2, threads:4}	group by:Column#213, funcs:sum(Column#210)->Column#166, funcs:count(Column#211)->Column#167, funcs:sum(Column#212)->Column#168, funcs:count(1)->Column#169	N/A	N/A
                      └─Projection_242	240012290.00	240012290	mpp[tiflash]		tiflash_task:{proc max:17.9s, min:0s, avg: 8.94s, p80:17.9s, p95:17.9s, iters:3875, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#210, tpch_sf40.lineitem.l_quantity->Column#211, tpch_sf40.lineitem.l_quantity->Column#212, tpch_sf40.lineitem.l_orderkey->Column#213	N/A	N/A
                        └─TableFullScan_112	240012290.00	240012290	mpp[tiflash]	table:l	tiflash_task:{proc max:17.7s, min:0s, avg: 8.83s, p80:17.7s, p95:17.7s, iters:3875, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2652ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:176, remote_regions:0, tot_learner_read:22ms, region_balance:{instance_num: 2, max/min: 89/87=1.022989}, delta_rows:0, delta_bytes:0, segments:353, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:9ms, tot_build_inputstream:2155ms, min_local_stream:0ms, max_local_stream:17649ms, dtfile:{data_scanned_rows:240012290, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:8ms, tot_read:62394ms}}	keep order:false	N/A	N/A
