-- Query: 26718
-- SQL: WITH CustomerOrders AS (
    SELECT 
        c.c_custkey,
        c.c_name,
        SUM(o.o_totalprice) AS total_spent,
        COUNT(o.o_orderkey) AS order_count
    FROM 
        customer c
    JOIN...
-- Execution time: 11.4s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_45	100.00	100	root		time:11.3s, loops:2, RU:41861.413554, Concurrency:OFF	tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, Column#66, Column#67, Column#87, Column#88, Column#97, Column#98	22.9 KB	N/A
└─TopN_48	100.00	100	root		time:11.3s, loops:2	Column#66:desc, Column#67:desc, offset:0, count:100	245.6 KB	0 Bytes
  └─HashJoin_71	4800008.00	155042	root		time:11.3s, loops:153, build_hash_table:{total:10.8s, fetch:10.7s, build:34.4ms}, probe:{concurrency:2, total:22.6s, max:11.3s, probe:526.3ms, fetch and wait:22.1s}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.partsupp.ps_partkey)]	31.9 MB	0 Bytes
    ├─IndexJoin_163(Build)	4800008.00	155042	root		time:10.8s, loops:153, inner:{total:16.1s, concurrency:2, task:140, construct:1.19s, fetch:14.9s, build:20.7ms}, probe:184.4ms	inner join, inner:HashAgg_156, outer key:tpch_sf40.customer.c_custkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.customer.c_custkey, tpch_sf40.lineitem.l_orderkey)	16.9 MB	N/A
    │ ├─TableReader_242(Build)	4800008.00	3479959	root		time:2.79s, loops:4098, cop_task: {num: 1026, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_241	565.3 KB	N/A
    │ │ └─ExchangeSender_241	4800008.00	3479959	mpp[tiflash]		tiflash_task:{proc max:4.82s, min:4.77s, avg: 4.8s, p80:4.82s, p95:4.82s, iters:1024, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    │ │   └─Selection_173	4800008.00	3479959	mpp[tiflash]		tiflash_task:{proc max:2.75s, min:2.73s, avg: 2.74s, p80:2.75s, p95:2.75s, iters:1024, tasks:2, threads:4}	gt(Column#66, 1000)	N/A	N/A
    │ │     └─Projection_105	6000010.00	3480054	mpp[tiflash]		tiflash_task:{proc max:2.74s, min:2.72s, avg: 2.73s, p80:2.74s, p95:2.74s, iters:1024, tasks:2, threads:4}	Column#66, Column#67, tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name	N/A	N/A
    │ │       └─HashAgg_106	6000010.00	3480054	mpp[tiflash]		tiflash_task:{proc max:2.74s, min:2.72s, avg: 2.73s, p80:2.74s, p95:2.74s, iters:1024, tasks:2, threads:4}	group by:tpch_sf40.customer.c_custkey, tpch_sf40.customer.c_name, funcs:sum(Column#109)->Column#66, funcs:sum(Column#110)->Column#67, funcs:firstrow(tpch_sf40.customer.c_custkey)->tpch_sf40.customer.c_custkey, funcs:firstrow(tpch_sf40.customer.c_name)->tpch_sf40.customer.c_name, stream_count: 2	N/A	N/A
    │ │         └─ExchangeReceiver_108	6000010.00	3480054	mpp[tiflash]		tiflash_task:{proc max:2.64s, min:2.62s, avg: 2.63s, p80:2.64s, p95:2.64s, iters:344, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 170ms}	stream_count: 2	N/A	N/A
