-- Query: 26720
-- SQL: WITH SupplierStats AS (
    SELECT 
        s.s_suppkey,
        s.s_name,
        SUM(ps.ps_availqty) AS total_available_qty,
        AVG(ps.ps_supplycost) AS avg_supply_cost
    FROM supplier s
    ...
-- Execution time: 10.3s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_69	319027.20	10	root		time:10.2s, loops:2, RU:38004.614583	Column#100:desc, Column#131:desc	5.98 KB	0 Bytes
└─Projection_71	319027.20	10	root		time:10.2s, loops:2, Concurrency:2	tpch_sf40.supplier.s_name, tpch_sf40.customer.c_name, Column#100, Column#101, Column#130, Column#131	23.3 KB	N/A
  └─HashJoin_75	319027.20	10	root		time:10.2s, loops:2, build_hash_table:{total:3.16s, fetch:3.16s, build:15.9µs}, probe:{concurrency:2, total:20.5s, max:10.2s, probe:15.4µs, fetch and wait:20.5s}	inner join, equal:[eq(Column#103, Column#133)]	106.3 KB	0 Bytes
    ├─TableReader_212(Build)	319027.20	10	root		time:3.16s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_211	2.97 KB	N/A
    │ └─ExchangeSender_211	319027.20	10	mpp[tiflash]		tiflash_task:{time:3.16s, loops:1, threads:2}	ExchangeType: PassThrough	N/A	N/A
    │   └─Selection_137	319027.20	10	mpp[tiflash]		tiflash_task:{time:3.16s, loops:1, threads:2}	le(Column#103, 10), not(isnull(Column#103))	N/A	N/A
    │     └─Window_102	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.16s, loops:7, threads:2}	row_number()->Column#103 over(order by Column#100 desc rows between current row and current row)	N/A	N/A
    │       └─Sort_101	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.15s, loops:7, threads:1}	Column#100:desc	N/A	N/A
    │         └─ExchangeReceiver_100	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.1s, loops:27, threads:2}, tiflash_wait: {pipeline_queue_wait: 26ms}		N/A	N/A
    │           └─ExchangeSender_99	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.09s, loops:516, threads:4}	ExchangeType: PassThrough, Compression: FAST	N/A	N/A
    │             └─Projection_95	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.09s, loops:516, threads:4}	Column#100, div(Column#101, cast(case(eq(Column#135, 0), 1, Column#135), decimal(20,0) BINARY))->Column#101, tpch_sf40.supplier.s_name	N/A	N/A
    │               └─HashAgg_96	398784.00	400000	mpp[tiflash]		tiflash_task:{time:3.08s, loops:516, threads:4}	group by:tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey, funcs:sum(Column#136)->Column#100, funcs:sum(Column#137)->Column#135, funcs:sum(Column#138)->Column#101, funcs:firstrow(tpch_sf40.supplier.s_name)->tpch_sf40.supplier.s_name, stream_count: 2	N/A	N/A
    │                 └─ExchangeReceiver_98	398784.00	800000	mpp[tiflash]		tiflash_task:{time:3.04s, loops:96, threads:4}, tiflash_wait: {pipeline_queue_wait: 182ms}	stream_count: 2	N/A	N/A
    │                   └─ExchangeSender_97	398784.00	800000	mpp[tiflash]		tiflash_task:{time:3.06s, loops:512, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], [name: tpch_sf40.supplier.s_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
    │                     └─HashAgg_80	398784.00	800000	mpp[tiflash]		tiflash_task:{time:3.05s, loops:512, threads:4}	group by:Column#162, Column#163, funcs:sum(Column#159)->Column#136, funcs:count(Column#160)->Column#137, funcs:sum(Column#161)->Column#138	N/A	N/A
    │                       └─Projection_290	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:1.72s, loops:509, threads:4}	cast(tpch_sf40.partsupp.ps_availqty, decimal(10,0) BINARY)->Column#159, tpch_sf40.partsupp.ps_supplycost->Column#160, tpch_sf40.partsupp.ps_supplycost->Column#161, tpch_sf40.supplier.s_suppkey->Column#162, tpch_sf40.supplier.s_name->Column#163	N/A	N/A
    │                         └─Projection_94	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:1.71s, loops:509, threads:4}	tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_name, tpch_sf40.partsupp.ps_availqty, tpch_sf40.partsupp.ps_supplycost	N/A	N/A
    │                           └─HashJoin_93	32097576.63	32000000	mpp[tiflash]		tiflash_task:{time:1.71s, loops:509, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.partsupp.ps_suppkey)]	N/A	N/A
    │                             ├─ExchangeReceiver_84(Build)	400000.00	800000	mpp[tiflash]		tiflash_task:{time:148.9ms, loops:14, threads:4}, tiflash_wait: {pipeline_queue_wait: 129ms}		N/A	N/A
    │                             │ └─ExchangeSender_83	400000.00	400000	mpp[tiflash]		tiflash_task:{time:39.9ms, loops:7, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
    │                             │   └─TableFullScan_82	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:34.9ms, loops:7, threads:2}, tiflash_wait: {pipeline_queue_wait: 16ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:1ms, min_local_stream:33ms, max_local_stream:34ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:11ms}}	keep order:false	N/A	N/A
