-- Query: 26722
-- SQL: WITH RECURSIVE SupplierHierarchy AS (
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, 1 AS level
    FROM supplier s
    UNION ALL
    SELECT s.s_suppkey, s.s_name, s.s_nationkey, sh.level + 1
    FR...
-- Execution time: 2.5s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_171	4.00	3	root		time:2.36s, loops:2, RU:11818.810625	Column#108:desc, Column#80	3.84 KB	0 Bytes
└─Projection_173	4.00	3	root		time:2.36s, loops:2, Concurrency:OFF	tpch_sf40.region.r_name, Column#80, Column#107, Column#108	3.80 KB	N/A
  └─Projection_174	4.00	3	root		time:2.36s, loops:2, Concurrency:OFF	Column#80, Column#107, Column#108, tpch_sf40.region.r_name	3.80 KB	N/A
    └─HashJoin_175	4.00	3	root		time:2.36s, loops:2, build_hash_table:{total:2.13s, fetch:2.13s, build:7.53µs}, probe:{concurrency:2, total:4.71s, max:2.36s, probe:369.8µs, fetch and wait:4.71s}	CARTESIAN inner join, other cond:gt(Column#80, Column#114)	41.5 KB	0 Bytes
      ├─Selection_367(Build)	0.80	1	root		time:2.13s, loops:2	not(isnull(Column#114))	233 Bytes	N/A
      │ └─MaxOneRow_368	1.00	1	root		time:2.13s, loops:3		N/A	N/A
      │   └─StreamAgg_373	1.00	1	root		time:2.13s, loops:2	funcs:avg(Column#113)->Column#114	48.6 KB	N/A
      │     └─CTEFullScan_379	6371737.60	8000000	root	CTE:partsuppliercosts	time:2.03s, loops:8193	data:CTE_1	N/A	N/A
      └─HashJoin_179(Probe)	5.00	5	root		time:2.35s, loops:2, build_hash_table:{total:415.1ms, fetch:415ms, build:11.3µs}, probe:{concurrency:2, total:4.71s, max:2.35s, probe:210.7ms, fetch and wait:4.5s}	inner join, equal:[eq(Column#107, tpch_sf40.part.p_partkey)]	3.62 KB	0 Bytes
        ├─HashJoin_229(Build)	5.00	5	root		time:415ms, loops:2, build_hash_table:{total:49.2µs, fetch:45.9µs, build:3.31µs}, probe:{concurrency:2, total:829.9ms, max:414.9ms, probe:11.7µs, fetch and wait:829.9ms}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.region.r_regionkey)]	25.7 KB	0 Bytes
