-- Query: 26729
-- SQL: WITH RankedSuppliers AS (
    SELECT 
        s.s_suppkey, 
        s.s_name, 
        SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost,
        RANK() OVER (PARTITION BY p.p_partkey ORDER ...
-- Execution time: 12.2s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Sort_75	25.00	25	root		time:11.9s, loops:2, RU:25176.287389	Column#126:desc	3.41 KB	0 Bytes
└─TableReader_363	25.00	25	root		time:11.9s, loops:2, cop_task: {num: 6, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_362	7.57 KB	N/A
  └─ExchangeSender_362	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:11.9s, avg: 11.9s, p80:11.9s, p95:11.9s, iters:4, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
    └─Projection_78	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:11.9s, avg: 11.9s, p80:11.9s, p95:11.9s, iters:4, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#125, Column#126	N/A	N/A
      └─Projection_358	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:11.9s, avg: 11.9s, p80:11.9s, p95:11.9s, iters:4, tasks:2, threads:4}	Column#125, Column#126, tpch_sf40.region.r_name, tpch_sf40.nation.n_name	N/A	N/A
        └─HashAgg_359	25.00	25	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:11.9s, avg: 11.9s, p80:11.9s, p95:11.9s, iters:4, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.supplier.s_name)->Column#125, funcs:sum(Column#145)->Column#126, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, stream_count: 2	N/A	N/A
          └─ExchangeReceiver_361	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:11.9s, avg: 11.9s, p80:11.9s, p95:11.9s, iters:49, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 29ms}	stream_count: 2	N/A	N/A
            └─ExchangeSender_360	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:0s, avg: 5.96s, p80:11.9s, p95:11.9s, iters:512, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
              └─HashAgg_356	25.00	400000	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:0s, avg: 5.96s, p80:11.9s, p95:11.9s, iters:512, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.supplier.s_name, funcs:sum(Column#104)->Column#145	N/A	N/A
                └─Projection_345	399987.00	8000000	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:0s, avg: 5.7s, p80:11.4s, p95:11.4s, iters:661, tasks:2, threads:4}	tpch_sf40.supplier.s_name, Column#104, Column#104, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                  └─Projection_335	399987.00	8000000	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:0s, avg: 5.7s, p80:11.4s, p95:11.4s, iters:661, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, Column#104, tpch_sf40.supplier.s_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                    └─HashJoin_334	399987.00	8000000	mpp[tiflash]		tiflash_task:{proc max:11.4s, min:0s, avg: 5.7s, p80:11.4s, p95:11.4s, iters:661, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.supplier.s_suppkey)], stream_count: 2	N/A	N/A
                      ├─ExchangeReceiver_100(Build)	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:72.3ms, min:0s, avg: 36.2ms, p80:72.3ms, p95:72.3ms, iters:24, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 31ms}	stream_count: 2	N/A	N/A
                      │ └─ExchangeSender_99	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:51.4ms, min:0s, avg: 25.7ms, p80:51.4ms, p95:51.4ms, iters:7, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary], stream_count: 2	N/A	N/A
                      │   └─Projection_98	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:51.4ms, min:0s, avg: 25.7ms, p80:51.4ms, p95:51.4ms, iters:7, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.supplier.s_suppkey	N/A	N/A
                      │     └─HashJoin_88	399987.00	400000	mpp[tiflash]		tiflash_task:{proc max:51.4ms, min:0s, avg: 25.7ms, p80:51.4ms, p95:51.4ms, iters:7, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.nation.n_nationkey, tpch_sf40.supplier.s_nationkey)]	N/A	N/A
                      │       ├─ExchangeReceiver_96(Build)	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.4ms, min:0s, avg: 5.21ms, p80:10.4ms, p95:10.4ms, iters:1, tasks:2, threads:2}		N/A	N/A
                      │       │ └─ExchangeSender_95	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.3ms, min:0s, avg: 5.17ms, p80:10.3ms, p95:10.3ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                      │       │   └─Projection_94	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.3ms, min:0s, avg: 5.17ms, p80:10.3ms, p95:10.3ms, iters:1, tasks:2, threads:2}	tpch_sf40.region.r_name, tpch_sf40.nation.n_nationkey, tpch_sf40.nation.n_name	N/A	N/A
                      │       │     └─HashJoin_89	25.00	25	mpp[tiflash]		tiflash_task:{proc max:10.3ms, min:0s, avg: 5.17ms, p80:10.3ms, p95:10.3ms, iters:1, tasks:2, threads:2}	inner join, equal:[eq(tpch_sf40.region.r_regionkey, tpch_sf40.nation.n_regionkey)]	N/A	N/A
                      │       │       ├─ExchangeReceiver_92(Build)	5.00	5	mpp[tiflash]		tiflash_task:{proc max:4.33ms, min:0s, avg: 2.17ms, p80:4.33ms, p95:4.33ms, iters:1, tasks:2, threads:2}		N/A	N/A
                      │       │       │ └─ExchangeSender_91	5.00	5	mpp[tiflash]		tiflash_task:{proc max:4.28ms, min:0s, avg: 2.14ms, p80:4.28ms, p95:4.28ms, iters:1, tasks:2, threads:2}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                      │       │       │   └─TableFullScan_90	5.00	5	mpp[tiflash]	table:r	tiflash_task:{proc max:4.28ms, min:0s, avg: 2.14ms, p80:4.28ms, p95:4.28ms, iters:1, tasks:2, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:3ms, max_local_stream:3ms, dtfile:{data_scanned_rows:5, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                      │       │       └─TableFullScan_93(Probe)	25.00	25	mpp[tiflash]	table:n	tiflash_task:{proc max:10.3ms, min:0s, avg: 5.17ms, p80:10.3ms, p95:10.3ms, iters:1, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 3ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:3ms, min_local_stream:9ms, max_local_stream:9ms, dtfile:{data_scanned_rows:25, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:0ms}}	keep order:false	N/A	N/A
                      │       └─TableFullScan_97(Probe)	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{proc max:51.4ms, min:0s, avg: 25.7ms, p80:51.4ms, p95:51.4ms, iters:7, tasks:2, threads:2}, tiflash_wait: {pipeline_breaker_wait: 9ms, pipeline_queue_wait: 31ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:2ms, min_local_stream:33ms, max_local_stream:50ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:9ms}}	keep order:false	N/A	N/A
                      └─ExchangeReceiver_133(Probe)	6371737.60	8000000	mpp[tiflash]		tiflash_task:{proc max:11.2s, min:0s, avg: 5.61s, p80:11.2s, p95:11.2s, iters:661, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 56ms, pipeline_queue_wait: 2137ms}		N/A	N/A
                        └─ExchangeSender_132	6371737.60	8000000	mpp[tiflash]		tiflash_task:{proc max:11.9s, min:0s, avg: 5.94s, p80:11.9s, p95:11.9s, iters:492, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.supplier.s_suppkey, collate: binary]	N/A	N/A
                          └─Selection_102	6371737.60	8000000	mpp[tiflash]		tiflash_task:{proc max:11.7s, min:0s, avg: 5.86s, p80:11.7s, p95:11.7s, iters:492, tasks:2, threads:4}	eq(Column#106, 1), stream_count: 2	N/A	N/A
