-- Query: 26736
-- SQL: SELECT 
    n.n_name AS nation_name,
    r.r_name AS region_name,
    COUNT(DISTINCT c.c_custkey) AS customer_count,
    SUM(o.o_totalprice) AS total_sales,
    AVG(ps.ps_supplycost) AS average_supply...
-- Execution time: 66.7s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_33	1.00	0	root		time:19.4s, loops:1, RU:10450.985794, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#53, Column#54, Column#55, Column#56, Column#57, Column#58, Column#59	7.96 KB	N/A
└─TopN_36	1.00	0	root		time:19.4s, loops:1	Column#54:desc, Column#53:desc, offset:0, count:10	0 Bytes	0 Bytes
  └─HashAgg_41	1.00	0	root		time:19.4s, loops:2	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#53, funcs:sum(tpch_sf40.orders.o_totalprice)->Column#54, funcs:avg(tpch_sf40.partsupp.ps_supplycost)->Column#55, funcs:sum(tpch_sf40.lineitem.l_quantity)->Column#56, funcs:avg(tpch_sf40.lineitem.l_discount)->Column#57, funcs:count(distinct tpch_sf40.supplier.s_suppkey)->Column#58, funcs:max(tpch_sf40.lineitem.l_shipdate)->Column#59, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name	8.69 KB	0 Bytes
    └─Projection_45	37152524.63	0	root		time:19.4s, loops:1, Concurrency:2	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, tpch_sf40.customer.c_custkey, tpch_sf40.orders.o_totalprice, tpch_sf40.lineitem.l_quantity, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_shipdate, tpch_sf40.partsupp.ps_supplycost, tpch_sf40.supplier.s_suppkey	31.9 KB	N/A
      └─HashJoin_58	37152524.63	0	root		time:19.3s, loops:1, build_hash_table:{total:1.74s, fetch:618ms, build:1.12s}	inner join, equal:[eq(tpch_sf40.partsupp.ps_suppkey, tpch_sf40.supplier.s_suppkey)]	27.0 MB	0 Bytes
        ├─TableReader_272(Build)	400000.00	400000	root		time:269.3ms, loops:392, cop_task: {num: 8, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_271	513.0 KB	N/A
        │ └─ExchangeSender_271	400000.00	400000	mpp[tiflash]		tiflash_task:{time:185.8ms, loops:7, threads:2}	ExchangeType: PassThrough	N/A	N/A
        │   └─TableFullScan_270	400000.00	400000	mpp[tiflash]	table:s	tiflash_task:{time:182.8ms, loops:7, threads:2}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:1, remote_regions:0, tot_learner_read:0ms, region_balance:{instance_num: 1, max/min: 1/1=1.000000}, delta_rows:0, delta_bytes:0, segments:1, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:0ms, min_local_stream:181ms, max_local_stream:182ms, dtfile:{data_scanned_rows:400000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:182ms}}	keep order:false	N/A	N/A
        └─IndexJoin_107(Probe)	37039582.11	0	root		time:19.3s, loops:1	inner join, inner:TableReader_104, outer key:tpch_sf40.lineitem.l_partkey, inner key:tpch_sf40.partsupp.ps_partkey, equal cond:eq(tpch_sf40.lineitem.l_partkey, tpch_sf40.partsupp.ps_partkey)	0 Bytes	N/A
          ├─IndexJoin_126(Build)	9219004.12	0	root		time:19.3s, loops:1	inner join, inner:TableReader_123, outer key:tpch_sf40.orders.o_orderkey, inner key:tpch_sf40.lineitem.l_orderkey, equal cond:eq(tpch_sf40.orders.o_orderkey, tpch_sf40.lineitem.l_orderkey)	0 Bytes	N/A
