-- Query: 26740
-- SQL: SELECT 
    n.n_name AS nation_name,
    r.r_name AS region_name,
    SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue,
    AVG(o.o_totalprice) AS average_order_value,
    COUNT(DISTINCT c...
-- Execution time: 10.0s

id	estRows	actRows	task	access object	execution info	operator info	memory	disk
Projection_39	10.00	0	root		time:9.95s, loops:1, RU:78287.738887, Concurrency:OFF	tpch_sf40.nation.n_name, tpch_sf40.region.r_name, Column#62, Column#63, Column#64	4.42 KB	N/A
└─TopN_43	10.00	0	root		time:9.95s, loops:1	Column#62:desc, Column#64:desc, offset:0, count:10	0 Bytes	0 Bytes
  └─TableReader_342	10.00	0	root		time:9.95s, loops:2, cop_task: {num: 2, max: 0s, min: 0s, avg: 0s, p95: 0s, copr_cache_hit_ratio: 0.00}	MppVersion: 2, data:ExchangeSender_341	8.22 KB	N/A
    └─ExchangeSender_341	10.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:9.94s, avg: 9.94s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	ExchangeType: PassThrough	N/A	N/A
      └─TopN_340	10.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:9.94s, avg: 9.94s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	Column#62:desc, Column#64:desc, offset:0, count:10	N/A	N/A
        └─Projection_336	25.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:9.94s, avg: 9.94s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	Column#62, div(Column#63, cast(case(eq(Column#79, 0), 1, Column#79), decimal(20,0) BINARY))->Column#63, Column#64, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
          └─HashAgg_337	25.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:9.94s, avg: 9.94s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	group by:tpch_sf40.nation.n_name, tpch_sf40.region.r_name, funcs:sum(Column#80)->Column#62, funcs:sum(Column#81)->Column#79, funcs:sum(Column#82)->Column#63, funcs:count(distinct tpch_sf40.customer.c_custkey)->Column#64, funcs:firstrow(tpch_sf40.nation.n_name)->tpch_sf40.nation.n_name, funcs:firstrow(tpch_sf40.region.r_name)->tpch_sf40.region.r_name, stream_count: 2	N/A	N/A
            └─ExchangeReceiver_339	25.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:9.94s, avg: 9.94s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	stream_count: 2	N/A	N/A
              └─ExchangeSender_338	25.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:2}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.nation.n_name, collate: utf8mb4_bin], [name: tpch_sf40.region.r_name, collate: utf8mb4_bin], stream_count: 2	N/A	N/A
                └─HashAgg_334	25.00	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:2}	group by:Column#88, Column#89, Column#90, funcs:sum(Column#85)->Column#80, funcs:count(Column#86)->Column#81, funcs:sum(Column#87)->Column#82	N/A	N/A
                  └─Projection_343	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	mul(tpch_sf40.lineitem.l_extendedprice, minus(1, tpch_sf40.lineitem.l_discount))->Column#85, tpch_sf40.orders.o_totalprice->Column#86, tpch_sf40.orders.o_totalprice->Column#87, tpch_sf40.nation.n_name->Column#88, tpch_sf40.region.r_name->Column#89, tpch_sf40.customer.c_custkey->Column#90	N/A	N/A
                    └─Projection_323	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_custkey, tpch_sf40.nation.n_name, tpch_sf40.region.r_name	N/A	N/A
                      └─Projection_313	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_totalprice, tpch_sf40.customer.c_custkey, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                        └─HashJoin_312	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.94s, min:0s, avg: 4.97s, p80:9.94s, p95:9.94s, iters:0, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.orders.o_custkey, tpch_sf40.customer.c_custkey)]	N/A	N/A
                          ├─ExchangeReceiver_107(Build)	6000000.00	12000000	mpp[tiflash]		tiflash_task:{proc max:584.3ms, min:0s, avg: 292.2ms, p80:584.3ms, p95:584.3ms, iters:190, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 446ms}		N/A	N/A
                          │ └─ExchangeSender_106	6000000.00	6000000	mpp[tiflash]		tiflash_task:{proc max:770.6ms, min:0s, avg: 385.3ms, p80:770.6ms, p95:770.6ms, iters:95, tasks:2, threads:4}	ExchangeType: Broadcast, Compression: FAST	N/A	N/A
                          │   └─TableFullScan_105	6000000.00	6000000	mpp[tiflash]	table:c	tiflash_task:{proc max:764.6ms, min:0s, avg: 382.3ms, p80:764.6ms, p95:764.6ms, iters:95, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 733ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:5, remote_regions:0, tot_learner_read:12ms, region_balance:{instance_num: 2, max/min: 4/1=4.000000}, delta_rows:0, delta_bytes:0, segments:10, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:5ms, min_local_stream:231ms, max_local_stream:752ms, dtfile:{data_scanned_rows:6000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:0, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:82ms}}	keep order:false	N/A	N/A
                          └─Projection_104(Probe)	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.93s, min:0s, avg: 4.97s, p80:9.93s, p95:9.93s, iters:3551, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.orders.o_custkey, tpch_sf40.orders.o_totalprice, tpch_sf40.lineitem.l_orderkey	N/A	N/A
                            └─HashJoin_66	148307957.24	0	mpp[tiflash]		tiflash_task:{proc max:9.93s, min:0s, avg: 4.97s, p80:9.93s, p95:9.93s, iters:3551, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.lineitem.l_orderkey, tpch_sf40.orders.o_orderkey)], stream_count: 2	N/A	N/A
                              ├─ExchangeReceiver_103(Build)	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:3.98s, min:0s, avg: 1.99s, p80:3.98s, p95:3.98s, iters:1856, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 2919ms}	stream_count: 2	N/A	N/A
                              │ └─ExchangeSender_102	29261094.98	29229464	mpp[tiflash]		tiflash_task:{proc max:4.48s, min:0s, avg: 2.24s, p80:4.48s, p95:4.48s, iters:965, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.orders.o_orderkey, collate: binary], stream_count: 2	N/A	N/A
                              │   └─TableFullScan_100	29261094.98	29229464	mpp[tiflash]	table:o	tiflash_task:{proc max:4.31s, min:0s, avg: 2.16s, p80:4.31s, p95:4.31s, iters:965, tasks:2, threads:4}, tiflash_wait: {pipeline_queue_wait: 3775ms}, tiflash_scan:{mvcc_input_rows:0, mvcc_input_bytes:0, mvcc_output_rows:0, lm_skip_rows:0, local_regions:34, remote_regions:0, tot_learner_read:24ms, region_balance:{instance_num: 2, max/min: 19/15=1.266667}, delta_rows:0, delta_bytes:0, segments:68, stale_read_regions:0, tot_build_snapshot:0ms, tot_build_bitmap:0ms, tot_build_inputstream:24ms, min_local_stream:4173ms, max_local_stream:4299ms, dtfile:{data_scanned_rows:60000000, data_skipped_rows:0, mvcc_scanned_rows:0, mvcc_skipped_rows:0, lm_filter_scanned_rows:60000000, lm_filter_skipped_rows:0, tot_rs_index_check:0ms, tot_read:3092ms}}	pushed down filter:eq(tpch_sf40.orders.o_orderstatus, "F"), keep order:false	N/A	N/A
                              └─ExchangeReceiver_99(Probe)	147270829.80	36440216	mpp[tiflash]		tiflash_task:{proc max:9.41s, min:0s, avg: 4.7s, p80:9.41s, p95:9.41s, iters:3551, tasks:2, threads:4}, tiflash_wait: {pipeline_breaker_wait: 4486ms, pipeline_queue_wait: 2684ms}		N/A	N/A
                                └─ExchangeSender_98	147270829.80	36440216	mpp[tiflash]		tiflash_task:{proc max:9.92s, min:0s, avg: 4.96s, p80:9.92s, p95:9.92s, iters:3552, tasks:2, threads:4}	ExchangeType: HashPartition, Compression: FAST, Hash Cols: [name: tpch_sf40.lineitem.l_orderkey, collate: binary]	N/A	N/A
                                  └─Projection_97	147270829.80	36440216	mpp[tiflash]		tiflash_task:{proc max:8.93s, min:0s, avg: 4.46s, p80:8.93s, p95:8.93s, iters:3552, tasks:2, threads:4}	tpch_sf40.region.r_name, tpch_sf40.nation.n_name, tpch_sf40.lineitem.l_orderkey, tpch_sf40.lineitem.l_extendedprice, tpch_sf40.lineitem.l_discount, tpch_sf40.lineitem.l_suppkey, tpch_sf40.lineitem.l_partkey	N/A	N/A
                                    └─HashJoin_67	147270829.80	36440216	mpp[tiflash]		tiflash_task:{proc max:8.93s, min:0s, avg: 4.46s, p80:8.93s, p95:8.93s, iters:3552, tasks:2, threads:4}	inner join, equal:[eq(tpch_sf40.supplier.s_suppkey, tpch_sf40.lineitem.l_suppkey) eq(tpch_sf40.partsupp.ps_partkey, tpch_sf40.lineitem.l_partkey)], stream_count: 2	N/A	N/A
